S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agriculture Development Bank Limited,55,165.00,160.00,161.00,3731.00,606942.00,162.00,-1.00
2,Alpine Development Bank Limited,11,180.00,176.00,180.00,120.00,21430.00,179.00,1.00
3,Api Finance Limited,4,256.00,252.00,252.00,160.00,40730.00,255.00,-3.00
4,Arun Valley Hydropower Development Co. Ltd.,525,525.00,509.00,524.00,14164.00,7335236.00,520.00,4.00
5,Asian Life Insurance Co. Limited,22,269.00,265.00,269.00,870.00,231730.00,270.00,-1.00
6,Axis Development Bank Limited,7,125.00,125.00,125.00,2225.00,278125.00,123.00,2.00
7,Bank of Asia Nepal Limited,16,290.00,276.00,283.00,1060.00,300390.00,286.00,-3.00
8,Bank of Kathmandu Ltd.,11,641.00,630.00,630.00,1752.00,1107560.00,630.00,0.00
9,Biratlaxmi Bikas Bank Limited,1,341.00,341.00,341.00,61.00,20801.00,340.00,1.00
10,Birgunj Finance Ltd.,4,177.00,171.00,171.00,1880.00,330480.00,174.00,-3.00
11,Butwal Power Company Limited,1,810.00,810.00,810.00,50.00,40500.00,826.00,-16.00
12,Central Finance Co. Ltd.,1,255.00,255.00,255.00,24.00,6120.00,260.00,-5.00
13,Chilime Hydropower Company Limited,1,994.00,994.00,994.00,200.00,198800.00,975.00,19.00
14,Citizen Bank International Limited,9,302.00,295.00,295.00,590.00,176540.00,300.00,-5.00
15,Civil Merchant Bittiya Santha Ltd.,1,216.00,216.00,216.00,140.00,30240.00,217.00,-1.00
16,Clean Energy Development Bank Limited,2,250.00,250.00,250.00,110.00,27500.00,249.00,1.00
17,Crystal Finance Ltd.,5,231.00,230.00,231.00,130.00,29950.00,234.00,-3.00
18,Everest Bank Limited,4,1175.00,1152.00,1170.00,173.00,200896.00,1159.00,11.00
19,Global IME Bank Limited,7,248.00,244.00,245.00,660.00,161850.00,244.00,1.00
20,Grand Bank Nepal Limited,2,240.00,239.00,240.00,300.00,71900.00,239.00,1.00
21,Gurkha Development Bank Limited,2,260.00,260.00,260.00,65.00,16900.00,265.00,-5.00
22,Gurkhas Finance Ltd.,1,183.00,183.00,183.00,927.00,169641.00,183.00,0.00
23,Himalayan Bank Limited,4,805.00,790.00,805.00,366.00,291882.00,795.00,10.00
24,Infrastructure Development Bank Ltd.,2,154.00,151.00,151.00,100.00,15250.00,157.00,-6.00
25,Kaski Finance Limited,2,264.00,264.00,264.00,400.00,105600.00,260.00,4.00
26,Kasthamandap Development Bank Limited,24,183.00,176.00,182.00,780.00,141390.00,176.00,6.00
27,Kumari Bank Limited,18,352.00,338.00,338.00,1526.00,524634.00,346.00,-8.00
28,Laxmi Bank Limited,20,545.00,489.00,545.00,2487.00,1253953.00,498.00,47.00
29,Lord Buddha Finance Limited,6,189.00,186.00,186.00,96.00,18096.00,186.00,0.00
30,Lumbini Bank Limited,11,250.00,241.00,245.00,2290.00,555990.00,250.00,-5.00
31,Lumbini Bikas Bank Ltd.,15,220.00,210.00,216.00,810.00,174000.00,220.00,-4.00
32,Lumbini Finance Ltd.,4,295.00,290.00,295.00,163.00,47875.00,285.00,10.00
33,Machhapuchhre Bank Limited,8,270.00,260.00,270.00,1396.00,369314.00,258.00,12.00
34,Mahakali Bikas Bank Limited,9,270.00,265.00,270.00,110.00,29390.00,268.00,2.00
35,Mahalaxmi Bikas Bank Ltd.,41,130.00,124.00,128.00,1600.00,202210.00,128.00,0.00
36,Mahalaxmi BikasBank Limited,6,172.00,160.00,160.00,174.00,29034.00,175.00,-15.00
37,Miteri Development Bank Limited,1,174.00,174.00,174.00,10.00,1740.00,171.00,3.00
