S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Api Finance Limited,11,230.00,230.00,230.00,170.00,39100.00,233.00,-3.00
2,Arun Valley Hydropower Development Co. Ltd.,71,455.00,441.00,448.00,1242.00,555154.00,455.00,-7.00
3,Asian Life Insurance Co. Limited,49,245.00,243.00,245.00,1930.00,471190.00,245.00,0.00
4,Bank of Asia Nepal Limited,13,276.00,270.00,276.00,785.00,215640.00,271.00,5.00
5,Bank of Kathmandu Ltd.,27,840.00,828.00,830.00,3564.00,2959239.00,830.00,0.00
6,Biratlaxmi Bikas Bank Limited,12,350.00,345.00,350.00,133.00,46457.00,346.00,4.00
7,Birgunj Finance Ltd.,4,180.00,180.00,180.00,800.00,144000.00,180.00,0.00
8,Chilime Hydropower Company Limited,4,925.00,921.00,922.00,550.00,507200.00,930.00,-8.00
9,Citizen Bank International Limited,8,306.00,300.00,306.00,530.00,160400.00,300.00,6.00
10,Clean Energy Development Bank Limited,51,610.00,580.00,610.00,3120.00,1874650.00,580.00,30.00
11,Crystal Finance Ltd.,1,246.00,246.00,246.00,10.00,2460.00,245.00,1.00
12,Deprosc Laghubitta Bittiya Sanstha Limited,1,138.00,138.00,138.00,100.00,13800.00,138.00,0.00
13,Deva Bikas Bank Limited,4,189.00,181.00,181.00,368.00,67452.00,190.00,-9.00
14,Everest Bank Limited,3,1510.00,1481.00,1510.00,477.00,716815.00,1535.00,-25.00
15,Excel Development Bank Ltd.,1,310.00,310.00,310.00,110.00,34100.00,310.00,0.00
16,Fewa Finance Co. Ltd.,1,320.00,320.00,320.00,117.00,37440.00,320.00,0.00
17,Global IME Bank Limited,2,255.00,250.00,255.00,330.00,83400.00,255.00,0.00
18,Gorkha Finance Ltd.,1,130.00,130.00,130.00,34.00,4420.00,128.00,2.00
19,Grand Bank Nepal Limited,3,248.00,244.00,244.00,297.00,72824.00,250.00,-6.00
20,Himalayan Bank Limited,2,816.00,800.00,816.00,383.00,307200.00,800.00,16.00
21,ICFC Finance Limited,2,262.00,262.00,262.00,198.00,51876.00,264.00,-2.00
22,Imperial Financial Inst. Ltd.,44,250.00,250.00,250.00,944.00,236000.00,255.00,-5.00
23,Kaski Finance Limited,3,270.00,265.00,266.00,720.00,194130.00,265.00,1.00
24,Kasthamandap Development Bank Limited,84,238.00,230.00,237.00,3310.00,777110.00,234.00,3.00
25,Kumari Bank Limited,5,435.00,431.00,435.00,250.00,108355.00,430.00,5.00
26,Lord Buddha Finance Limited,30,200.00,192.00,200.00,1497.00,291628.00,189.00,11.00
27,Lumbini Bank Limited,1,301.00,301.00,301.00,100.00,30100.00,296.00,5.00
28,Lumbini Bikas Bank Ltd.,19,271.00,267.00,270.00,1160.00,310190.00,271.00,-1.00
29,Lumbini Finance Ltd.,1,250.00,250.00,250.00,70.00,17500.00,246.00,4.00
30,Machhapuchhre Bank Limited,1,304.00,304.00,304.00,50.00,15200.00,304.00,0.00
31,Mahakali Bikas Bank Limited,18,240.00,240.00,240.00,180.00,43200.00,240.00,0.00
32,Mahalaxmi BikasBank Limited,9,175.00,172.00,172.00,730.00,126180.00,171.00,1.00
33,Miteri Development Bank Limited,3,216.00,216.00,216.00,80.00,17280.00,220.00,-4.00
34,Nabil Bank Limited,9,2175.00,2150.00,2150.00,748.00,1614065.00,2175.00,-25.00
35,Narayani National Finance Limited,1,233.00,233.00,233.00,30.00,6990.00,230.00,3.00
36,National Hydro Power Company Limited,1,49.00,49.00,49.00,500.00,24500.00,50.00,-1.00
37,NCM Mutual Fund,1,32.47,32.47,32.47,2000.00,64940.00,31.83,0.64
38,Nepal Bangladesh Bank Limited,5,241.00,233.00,233.00,310.00,72710.00,233.00,0.00
39,Nepal Credit And Commercial Bank Limited,1,242.00,242.00,242.00,50.00,12100.00,239.00,3.00
40,Nepal Doorsanchar Comapany Limited,4,462.00,457.00,462.00,1000.00,458200.00,460.00,2.00
41,Nepal Investment Bank Limited,2,728.00,721.00,721.00,325.00,235893.00,725.00,-4.00
42,Nepal Life Insurance Co. Ltd.,9,667.00,650.00,665.00,4136.00,2693889.00,655.00,10.00
43,Nepal SBI Bank Limited,2,748.00,745.00,748.00,106.00,79144.00,749.00,-1.00
44,Nepal Shree Lanka Merchant Banking & Finance Ltd,1,75.00,75.00,75.00,30.00,2250.00,74.00,1.00
45,NMB Bank Limited,5,290.00,280.00,285.00,1388.00,399725.00,289.00,-4.00
46,Oriental Hotels Limited,1,151.00,151.00,151.00,10.00,1510.00,151.00,0.00
47,Paschimanchal Finance Co. Ltd.,5,199.00,196.00,198.00,4778.00,944574.00,193.00,5.00
