S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,1,285.00,285.00,285.00,100.00,28500.00,285.00,0.00
2,Api Finance Limited,1,231.00,231.00,231.00,100.00,23100.00,235.00,-4.00
3,Arun Valley Hydropower Development Co. Ltd.,33,479.00,458.00,479.00,672.00,310100.00,455.00,24.00
4,Asian Life Insurance Co. Limited,97,275.00,255.00,270.00,3150.00,818460.00,253.00,17.00
5,Bank of Asia Nepal Limited,5,280.00,272.00,280.00,270.00,75030.00,275.00,5.00
6,Bank of Kathmandu Ltd.,24,872.00,845.00,872.00,4600.00,3936988.00,840.00,32.00
7,Biratlaxmi Bikas Bank Limited,45,335.00,332.00,335.00,540.00,180756.00,326.00,9.00
8,Birgunj Finance Ltd.,8,189.00,177.00,189.00,1375.00,247275.00,180.00,9.00
9,Bishal Bazar Company Limited,1,3038.00,3038.00,3038.00,324.00,984312.00,3100.00,-62.00
10,Butwal Power Company Limited,2,1069.00,1069.00,1069.00,104.00,111176.00,1090.00,-21.00
11,Chhimek Laghubitta Bikas Bank Limited,2,456.00,450.00,450.00,52.00,23652.00,465.00,-15.00
12,Civil Merchant Bittiya Santha Ltd.,3,188.00,186.00,186.00,410.00,76840.00,191.00,-5.00
13,Clean Energy Development Bank Limited,13,600.00,594.00,594.00,330.00,196620.00,590.00,4.00
14,Crystal Finance Ltd.,20,290.00,290.00,290.00,200.00,58000.00,285.00,5.00
15,Everest Bank Limited,9,1560.00,1501.00,1560.00,850.00,1289598.00,1489.00,71.00
16,Everest Bank Limited Con. Pref.,1,850.00,850.00,850.00,70.00,59500.00,867.00,-17.00
17,Global IME Bank Limited,22,269.00,253.00,269.00,1020.00,268115.00,260.00,9.00
18,Grand Bank Nepal Limited,4,260.00,255.00,258.00,375.00,96573.00,255.00,3.00
19,Himalayan Bank Limited,3,840.00,835.00,840.00,663.00,554810.00,835.00,5.00
20,ICFC Finance Limited,1,280.00,280.00,280.00,60.00,16800.00,280.00,0.00
21,IME Financial Institution,1,565.00,565.00,565.00,200.00,113000.00,565.00,0.00
22,Infrastructure Development Bank Ltd.,4,245.00,241.00,245.00,200.00,48360.00,241.00,4.00
23,Kaski Finance Limited,10,265.00,262.00,263.00,520.00,136750.00,261.00,2.00
24,Kasthamandap Development Bank Limited,20,249.00,240.00,249.00,520.00,126620.00,244.00,5.00
25,Kumari Bank Limited,1,450.00,450.00,450.00,80.00,36000.00,447.00,3.00
26,Laxmi Bank Limited,10,559.00,528.00,528.00,480.00,261180.00,570.00,-42.00
27,Lord Buddha Finance Limited,1,191.00,191.00,191.00,30.00,5730.00,190.00,1.00
28,Lumbini Bank Limited,10,303.00,294.00,299.00,1104.00,328824.00,294.00,5.00
29,Lumbini Bikas Bank Ltd.,55,275.00,269.00,275.00,2990.00,812370.00,275.00,0.00
30,Lumbini Finance Ltd.,3,251.00,251.00,251.00,98.00,24598.00,256.00,-5.00
31,Machhapuchhre Bank Limited,6,312.00,306.00,306.00,403.00,123756.00,300.00,6.00
32,Mahakali Bikas Bank Limited,13,242.00,240.00,240.00,130.00,31220.00,242.00,-2.00
33,Miteri Development Bank Limited,48,232.00,215.00,232.00,1110.00,247830.00,218.00,14.00
34,Nabil Bank Limited,18,2240.00,2153.00,2200.00,1030.00,2269520.00,2207.00,-7.00
35,Narayani National Finance Limited,9,258.00,252.00,254.00,1194.00,302652.00,252.00,2.00
36,Nepal Bangladesh Bank Limited,4,247.00,244.00,245.00,1250.00,305850.00,244.00,1.00
37,Nepal Credit And Commercial Bank Limited,7,243.00,237.00,241.00,890.00,213310.00,240.00,1.00
38,Nepal Doorsanchar Comapany Limited,17,468.00,460.00,468.00,3000.00,1392250.00,460.00,8.00
39,Nepal Express Finance Ltd.,1,216.00,216.00,216.00,16.00,3456.00,220.00,-4.00
40,Nepal Housing & Merchant Finance Ltd.,1,216.00,216.00,216.00,100.00,21600.00,220.00,-4.00
41,Nepal Investment Bank Limited,9,745.00,719.00,745.00,1393.00,1014243.00,728.00,17.00
42,Nepal SBI Bank Limited,10,760.00,745.00,755.00,642.00,480597.00,745.00,10.00
43,Nepal Shree Lanka Merchant Banking & Finance Ltd,3,61.00,61.00,61.00,360.00,21960.00,61.00,0.00
44,NIC Asia Bank Ltd.,6,649.00,643.00,643.00,547.00,353500.00,631.00,12.00
45,NIDC Capital Markets Ltd.,2,450.00,443.00,450.00,131.00,58733.00,435.00,15.00
46,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,6,324.00,324.00,324.00,60.00,19440.00,325.00,-1.00
47,NMB Bank Limited,3,306.00,299.00,299.00,250.00,75200.00,301.00,-2.00
48,Pathibhara Bikas Bank Limited,5,188.00,182.00,185.00,90.00,16620.00,185.00,0.00
49,Pokhara Finance Ltd.,3,289.00,279.00,289.00,60.00,17040.00,274.00,15.00
50,Prabhu  Bank Limited,22,202.00,197.00,202.00,20225.00,4051000.00,197.00,5.00
51,Prabhu Insurance Ltd.,1,129.00,129.00,129.00,12.00,1548.00,131.00,-2.00
52,Prime Commercial Bank Ltd.,7,493.00,485.00,490.00,203.00,99364.00,490.00,0.00
53,Public Development Bank Limited,8,142.00,138.00,138.00,230.00,32190.00,140.00,-2.00
54,Rastriya Beema Company Limited,55,345.00,340.00,345.00,825.00,284010.00,347.00,-2.00
55,Reliable Development Bank Limited,2,314.00,314.00,314.00,36.00,11304.00,308.00,6.00
56,Sagarmatha  Finance Limited,3,200.00,200.00,200.00,100.00,20000.00,201.00,-1.00
57,Samriddhi Finance Company Limited,1,173.00,173.00,173.00,120.00,20760.00,170.00,3.00
58,Shikhar Finance Limited,12,196.00,193.00,193.00,250.00,48820.00,197.00,-4.00
59,Siddhartha Bank Limited,3,437.00,421.00,437.00,64.00,27424.00,421.00,16.00
60,Siddhartha Insurance Ltd.,1,135.00,135.00,135.00,70.00,9450.00,133.00,2.00
61,Society Development Bank Ltd.,38,315.00,309.00,315.00,2400.00,755580.00,315.00,0.00
62,Standard Chartered Bank Limited,43,3000.00,2950.00,2985.00,3643.00,10827875.00,2996.00,-11.00
63,Standard Finance Ltd.,3,187.00,184.00,184.00,400.00,74000.00,190.00,-6.00
64,Subhechha Bikas Bank Limited,1,267.00,267.00,267.00,24.00,6408.00,265.00,2.00
65,Sunrise Bank Limited,17,255.00,250.00,255.00,1370.00,346270.00,260.00,-5.00
66,Supreme Development Bank Ltd.,11,132.00,130.00,132.00,1840.00,240580.00,130.00,2.00
67,Triveni Bikas Bank Limited,4,348.00,348.00,348.00,92.00,32016.00,348.00,0.00
68,United Finance Ltd.,1,289.00,289.00,289.00,18.00,5202.00,294.00,-5.00
