S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agriculture Development Bank Limited,66,160.00,153.00,155.00,5139.00,809318.00,156.00,-1.00
2,Alpine Development Bank Limited,17,173.00,170.00,173.00,550.00,94320.00,173.00,0.00
3,Api Finance Limited,6,234.00,228.00,232.00,100.00,23140.00,236.00,-4.00
4,Arun Valley Hydropower Development Co. Ltd.,2,445.00,440.00,440.00,400.00,176500.00,446.00,-6.00
5,Asian Life Insurance Co. Limited,79,275.00,260.00,265.00,4480.00,1201410.00,265.00,0.00
6,Axis Development Bank Limited,4,151.00,146.00,151.00,60.00,8940.00,144.00,7.00
7,Bank of Asia Nepal Limited,5,270.00,263.00,268.00,580.00,154210.00,273.00,-5.00
8,Bank of Kathmandu Ltd.,9,603.00,600.00,601.00,1603.00,962778.00,600.00,1.00
9,Birgunj Finance Ltd.,10,162.00,162.00,162.00,690.00,111780.00,160.00,2.00
10,Bishal Bazar Company Limited,1,2898.00,2898.00,2898.00,610.00,1767780.00,2842.00,56.00
11,Central Finance Co. Ltd.,1,245.00,245.00,245.00,100.00,24500.00,250.00,-5.00
12,Chilime Hydropower Company Limited,3,960.00,950.00,955.00,650.00,620500.00,966.00,-11.00
13,Citizen Bank International Limited,10,292.00,285.00,287.00,660.00,189370.00,285.00,2.00
14,Citizen Investment Trust,2,584.00,583.00,584.00,50.00,29175.00,572.00,12.00
15,City Express Finance Co. Limited,2,143.00,143.00,143.00,150.00,21450.00,143.00,0.00
16,Clean Energy Development Bank Limited,6,243.00,241.00,243.00,240.00,58000.00,245.00,-2.00
17,Crystal Finance Ltd.,33,230.00,220.00,228.00,950.00,215480.00,232.00,-4.00
18,Deva Bikas Bank Limited,10,166.00,160.00,160.00,972.00,159366.00,166.00,-6.00
19,Everest Bank Limited,6,1086.00,1065.00,1086.00,344.00,370568.00,1100.00,-14.00
20,Gaurishankar Development Bank Ltd.,1,333.00,333.00,333.00,10.00,3330.00,0.00,333.00
21,Global IME Bank Limited,13,237.00,230.00,233.00,530.00,124675.00,234.00,-1.00
22,Grand Bank Nepal Limited,2,208.00,206.00,206.00,129.00,26774.00,207.00,-1.00
23,Himalayan Bank Limited,18,802.00,791.00,791.00,1653.00,1316688.00,799.00,-8.00
24,ICFC Finance Limited,1,245.00,245.00,245.00,410.00,100450.00,249.00,-4.00
25,IME Financial Institution,1,442.00,442.00,442.00,153.00,67626.00,442.00,0.00
26,Kaski Finance Limited,13,234.00,230.00,234.00,620.00,143110.00,234.00,0.00
27,Kasthamandap Development Bank Limited,31,174.00,170.00,174.00,1030.00,177930.00,173.00,1.00
28,Kumari Bank Limited,7,306.00,296.00,306.00,1037.00,311320.00,308.00,-2.00
29,Kumari Bank Limited Promotor Share,1,314.00,314.00,314.00,10.00,3140.00,0.00,314.00
30,Laxmi Bank Limited,2,525.00,515.00,515.00,20.00,10400.00,535.00,-20.00
31,Life Insurance Co. Nepal,3,650.00,650.00,650.00,190.00,123500.00,660.00,-10.00
32,Lord Buddha Finance Limited,2,186.00,186.00,186.00,32.00,5952.00,189.00,-3.00
33,Lumbini Bikas Bank Ltd.,5,214.00,209.00,214.00,710.00,149010.00,210.00,4.00
34,Mahalaxmi Bikas Bank Ltd.,328,123.00,120.00,123.00,10830.00,1321400.00,121.00,2.00
35,Miteri Development Bank Limited,3,142.00,140.00,140.00,60.00,8440.00,144.00,-4.00
36,Nabil Bank Limited,4,1360.00,1350.00,1360.00,408.00,551550.00,1374.00,-14.00
37,Narayani National Finance Limited,2,190.00,190.00,190.00,100.00,19000.00,187.00,3.00
38,National Hydro Power Company Limited,6,40.80,40.00,40.80,1500.00,60080.00,40.80,0.00
39,Nepal Credit And Commercial Bank Limited,3,190.00,190.00,190.00,70.00,13300.00,192.00,-2.00
40,Nepal Doorsanchar Comapany Limited,7,451.00,445.00,451.00,1570.00,704880.00,450.00,1.00
41,Nepal Finance Ltd.,4,270.00,270.00,270.00,1607.00,433890.00,265.00,5.00
42,Nepal Investment Bank Limited,5,618.00,615.00,617.00,697.00,429748.00,620.00,-3.00
43,Nepal Life Insurance Co. Ltd.,1,765.00,765.00,765.00,15.00,11475.00,765.00,0.00
44,Nepal SBI Bank Limited,3,700.00,700.00,700.00,498.00,348600.00,696.00,4.00
