S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,1,231.00,231.00,231.00,45.00,10395.00,235.00,-4.00
2,Agriculture Development Bank Limited,106,157.00,148.00,152.00,4971.00,764533.00,155.00,-3.00
3,Alpine Development Bank Limited,52,174.00,170.00,172.00,770.00,131880.00,173.00,-1.00
4,Api Finance Limited,1,229.00,229.00,229.00,10.00,2290.00,232.00,-3.00
5,Asian Life Insurance Co. Limited,48,268.00,261.00,261.00,3590.00,951140.00,265.00,-4.00
6,Axis Development Bank Limited,1,148.00,148.00,148.00,10.00,1480.00,151.00,-3.00
7,Bank of Asia Nepal Limited,32,268.00,260.00,261.00,1985.00,521960.00,268.00,-7.00
8,Bank of Kathmandu Ltd.,15,602.00,600.00,600.00,2148.00,1289202.00,601.00,-1.00
9,Best Finance Company Ltd.,1,297.00,297.00,297.00,10.00,2970.00,303.00,-6.00
10,Bhrikuti Vikash Bank Limited,1,282.00,282.00,282.00,328.00,92496.00,282.00,0.00
11,Biratlaxmi Bikas Bank Limited,5,327.00,326.00,327.00,152.00,49668.00,330.00,-3.00
12,Birgunj Finance Ltd.,4,159.00,159.00,159.00,276.00,43884.00,162.00,-3.00
13,Chilime Hydropower Company Limited,2,951.00,945.00,951.00,480.00,454080.00,955.00,-4.00
14,Citizen Bank International Limited,8,291.00,285.00,285.00,450.00,129130.00,287.00,-2.00
15,Clean Energy Development Bank Limited,3,245.00,245.00,245.00,230.00,56350.00,243.00,2.00
16,Crystal Finance Ltd.,7,232.00,226.00,232.00,200.00,45620.00,228.00,4.00
17,Deva Bikas Bank Limited,17,160.00,155.00,157.00,1138.00,178250.00,160.00,-3.00
18,Everest Bank Limited,4,1100.00,1078.00,1078.00,226.00,246805.00,1086.00,-8.00
19,Global IME Bank Limited,12,236.00,232.00,235.00,605.00,141770.00,233.00,2.00
20,Grand Bank Nepal Limited,1,206.00,206.00,206.00,66.00,13596.00,206.00,0.00
21,Himalayan Bank Limited,10,798.00,790.00,790.00,853.00,677175.00,791.00,-1.00
22,ICFC Finance Limited,1,241.00,241.00,241.00,90.00,21690.00,245.00,-4.00
23,IME Financial Institution,1,445.00,445.00,445.00,100.00,44500.00,442.00,3.00
24,Imperial Financial Inst. Ltd.,1,157.00,157.00,157.00,60.00,9420.00,160.00,-3.00
25,Infrastructure Development Bank Ltd.,6,132.00,131.00,131.00,452.00,59512.00,134.00,-3.00
26,Janaki Finance Ltd.,1,300.00,300.00,300.00,200.00,60000.00,305.00,-5.00
27,Kasthamandap Development Bank Limited,10,176.00,173.00,176.00,220.00,38480.00,174.00,2.00
28,Kumari Bank Limited,4,310.00,306.00,306.00,255.00,78118.00,306.00,0.00
