S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Apex Development Bank Ltd.,1,265.00,265.00,265.00,80.00,21200.00,270.00,-5.00
2,Api Finance Limited,2,226.00,222.00,222.00,30.00,6700.00,226.00,-4.00
3,Arun Valley Hydropower Development Co. Ltd.,46,506.00,470.00,485.00,2130.00,1037930.00,465.00,20.00
4,Asian Life Insurance Co. Limited,6,364.00,337.00,337.00,60.00,21010.00,0.00,337.00
5,Axis Development Bank Limited,7,215.00,211.00,212.00,130.00,27490.00,215.00,-3.00
6,Bank of Asia Nepal Limited,1,235.00,235.00,235.00,40.00,9400.00,231.00,4.00
7,Bank of Kathmandu Ltd.,56,789.00,722.00,782.00,5280.00,3915775.00,732.00,50.00
8,Biratlaxmi Bikas Bank Limited,6,425.00,395.00,395.00,302.00,123742.00,433.00,-38.00
9,Business Universal Development Bank Ltd.,14,171.00,166.00,169.00,1950.00,327950.00,163.00,6.00
10,Capital Merchant Bank & Finance Co. Ltd.,7,195.00,181.00,195.00,221.00,42205.00,178.00,17.00
11,Chilime Hydropower Company Limited,4,910.00,877.00,900.00,970.00,862880.00,860.00,40.00
12,Citizen Bank International Limited,6,400.00,371.00,400.00,240.00,91720.00,364.00,36.00
13,Civil Merchant Bittiya Santha Ltd.,2,235.00,232.00,235.00,60.00,13980.00,232.00,3.00
14,Crystal Finance Ltd.,1,230.00,230.00,230.00,10.00,2300.00,226.00,4.00
15,Deva Bikas Bank Limited,1,164.00,164.00,164.00,175.00,28700.00,164.00,0.00
16,Everest Bank Limited,18,1365.00,1280.00,1355.00,964.00,1288114.00,1304.00,51.00
17,Fewa Finance Co. Ltd.,2,279.00,274.00,274.00,133.00,36927.00,284.00,-10.00
18,Grand Bank Nepal Limited,8,251.00,234.00,249.00,919.00,224150.00,230.00,19.00
19,Gurkha Development Bank Limited,1,418.00,418.00,418.00,41.00,17138.00,426.00,-8.00
20,Himalayan Bank Limited,19,965.00,912.00,965.00,495.00,465729.00,928.00,37.00
21,ICFC Finance Limited,5,236.00,220.00,236.00,50.00,11400.00,216.00,20.00
