S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Apex Development Bank Ltd.,2,226.00,226.00,226.00,102.00,23052.00,230.00,-4.00
2,Api Finance Limited,1,289.00,289.00,289.00,10.00,2890.00,294.00,-5.00
3,Arun Valley Hydropower Development Co. Ltd.,35,470.00,460.00,465.00,612.00,285016.00,470.00,-5.00
4,Asian Life Insurance Co. Limited,218,234.00,225.00,231.00,7550.00,1727770.00,229.00,2.00
5,Bank of Asia Nepal Limited,10,286.00,281.00,281.00,270.00,76690.00,286.00,-5.00
6,Bank of Kathmandu Ltd.,14,875.00,867.00,872.00,1087.00,946129.00,872.00,0.00
7,Biratlaxmi Bikas Bank Limited,8,387.00,360.00,360.00,427.00,159765.00,380.00,-20.00
8,Bishal Bazar Company Limited,1,3100.00,3100.00,3100.00,280.00,868000.00,3100.00,0.00
9,Business Universal Development Bank Ltd.,2,182.00,180.00,180.00,200.00,36200.00,185.00,-5.00
10,Chhimek Laghubitta Bikas Bank Limited,10,474.00,452.00,474.00,393.00,182860.00,465.00,9.00
11,Citizen Bank International Limited,9,495.00,490.00,490.00,370.00,182880.00,495.00,-5.00
12,Civil Merchant Bittiya Santha Ltd.,5,214.00,200.00,200.00,760.00,152640.00,218.00,-18.00
13,Clean Energy Development Bank Limited,6,630.00,630.00,630.00,80.00,50400.00,630.00,0.00
14,Crystal Finance Ltd.,11,290.00,289.00,289.00,140.00,40560.00,290.00,-1.00
15,Deva Bikas Bank Limited,7,203.00,200.00,203.00,212.00,42796.00,200.00,3.00
16,Everest Bank Limited,17,1529.00,1470.00,1514.00,1431.00,2122814.00,1530.00,-16.00
17,Everest Insurance Co. Ltd.,2,316.00,316.00,316.00,66.00,20856.00,322.00,-6.00
18,Excel Development Bank Ltd.,1,306.00,306.00,306.00,564.00,172584.00,306.00,0.00
19,Fewa Finance Co. Ltd.,1,298.00,298.00,298.00,100.00,29800.00,304.00,-6.00
