S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agriculture Development Bank Limited,16,106.00,104.00,106.00,1313.00,138808.00,106.00,0.00
2,Alpine Development Bank Limited,10,97.00,97.00,97.00,100.00,9700.00,98.00,-1.00
3,Apex Development Bank Ltd.,6,108.00,100.00,108.00,1025.00,105440.00,100.00,8.00
4,Araniko Development Bank Limited,6,71.00,70.00,70.00,900.00,63020.00,71.00,-1.00
5,Arun Valley Hydropower Development Co. Ltd.,8,300.00,295.00,299.00,219.00,65183.00,298.00,1.00
6,Asian Life Insurance Co. Limited,10,161.00,155.00,160.00,2830.00,451820.00,160.00,0.00
7,Bank of Asia Nepal Limited,23,167.00,162.00,166.00,1873.00,306357.00,162.00,4.00
8,Bank of Kathmandu Ltd.,22,422.00,414.00,421.00,3584.00,1502398.00,422.00,-1.00
9,Biratlaxmi Bikas Bank Limited,1,128.00,128.00,128.00,100.00,12800.00,127.00,1.00
10,Butwal Power Company Limited,7,390.00,376.00,385.00,842.00,322430.00,396.00,-11.00
11,Chilime Hydropower Company Limited,9,608.00,592.00,606.00,630.00,378410.00,600.00,6.00
12,Citizen Bank International Limited,15,172.00,170.00,172.00,984.00,167697.00,168.00,4.00
13,Clean Energy Development Bank Limited,1,132.00,132.00,132.00,340.00,44880.00,133.00,-1.00
14,Corporate Development Bank Limited,2,116.00,115.00,115.00,110.00,12670.00,118.00,-3.00
15,Country Development Bank Ltd.,22,99.00,99.00,99.00,660.00,65340.00,99.00,0.00
16,Deva Bikas Bank Limited,13,77.00,75.00,76.00,2750.00,207590.00,75.00,1.00
17,Everest Bank Limited,32,702.00,691.00,700.00,3405.00,2369588.00,694.00,6.00
18,Excel Development Bank Ltd.,1,241.00,241.00,241.00,50.00,12050.00,237.00,4.00
19,Fewa Finance Co. Ltd.,1,142.00,142.00,142.00,140.00,19880.00,144.00,-2.00
20,Gandaki Bikas BankLimited,1,113.00,113.00,113.00,100.00,11300.00,115.00,-2.00
21,Garima Bikas Bank Limited,1,118.00,118.00,118.00,30.00,3540.00,120.00,-2.00
22,Gaurishankar Development Bank Ltd.,3,82.00,81.00,81.00,33.00,2684.00,83.00,-2.00
23,Grand Bank Nepal Limited,5,135.00,133.00,135.00,663.00,88901.00,132.00,3.00
24,Gurans Life Insurance Company Ltd.,14,88.00,87.00,87.00,220.00,19320.00,88.00,-1.00
25,Himalayan Bank Limited,4,473.00,455.00,473.00,243.00,111645.00,450.00,23.00
26,ICFC Finance Limited,1,104.00,104.00,104.00,3916.00,407264.00,105.00,-1.00
27,Jyoti Bikas Bank Limited,20,82.00,79.00,80.00,1480.00,118510.00,83.00,-3.00
28,Kamana Sewa Bikas Bank Limited,7,98.00,98.00,98.00,620.00,60760.00,98.00,0.00
29,Karnali Development Bank Limited,6,59.00,57.00,59.00,100.00,5760.00,58.00,1.00
30,Kaski Finance Limited,2,104.00,104.00,104.00,176.00,18304.00,104.00,0.00
31,Kumari Bank Limited,10,178.00,170.00,175.00,1004.00,174526.00,172.00,3.00
