S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,5,156.00,153.00,153.00,817.00,126414.00,156.00,-3.00
2,Agriculture Development Bank Limited,48,142.00,134.00,139.00,6548.00,909268.00,141.00,-2.00
3,Alpine Development Bank Limited,6,114.00,112.00,114.00,70.00,7880.00,114.00,0.00
4,Api Finance Limited,1,136.00,136.00,136.00,100.00,13600.00,134.00,2.00
5,Arun Valley Hydropower Development Co. Ltd.,15,351.00,333.00,338.00,2628.00,889774.00,358.00,-20.00
6,Asian Life Insurance Co. Limited,12,210.00,205.00,205.00,830.00,172000.00,206.00,-1.00
7,Bagheshwori Development Bank Limited,1,290.00,290.00,290.00,20.00,5800.00,293.00,-3.00
8,Bank of Asia Nepal Limited,63,281.00,259.00,265.00,11449.00,3038679.00,286.00,-21.00
9,Bank of Kathmandu Ltd.,137,698.00,632.00,665.00,24650.00,16329801.00,696.00,-31.00
10,Butwal Power Company Limited,11,593.00,545.00,561.00,1294.00,728716.00,605.00,-44.00
11,Chilime Hydropower Company Limited,74,881.00,840.00,870.00,7492.00,6473690.00,886.00,-16.00
12,Citizen Bank International Limited,46,275.00,250.00,266.00,9000.00,2358348.00,270.00,-4.00
13,Civil Merchant Bittiya Santha Ltd.,1,141.00,141.00,141.00,10.00,1410.00,139.00,2.00
14,Clean Energy Development Bank Limited,17,180.00,165.00,169.00,3108.00,526112.00,183.00,-14.00
15,Country Development Bank Ltd.,5,88.00,87.00,87.00,130.00,11350.00,89.00,-2.00
16,Everest Bank Limited,42,1074.00,1010.00,1060.00,4824.00,4954248.00,1070.00,-10.00
17,Everest Insurance Co. Ltd.,1,267.00,267.00,267.00,33.00,8811.00,272.00,-5.00
18,Gandaki Bikas Bank Limited,2,145.00,145.00,145.00,100.00,14500.00,145.00,0.00
19,Garima Bikas Bank Limited,6,157.00,154.00,156.00,280.00,43490.00,158.00,-2.00
20,Grand Bank Nepal Limited,48,252.00,227.00,238.00,10239.00,2433056.00,252.00,-14.00
21,Himalayan Bank Limited,29,720.00,670.00,695.00,3243.00,2230954.00,686.00,9.00
22,ICFC Finance Limited,9,170.00,161.00,164.00,268.00,43898.00,167.00,-3.00
23,Janaki Finance Ltd.,2,297.00,292.00,297.00,41.00,12127.00,287.00,10.00
24,Jyoti Bikas Bank Limited,5,107.00,103.00,107.00,200.00,20900.00,105.00,2.00
25,Kabeli Bikas Bank Limited,3,132.00,132.00,132.00,90.00,11880.00,134.00,-2.00
26,Kamana Sewa Bikas Bank Limited,16,122.00,118.00,120.00,1600.00,191240.00,124.00,-4.00
27,Kankai Bikas Bank Ltd.,3,120.00,116.00,120.00,120.00,14100.00,114.00,6.00
28,Kumari Bank Limited,49,285.00,254.00,271.00,6991.00,1868420.00,269.00,2.00
29,Laxmi Bank Limited,36,388.00,346.00,368.00,4616.00,1660368.00,375.00,-7.00
30,Life Insurance Co. Nepal,7,900.00,883.00,900.00,980.00,878570.00,908.00,-8.00
31,Lumbini Bank Limited,33,272.00,252.00,252.00,6055.00,1566484.00,270.00,-18.00
32,Mahakali Bikas Bank Limited,1,119.00,119.00,119.00,40.00,4760.00,119.00,0.00
33,Mahalaxmi BikasBank Limited,1,131.00,131.00,131.00,84.00,11004.00,133.00,-2.00
34,Miteri Development Bank Limited,5,140.00,138.00,138.00,600.00,83320.00,138.00,0.00
35,Muktinath Bikas Bank Ltd.,21,283.00,260.00,260.00,1330.00,358350.00,288.00,-28.00
