S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,7,156.00,153.00,156.00,1250.00,192863.00,153.00,3.00
2,Agriculture Development Bank Limited,40,145.00,138.00,139.00,3222.00,451680.00,139.00,0.00
3,Apex Development Bank Ltd.,11,107.00,98.00,107.00,3437.00,343188.00,98.00,9.00
4,Arun Valley Hydropower Development Co. Ltd.,13,332.00,320.00,323.00,618.00,201909.00,338.00,-15.00
5,Asian Life Insurance Co. Limited,9,224.00,208.00,224.00,410.00,86740.00,205.00,19.00
6,Bagheshwori Development Bank Limited,2,290.00,290.00,290.00,99.00,28710.00,290.00,0.00
7,Bank of Asia Nepal Limited,61,274.00,260.00,274.00,11687.00,3131925.00,265.00,9.00
8,Bank of Kathmandu Ltd.,141,693.00,642.00,693.00,29880.00,19967522.00,665.00,28.00
9,Butwal Power Company Limited,4,566.00,550.00,555.00,340.00,188640.00,561.00,-6.00
10,Chilime Hydropower Company Limited,71,890.00,839.00,885.00,6120.00,5342812.00,870.00,15.00
11,Citizen Bank International Limited,26,273.00,252.00,270.00,4485.00,1177215.00,266.00,4.00
12,Citizen Investment Trust,5,627.00,615.00,627.00,360.00,221880.00,615.00,12.00
13,Clean Energy Development Bank Limited,12,175.00,163.00,175.00,2752.00,466542.00,169.00,6.00
14,Corporate Development Bank Limited,5,132.00,131.00,132.00,220.00,28850.00,129.00,3.00
15,Country Development Bank Ltd.,13,87.00,85.00,85.00,700.00,60180.00,87.00,-2.00
16,Deprosc Laghubitta Bittiya Sanstha Limited,1,316.00,316.00,316.00,20.00,6320.00,316.00,0.00
17,Everest Bank Limited,55,1085.00,1035.00,1084.00,7022.00,7456335.00,1060.00,24.00
18,Everest Insurance Co. Ltd.,1,262.00,262.00,262.00,33.00,8646.00,267.00,-5.00
19,Garima Bikas Bank Limited,6,163.00,159.00,163.00,440.00,71190.00,156.00,7.00
20,Gaurishankar Development Bank Ltd.,8,93.00,92.00,92.00,88.00,8173.00,94.00,-2.00
21,Grand Bank Nepal Limited,40,251.00,235.00,246.00,8107.00,1965136.00,238.00,8.00
22,Gurans Life Insurance Company Ltd.,30,112.00,105.00,110.00,2030.00,217550.00,110.00,0.00
23,Hathway Finance Company Limited,2,33.84,33.84,33.84,160.00,5414.00,33.83,0.01
24,Himalayan Bank Limited,15,711.00,695.00,708.00,1844.00,1294629.00,695.00,13.00
25,ICFC Finance Limited,5,168.00,164.00,168.00,2108.00,346804.00,164.00,4.00
26,Janaki Finance Ltd.,8,302.00,292.00,295.00,3189.00,953863.00,297.00,-2.00
27,Jyoti Bikas Bank Limited,33,106.00,101.00,104.00,4320.00,445160.00,107.00,-3.00
28,Kabeli Bikas Bank Limited,9,132.00,130.00,132.00,130.00,16940.00,132.00,0.00
29,Kamana Sewa Bikas Bank Limited,24,119.00,113.00,117.00,760.00,88990.00,120.00,-3.00
30,Karnali Development Bank Limited,2,62.00,62.00,62.00,80.00,4960.00,63.00,-1.00
31,Kumari Bank Limited,35,283.00,263.00,276.00,4919.00,1352798.00,271.00,5.00
32,Laxmi Bank Limited,33,387.00,363.00,380.00,3694.00,1374723.00,368.00,12.00
33,Life Insurance Co. Nepal,2,917.00,900.00,917.00,200.00,181700.00,900.00,17.00
34,Lumbini Bank Limited,68,264.00,247.00,258.00,16958.00,4356035.00,252.00,6.00
35,Lumbini Finance Ltd.,1,140.00,140.00,140.00,103.00,14420.00,142.00,-2.00
36,Lumbini General Insurance Co. Ltd.,2,98.00,98.00,98.00,30.00,2940.00,100.00,-2.00
37,MachhaPuchhre  Bank Limited Promotor Share,1,100.00,100.00,100.00,99000.00,9900000.00,100.00,0.00
38,Mahakali Bikas Bank Limited,4,117.00,113.00,113.00,140.00,15940.00,119.00,-6.00
39,Mahalaxmi Bikas Bank Ltd.,6,88.00,88.00,88.00,450.00,39600.00,89.00,-1.00
40,Mahalaxmi BikasBank Limited,3,134.00,132.00,134.00,492.00,64994.00,131.00,3.00
41,Miteri Development Bank Limited,8,146.00,136.00,146.00,560.00,76520.00,138.00,8.00
42,Muktinath Bikas Bank Ltd.,27,266.00,245.00,259.00,2080.00,537520.00,260.00,-1.00
43,Nabil Bank Limited,36,1460.00,1400.00,1445.00,3948.00,5626194.00,1450.00,-5.00
44,Narayani National Finance Limited,2,113.00,111.00,113.00,225.00,25275.00,109.00,4.00
45,National Hydro Power Company Limited,45,74.00,69.00,70.00,35630.00,2520950.00,73.00,-3.00
46,National Life Insurance Co. Ltd.,1,546.00,546.00,546.00,58.00,31668.00,537.00,9.00
47,Nepal Bangladesh Bank Limited,45,144.00,138.00,144.00,10090.00,1428155.00,142.00,2.00
48,Nepal Credit And Commercial Bank Limited,15,138.00,133.00,133.00,3120.00,419340.00,140.00,-7.00
49,Nepal Doorsanchar Comapany Limited,11,500.00,490.00,498.00,2675.00,1318300.00,490.00,8.00
50,Nepal Finance Ltd.,2,121.00,120.00,121.00,340.00,41000.00,122.00,-1.00
51,Nepal Investment Bank Limited,33,586.00,545.00,571.00,4919.00,2786325.00,560.00,11.00
52,Nepal SBI Bank Limited,31,685.00,642.00,679.00,6153.00,4062926.00,658.00,21.00
53,Nerude Laghubita Bikas Bank Limited,1,448.00,448.00,448.00,20.00,8960.00,440.00,8.00
54,NIC Asia Bank Ltd.,30,596.00,542.00,596.00,3791.00,2161639.00,553.00,43.00
55,NIDC Capital Markets Ltd.,3,174.00,171.00,171.00,405.00,69555.00,173.00,-2.00
56,Nilgiri Bikas Bank Limited,1,137.00,137.00,137.00,40.00,5480.00,138.00,-1.00
57,NMB Bank Limited,32,243.00,228.00,235.00,5557.00,1308345.00,235.00,0.00
58,Oriental Hotels Limited,5,77.00,74.00,77.00,100.00,7590.00,73.00,4.00
59,Patan Finance Limited,4,124.00,118.00,118.00,200.00,24200.00,126.00,-8.00
60,Pathibhara Bikas Bank Limited,1,82.00,82.00,82.00,30.00,2460.00,83.00,-1.00
61,Prabhu  Bank Limited,6,142.00,136.00,142.00,3750.00,517800.00,138.00,4.00
