S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agriculture Development Bank Limited,13,114.00,111.00,114.00,1170.00,130710.00,112.00,2.00
2,Alpine Development Bank Limited,7,99.00,97.00,98.00,250.00,24520.00,101.00,-3.00
3,Api Finance Limited,4,109.00,107.00,107.00,220.00,23560.00,107.00,0.00
4,Araniko Development Bank Limited,7,70.00,70.00,70.00,310.00,21700.00,70.00,0.00
5,Arun Valley Hydropower Development Co. Ltd.,11,308.00,302.00,308.00,390.00,119463.00,305.00,3.00
6,Asian Life Insurance Co. Limited,13,160.00,150.00,152.00,2630.00,412900.00,162.00,-10.00
7,Bank of Asia Nepal Limited,5,163.00,160.00,160.00,117.00,18855.00,159.00,1.00
8,Bank of Kathmandu Ltd.,9,423.00,420.00,420.00,3487.00,1466021.00,418.00,2.00
9,Biratlaxmi Bikas Bank Limited,1,120.00,120.00,120.00,214.00,25680.00,121.00,-1.00
10,Chhimek Laghubitta Bikas Bank Limited,2,323.00,323.00,323.00,977.00,315571.00,322.00,1.00
11,Chilime Hydropower Company Limited,5,612.00,600.00,612.00,150.00,91440.00,610.00,2.00
12,Citizen Bank International Limited,6,177.00,171.00,171.00,776.00,135592.00,171.00,0.00
13,Clean Energy Development Bank Limited,1,130.00,130.00,130.00,68.00,8840.00,131.00,-1.00
14,Corporate Development Bank Limited,109,108.00,99.00,101.00,8380.00,838310.00,110.00,-9.00
15,Deva Bikas Bank Limited,3,80.00,79.00,80.00,1400.00,111000.00,80.00,0.00
16,Everest Bank Limited,15,683.00,670.00,682.00,1151.00,772856.00,670.00,12.00
17,Gandaki Bikas Bank Limited,10,105.00,103.00,105.00,400.00,41680.00,105.00,0.00
18,Garima Bikas Bank Limited,5,124.00,122.00,122.00,150.00,18440.00,120.00,2.00
19,Gaurishankar Development Bank Ltd.,4,92.00,90.00,92.00,40.00,3630.00,90.00,2.00
20,Global IME Bank Limited,1,161.00,161.00,161.00,60.00,9660.00,163.00,-2.00
21,Grand Bank Nepal Limited,5,129.00,128.00,129.00,10418.00,1341121.00,129.00,0.00
22,Gurans Life Insurance Company Ltd.,104,97.00,96.00,96.00,1960.00,188900.00,96.00,0.00
23,Hathway Finance Company Limited,17,44.00,44.00,44.00,1340.00,58960.00,44.60,-0.60
24,Himalayan Finance Limited (Bittiya Sanstha),18,68.00,65.00,65.00,210.00,13850.00,67.00,-2.00
25,Imperial Financial Inst. Ltd.,35,107.00,107.00,107.00,945.00,101115.00,107.00,0.00
26,Jyoti Bikas Bank Limited,46,88.00,85.00,87.00,1830.00,159050.00,87.00,0.00
27,Kamana Sewa Bikas Bank Limited,7,98.00,97.00,97.00,370.00,36140.00,98.00,-1.00
28,Karnali Development Bank Limited,4,69.00,69.00,69.00,230.00,15870.00,69.00,0.00
29,Kumari Bank Limited,1,202.00,202.00,202.00,49.00,9898.00,199.00,3.00
30,Laxmi Bank Limited,6,232.00,230.00,232.00,615.00,141984.00,230.00,2.00
31,Lumbini Bank Limited,2,157.00,155.00,157.00,464.00,72076.00,152.00,5.00
32,Lumbini General Insurance Co. Ltd.,68,104.00,96.00,104.00,1180.00,115940.00,95.00,9.00
33,Mahakali Bikas Bank Limited,7,105.00,105.00,105.00,100.00,10500.00,103.00,2.00
34,Mahalaxmi Bikas Bank Ltd.,39,70.00,68.00,69.00,1330.00,91710.00,70.00,-1.00
35,Miteri Development Bank Limited,7,94.00,93.00,94.00,200.00,18740.00,93.00,1.00
36,Muktinath Bikas Bank Ltd.,12,155.00,154.00,155.00,140.00,21590.00,157.00,-2.00
37,Nabil Bank Limited,5,840.00,825.00,840.00,442.00,367150.00,835.00,5.00
38,Nepal Bangladesh Bank Limited,1,130.00,130.00,130.00,20.00,2600.00,132.00,-2.00
39,Nepal Doorsanchar Comapany Limited,3,438.00,434.00,436.00,980.00,426020.00,437.00,-1.00
40,Nepal Express Finance Ltd.,47,111.00,111.00,111.00,1081.00,119991.00,111.00,0.00
