S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,1,107.00,107.00,107.00,53.00,5671.00,105.00,2.00
2,Agriculture Development Bank Limited,27,113.00,110.00,111.00,1833.00,203887.00,110.00,1.00
3,Alpine Development Bank Limited,45,98.00,95.00,98.00,760.00,73530.00,96.00,2.00
4,Araniko Development Bank Limited,44,75.00,73.00,75.00,1270.00,93710.00,74.00,1.00
5,Arun Valley Hydropower Development Co. Ltd.,17,305.00,302.00,304.00,367.00,111110.00,305.00,-1.00
6,Asian Life Insurance Co. Limited,2,148.00,146.00,148.00,50.00,7380.00,148.00,0.00
7,Bank of Asia Nepal Limited,9,162.00,159.00,162.00,640.00,102330.00,160.00,2.00
8,Bank of Kathmandu Ltd.,39,423.00,413.00,423.00,11531.00,4783630.00,418.00,5.00
9,Biratlaxmi Bikas Bank Limited,6,125.00,122.00,125.00,610.00,74980.00,124.00,1.00
10,Chilime Hydropower Company Limited,32,610.00,607.00,609.00,2860.00,1743010.00,612.00,-3.00
11,Citizen Bank International Limited,14,173.00,169.00,170.00,1085.00,184303.00,169.00,1.00
12,Citizen Investment Trust,1,574.00,574.00,574.00,50.00,28700.00,574.00,0.00
13,Clean Energy Development Bank Limited,3,131.00,129.00,131.00,226.00,29442.00,128.00,3.00
14,Corporate Development Bank Limited,25,103.00,101.00,103.00,1140.00,116220.00,103.00,0.00
15,Deprosc Laghubitta Bittiya Sanstha Limited,3,214.00,210.00,214.00,377.00,80010.00,218.00,-4.00
16,Deva Bikas Bank Limited,3,81.00,80.00,81.00,153.00,12342.00,79.00,2.00
17,Everest Bank Limited,17,687.00,670.00,687.00,1427.00,957004.00,675.00,12.00
18,Gandaki Bikas Bank Limited,53,106.00,104.00,106.00,1100.00,115760.00,105.00,1.00
19,Garima Bikas Bank Limited,18,122.00,119.00,119.00,620.00,74240.00,120.00,-1.00
20,Gaurishankar Development Bank Ltd.,5,92.00,91.00,92.00,50.00,4590.00,90.00,2.00
21,Global IME Bank Limited,2,165.00,162.00,165.00,75.00,12285.00,162.00,3.00
22,Grand Bank Nepal Limited,2,130.00,130.00,130.00,131.00,17030.00,128.00,2.00
23,Gurans Life Insurance Company Ltd.,58,99.00,94.00,94.00,1300.00,124150.00,94.00,0.00
24,Himalayan Bank Limited,5,465.00,460.00,465.00,801.00,370156.00,460.00,5.00
25,Himalayan Finance Limited (Bittiya Sanstha),18,55.00,53.00,53.00,420.00,22600.00,56.00,-3.00
26,ICFC Finance Limited,3,115.00,114.00,114.00,110.00,12610.00,114.00,0.00
27,Imperial Financial Inst. Ltd.,122,108.00,106.00,108.00,3294.00,354510.00,108.00,0.00
28,Jyoti Bikas Bank Limited,18,89.00,85.00,85.00,1020.00,87630.00,86.00,-1.00
29,Kamana Sewa Bikas Bank Limited,44,102.00,98.00,98.00,900.00,89290.00,98.00,0.00
30,Karnali Development Bank Limited,3,72.00,71.00,72.00,30.00,2150.00,71.00,1.00
31,Kumari Bank Limited,13,196.00,193.00,195.00,1409.00,273185.00,195.00,0.00
32,Kumari Bank Limited Promotor Share,21,78.00,76.00,78.00,430.00,33230.00,77.00,1.00
33,Laxmi Bank Limited,13,232.00,230.00,231.00,2361.00,544250.00,230.00,1.00
34,Lumbini Bank Limited,2,152.00,152.00,152.00,200.00,30400.00,152.00,0.00
35,Lumbini General Insurance Co. Ltd.,26,98.00,97.00,97.00,510.00,49480.00,100.00,-3.00
36,Mahakali Bikas Bank Limited,2,99.00,98.00,98.00,20.00,1970.00,98.00,0.00
37,Mahalaxmi Bikas Bank Ltd.,10,69.00,68.00,68.00,560.00,38320.00,68.00,0.00
38,Miteri Development Bank Limited,3,97.00,96.00,97.00,230.00,22270.00,97.00,0.00
39,Muktinath Bikas Bank Ltd.,5,165.00,162.00,164.00,60.00,9820.00,162.00,2.00
40,Nabil Bank Limited,2,840.00,832.00,832.00,250.00,208400.00,842.00,-10.00
41,Narayani National Finance Limited,6,125.00,121.00,121.00,2092.00,261200.00,127.00,-6.00
42,National Hydro Power Company Limited,1,48.00,48.00,48.00,1200.00,57600.00,48.50,-0.50
