S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,3,112.00,111.00,111.00,516.00,57466.00,112.00,-1.00
2,Agriculture Development Bank Limited,20,110.00,107.00,110.00,2091.00,227290.00,111.00,-1.00
3,Alpine Development Bank Limited,16,96.00,95.00,95.00,430.00,40890.00,95.00,0.00
4,Api Finance Limited,1,112.00,112.00,112.00,20.00,2240.00,110.00,2.00
5,Araniko Development Bank Limited,142,73.00,70.00,73.00,3030.00,216600.00,72.00,1.00
6,Arun Valley Hydropower Development Co. Ltd.,22,310.00,294.00,299.00,908.00,273234.00,300.00,-1.00
7,Bank of Asia Nepal Limited,21,161.00,152.00,156.00,4785.00,734740.00,158.00,-2.00
8,Bank of Kathmandu Ltd.,32,414.00,409.00,409.00,8442.00,3475624.00,414.00,-5.00
9,Best Finance Co. Limited Promoter Share,2,104.00,104.00,104.00,15424.00,1604096.00,106.00,-2.00
10,Biratlaxmi Bikas Bank Limited,2,127.00,125.00,125.00,113.00,14165.00,125.00,0.00
11,Butwal Power Company Limited,2,526.00,520.00,520.00,80.00,41840.00,536.00,-16.00
12,Chilime Hydropower Company Limited,23,605.00,600.00,600.00,3180.00,1912100.00,605.00,-5.00
13,Citizen Bank International Limited,39,174.00,167.00,170.00,5356.00,910797.00,167.00,3.00
14,Clean Energy Development Bank Limited,24,135.00,132.00,133.00,1926.00,256190.00,130.00,3.00
15,Corporate Development Bank Limited,1,104.00,104.00,104.00,40.00,4160.00,103.00,1.00
16,Everest Bank Limited,14,683.00,665.00,683.00,1337.00,895294.00,672.00,11.00
17,Excel Development Bank Ltd.,1,312.00,312.00,312.00,10.00,3120.00,306.00,6.00
18,Fewa Finance Co. Ltd.,3,172.00,169.00,172.00,260.00,44000.00,169.00,3.00
19,Gandaki Bikas Bank Limited,1,105.00,105.00,105.00,50.00,5250.00,106.00,-1.00
20,Garima Bikas Bank Limited,13,120.00,117.00,117.00,550.00,65570.00,119.00,-2.00
21,Gaurishankar Development Bank Ltd.,14,90.00,89.00,90.00,142.00,12758.00,89.00,1.00
22,Grand Bank Nepal Limited,2,130.00,128.00,130.00,149.00,19170.00,130.00,0.00
23,Gurans Life Insurance Company Ltd.,57,91.00,88.00,89.00,900.00,81250.00,90.00,-1.00
24,Gurkhas Finance Ltd.,1,111.00,111.00,111.00,230.00,25530.00,111.00,0.00
25,Himalayan Bank Limited,5,458.00,458.00,458.00,710.00,325180.00,462.00,-4.00
26,Himalayan Distillery Limited,2,99.00,99.00,99.00,20.00,1980.00,100.00,-1.00
27,ICFC Finance Limited,1,110.00,110.00,110.00,42.00,4620.00,108.00,2.00
28,Imperial Financial Inst. Ltd.,33,119.00,117.00,119.00,959.00,112393.00,115.00,4.00
29,Jyoti Bikas Bank Limited,65,84.00,81.00,81.00,2410.00,199460.00,83.00,-2.00
30,Kamana Sewa Bikas Bank Limited,1,95.00,95.00,95.00,30.00,2850.00,95.00,0.00
31,Kankai Bikas Bank Ltd.,10,80.00,80.00,80.00,100.00,8000.00,81.00,-1.00
32,Kumari Bank Limited,10,184.00,180.00,184.00,1172.00,212804.00,183.00,1.00
33,Kumari Bank Limited Promotor Share,17,81.00,81.00,81.00,270.00,21870.00,80.00,1.00
34,Laxmi Bank Limited,5,232.00,230.00,230.00,8632.00,1985560.00,234.00,-4.00
35,Life Insurance Co. Nepal,6,525.00,515.00,525.00,290.00,151570.00,521.00,4.00
36,Lumbini General Insurance Co. Ltd.,67,95.00,94.00,94.00,690.00,65510.00,95.00,-1.00
37,Mahalaxmi Bikas Bank Ltd.,50,70.00,67.00,68.00,6560.00,445290.00,68.00,0.00
38,Miteri Development Bank Limited,8,100.00,99.00,99.00,280.00,27860.00,99.00,0.00
