"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Prime Debenture 2088,,3,,835.00,,816.50,,833.00,,75.00,,62112.50,,822.00,,11.00,
,2,,10.35% Agricultural Bank Debenture 2083,,1,,950.00,,950.00,,950.00,,25.00,,23750.00,,950.00,,0.00,
,3,,9.5% Manjushree Finance Limited Debenture 2085,,2,,840.00,,839.80,,840.00,,50.00,,41995.00,,838.50,,1.50,
,4,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,14,,719.40,,708.10,,714.50,,305.00,,217943.20,,716.00,,-1.50,
,5,,Agricultural Development Bank Limited,,134,,319.80,,310.00,,317.00,,24496.00,,7724142.80,,316.00,,1.00,
,6,,Ankhu Khola Jalvidhyut Company Ltd,,98,,180.00,,170.00,,176.90,,12482.00,,2197823.20,,172.00,,4.90,
,7,,Api Power Company Ltd.,,340,,215.00,,207.00,,214.00,,73768.00,,15613599.00,,210.00,,4.00,
,8,,Arun Kabeli Power Ltd.,,217,,385.30,,373.00,,382.50,,32624.00,,12441117.00,,375.90,,6.60,
,9,,Arun Valley Hydropower Development Co. Ltd.,,210,,284.10,,268.00,,281.00,,39034.00,,10905238.60,,272.10,,8.90,
,10,,Asha Laghubitta Bittiya Sanstha Ltd,,22,,966.00,,931.00,,950.00,,487.00,,460719.00,,950.00,,0.00,
,11,,Asian Life Insurance Co. Limited,,58,,446.50,,430.50,,444.50,,6105.00,,2683401.30,,439.10,,5.40,
,12,,Aviyan Laghubitta Bittiya Sanstha Limited,,9,,607.20,,563.00,,607.20,,70.00,,40906.90,,552.00,,55.20,
,13,,Balephi Hydropower Limited,,42,,265.00,,250.00,,259.50,,1037.00,,266450.00,,261.00,,-1.50,
,14,,Barun Hydropower Co. Ltd.,,25,,216.80,,208.00,,215.00,,1705.00,,358937.40,,212.90,,2.10,
,15,,Best Finance Company Ltd.,,49,,330.00,,320.00,,322.00,,4389.00,,1422625.00,,318.60,,3.40,
,16,,Bindhyabasini Hydropower Development Company Limited,,65,,356.00,,331.00,,353.60,,1356.00,,460161.00,,341.50,,12.10,
,17,,Bishal Bazar Company Limited,,5,,3255.00,,3200.00,,3212.00,,60.00,,193070.00,,3201.00,,11.00,
,18,,Bottlers Nepal (Terai) Limited,,6,,11935.00,,11700.00,,11935.00,,350.00,,4173720.00,,11700.00,,235.00,
,19,,Buddha Bhumi Nepal Hydropower Company Limited,,25,,371.00,,356.40,,370.00,,1840.00,,666511.60,,374.00,,-4.00,
,20,,Butwal Power Company Limited,,73,,298.90,,293.00,,295.80,,5511.00,,1634264.20,,296.10,,-0.30,
,21,,CEDB Hydropower Development Company Limited,,46,,625.00,,610.20,,616.00,,1445.00,,894220.00,,618.00,,-2.00,
,22,,Central Finance Co. Ltd.,,78,,316.00,,294.00,,309.90,,13096.00,,4021116.00,,299.80,,10.10,
,23,,Chandragiri Hills Limited,,22,,975.00,,946.00,,975.00,,418.00,,403845.00,,960.00,,15.00,
,24,,Chhimek Laghubitta Bittiya Sanstha Limited,,133,,1007.10,,992.00,,996.10,,8458.00,,8457177.40,,999.00,,-2.90,
,25,,Chhyangdi Hydropower Ltd.,,45,,211.60,,203.80,,203.80,,6813.00,,1420775.00,,205.90,,-2.10,
,26,,Chilime Hydropower Company Limited,,69,,365.00,,354.00,,362.00,,23542.00,,8435275.30,,359.00,,3.00,
,27,,Citizen Investment Trust,,108,,1900.00,,1857.00,,1875.00,,4101.00,,7658191.00,,1874.00,,1.00,
,28,,Citizens Bank Internatioal Limited Promoter Share,,1,,153.00,,153.00,,153.00,,18172.00,,2780316.00,,153.00,,0.00,
,29,,Citizens Bank International Limited,,177,,201.10,,195.70,,201.10,,30677.00,,6078556.20,,197.20,,3.90,
,30,,Citizens Mutual Fund -1,,1,,8.10,,8.10,,8.10,,1000.00,,8100.00,,8.15,,-0.05,
,31,,Civil Laghubitta Bittiya Sanstha Ltd.,,12,,766.00,,751.00,,765.00,,267.00,,201395.20,,754.00,,11.00,
,32,,Corporate Development Bank Limited,,21,,275.80,,255.00,,269.00,,1810.00,,475300.00,,260.00,,9.00,
,33,,Deprosc Laghubitta Bittiya Sanstha Limited,,79,,920.00,,912.00,,918.00,,3985.00,,3654704.20,,912.00,,6.00,
