"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Sunrise Debenture 2080,,2,,963.90,,963.80,,963.90,,50.00,,48192.50,,945.00,,18.90,
,2,,8.5% BOK Debenture 2086,,10,,765.10,,752.00,,752.00,,475.00,,358673.00,,765.00,,-13.00,
,3,,8.5% Nepal Investment Bank Debenture 2084,,1,,827.00,,827.00,,827.00,,25.00,,20675.00,,825.10,,1.90,
,4,,8.5% Sanima Debenture 2087,,1,,770.30,,770.30,,770.30,,100.00,,77030.00,,786.00,,-15.70,
,5,,9.5% Manjushree Finance Limited Debenture 2085,,1,,840.00,,840.00,,840.00,,50.00,,42000.00,,830.00,,10.00,
,6,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,29,,814.00,,800.00,,800.00,,406.00,,326812.00,,814.00,,-14.00,
,7,,Agricultural Development Bank Limited,,150,,324.00,,320.00,,321.40,,11229.00,,3612997.90,,321.00,,0.40,
,8,,Ankhu Khola Jalvidhyut Company Ltd,,162,,206.00,,201.60,,203.00,,29585.00,,6020302.40,,203.30,,-0.30,
,9,,Api Power Company Ltd.,,302,,253.00,,246.00,,247.00,,53988.00,,13435595.60,,249.50,,-2.50,
,10,,Arun Kabeli Power Ltd.,,226,,454.00,,441.00,,442.00,,27254.00,,12141579.70,,448.10,,-6.10,
,11,,Arun Valley Hydropower Development Co. Ltd.,,165,,340.00,,332.10,,334.00,,29721.00,,9970593.90,,336.00,,-2.00,
,12,,Asha Laghubitta Bittiya Sanstha Ltd,,43,,1194.00,,1132.00,,1132.00,,950.00,,1083948.50,,1175.00,,-43.00,
,13,,Asian Life Insurance Co. Limited,,65,,569.00,,558.20,,560.00,,7788.00,,4365178.80,,563.90,,-3.90,
,14,,Balephi Hydropower Limited,,158,,314.00,,307.10,,313.00,,2750.00,,851459.00,,315.00,,-2.00,
,15,,Barun Hydropower Co. Ltd.,,40,,252.50,,245.40,,249.90,,2037.00,,505136.80,,250.00,,-0.10,
,16,,Best Finance Company Ltd.,,38,,375.50,,368.00,,373.00,,5392.00,,2005025.50,,371.00,,2.00,
