"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Prime Debenture 2088,,3,,829.70,,821.80,,821.80,,65.00,,53851.50,,829.20,,-7.40,
,2,,10.25% KBL Debenture 2086,,1,,915.00,,915.00,,915.00,,15.00,,13725.00,,897.10,,17.90,
,3,,10.5 % NEPAL INVESTMENT DEBENTURE 2082,,2,,915.10,,915.00,,915.00,,150.00,,137255.00,,915.00,,0.00,
,4,,8.5% Sanima Debenture 2087,,3,,776.00,,775.00,,776.00,,80.00,,62035.00,,760.00,,16.00,
,5,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,52,,782.00,,720.00,,766.40,,2184.00,,1656162.10,,720.00,,46.40,
,6,,Agricultural Development Bank Limited,,179,,323.00,,313.00,,322.00,,16955.00,,5399213.90,,319.00,,3.00,
,7,,Ankhu Khola Jalvidhyut Company Ltd,,203,,184.00,,174.00,,184.00,,30798.00,,5539073.20,,176.00,,8.00,
,8,,Api Power Company Ltd.,,456,,221.00,,209.80,,219.50,,103013.00,,22438043.30,,214.00,,5.50,
,9,,Arun Kabeli Power Ltd.,,446,,382.00,,360.00,,378.00,,55169.00,,20410068.10,,362.73,,15.27,
,10,,Arun Valley Hydropower Development Co. Ltd.,,221,,283.50,,270.00,,283.50,,43246.00,,12059337.40,,275.00,,8.50,
,11,,Asha Laghubitta Bittiya Sanstha Ltd,,62,,1039.00,,988.00,,1039.00,,2177.00,,2193571.60,,970.00,,69.00,
,12,,Asian Life Insurance Co. Limited,,110,,485.00,,454.00,,472.00,,17987.00,,8310412.40,,452.00,,20.00,
,13,,Aviyan Laghubitta Bittiya Sanstha Limited,,372,,786.00,,744.00,,783.00,,11612.00,,8940070.10,,759.00,,24.00,
,14,,Balephi Hydropower Limited,,129,,244.00,,231.30,,239.00,,3670.00,,874058.00,,236.00,,3.00,
,15,,Barun Hydropower Co. Ltd.,,37,,224.40,,212.00,,223.50,,2314.00,,508916.40,,217.00,,6.50,
,16,,Best Finance Company Ltd.,,86,,333.00,,316.50,,331.00,,10893.00,,3582769.50,,322.10,,8.90,
,17,,Bindhyabasini Hydropower Development Company Limited,,79,,343.70,,330.00,,340.00,,2099.00,,712077.40,,334.00,,6.00,
,18,,Bishal Bazar Company Limited,,25,,3426.00,,3241.00,,3426.00,,800.00,,2627136.50,,3243.80,,182.20,
,19,,Bottlers Nepal (Terai) Limited,,11,,12400.00,,12201.00,,12400.00,,210.00,,2577298.00,,12081.00,,319.00,
,20,,Buddha Bhumi Nepal Hydropower Company Limited,,42,,374.00,,351.00,,374.00,,2010.00,,724430.00,,360.00,,14.00,
,21,,Butwal Power Company Limited,,53,,312.00,,300.20,,311.00,,4385.00,,1351958.00,,305.10,,5.90,
,22,,CEDB Hydropower Development Company Limited,,78,,639.90,,605.00,,630.00,,4361.00,,2759373.00,,616.00,,14.00,
,23,,Central Finance Co. Ltd.,,210,,339.00,,320.00,,335.50,,28311.00,,9404686.90,,326.90,,8.60,
,24,,Chandragiri Hills Limited,,73,,1050.60,,992.10,,1034.00,,3599.00,,3671908.30,,1003.00,,31.00,
,25,,Chhimek Laghubitta Bittiya Sanstha Limited,,452,,1100.00,,1043.40,,1100.00,,19807.00,,21235618.30,,1023.00,,77.00,
,26,,Chhyangdi Hydropower Ltd.,,39,,219.30,,211.00,,219.00,,4229.00,,905344.80,,211.00,,8.00,
,27,,Chilime Hydropower Company Limited,,124,,387.60,,373.50,,387.50,,13407.00,,5135165.00,,378.00,,9.50,
,28,,Citizen Investment Trust,,273,,1920.00,,1866.10,,1914.00,,7797.00,,14794790.30,,1876.90,,37.10,
,29,,Citizens Bank International Limited,,210,,190.00,,185.00,,188.00,,39125.00,,7317574.70,,189.00,,-1.00,
,30,,Citizens Mutual Fund -1,,15,,8.58,,7.91,,8.50,,9110.00,,75491.00,,8.23,,0.27,
,31,,CITIZENS MUTUAL FUND 2,,5,,8.37,,8.05,,8.37,,5100.00,,41642.00,,8.05,,0.32,
,32,,Civil Bank Debenture 2088,,1,,834.30,,834.30,,834.30,,25.00,,20857.50,,850.00,,-15.70,
,33,,Civil Laghubitta Bittiya Sanstha Ltd.,,24,,798.00,,780.00,,798.00,,1047.00,,826352.00,,770.00,,28.00,
,34,,Corporate Development Bank Limited,,45,,301.70,,279.60,,301.70,,6732.00,,1950977.40,,289.50,,12.20,
,35,,Deprosc Laghubitta Bittiya Sanstha Limited,,159,,1000.00,,940.00,,980.10,,7466.00,,7358229.20,,938.00,,42.10,
,36,,Dhaulagiri Laghubitta Bittiya Sanstha Limited,,2,,183.20,,177.70,,183.20,,20.00,,3609.00,,179.70,,3.50,
,37,,Dibyashwori Hydropower Ltd.,,50,,187.00,,180.10,,186.10,,7929.00,,1470409.80,,180.00,,6.10,
,38,,Dordi Khola Jal Bidyut Company Limited,,197,,268.00,,240.10,,268.00,,6435.00,,1659198.40,,254.90,,13.10,
,39,,Emerging Nepal Limited,,34,,650.00,,603.00,,648.00,,1639.00,,1028188.40,,615.00,,33.00,
,40,,Everest Bank Limited,,814,,550.00,,532.20,,540.00,,132005.00,,70901175.40,,532.00,,8.00,
,41,,Excel Development Bank Ltd.,,57,,329.90,,320.00,,325.50,,5905.00,,1918213.20,,320.00,,5.50,
,42,,First Micro Finance Laghubitta Bittiya Sanstha Limited,,145,,679.90,,641.00,,675.00,,12392.00,,8283775.00,,643.00,,32.00,
,43,,Forward Microfinance Laghubitta Bittiya Sanstha Limited,,348,,2745.00,,2651.00,,2740.00,,11805.00,,32059922.40,,2629.00,,111.00,
,44,,Ganapati Laghubitta Bittiya Sanstha Limited,,17,,835.20,,810.00,,835.20,,470.00,,387020.00,,803.00,,32.20,
,45,,Garima Bikas Bank Limited,,247,,395.00,,383.00,,394.90,,49520.00,,19325459.60,,385.00,,9.90,
,46,,"Garima Debenture, 2085",,2,,745.10,,745.00,,745.10,,125.00,,93127.50,,750.00,,-4.90,
,47,,Ghalemdi Hydro Limited,,68,,193.80,,182.00,,191.00,,9349.00,,1764856.90,,184.90,,6.10,
,48,,Global IME Bank Limited Debenture 2086/87,,1,,735.00,,735.00,,735.00,,25.00,,18375.00,,735.00,,0.00,
,49,,Global IME Laghubitta Bittiya Sanstha Ltd.,,53,,1280.00,,1220.00,,1280.00,,3982.00,,5022391.00,,1231.00,,49.00,
,50,,Global IME Samunnat Scheme-1,,14,,8.50,,8.22,,8.40,,22647.00,,187613.50,,8.36,,0.04,
,51,,Goodwill Finance Limited,,95,,474.00,,443.00,,473.90,,11940.00,,5551605.40,,451.00,,22.90,
,52,,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,,86,,673.70,,608.00,,656.00,,9709.00,,6200213.80,,626.00,,30.00,
,53,,Green Development Bank Ltd.,,18,,250.00,,240.10,,250.00,,4174.00,,1018485.50,,240.00,,10.00,
,54,,Green Ventures Limited,,180,,303.00,,282.10,,303.00,,5855.00,,1736968.00,,291.00,,12.00,
,55,,GreenLife Hydropower Limited,,73,,257.00,,239.20,,254.00,,3174.00,,790839.00,,246.00,,8.00,
,56,,Guheshowori Merchant Bank & Finance Co. Ltd.,,34,,340.00,,330.00,,337.00,,4873.00,,1633664.50,,327.10,,9.90,
,57,,Gurans Laghubitta Bittiya Sanstha Limited,,63,,897.00,,865.00,,870.00,,4738.00,,4122922.90,,865.00,,5.00,
,58,,Gurkhas Finance Ltd.,,368,,565.00,,527.40,,565.00,,48345.00,,26708130.30,,538.00,,27.00,
,59,,Himal Dolakha Hydropower Company Limited,,581,,180.00,,165.70,,177.00,,394586.00,,67548186.60,,172.70,,4.30,
,60,,Himalaya Urja Bikas Company Limited,,40,,221.00,,207.90,,220.30,,2438.00,,525058.50,,211.00,,9.30,
,61,,Himalayan Bank Limited,,90,,342.90,,331.50,,340.50,,13631.00,,4616466.30,,338.00,,2.50,
,62,,Himalayan Distillery Limited,,452,,3680.00,,3528.00,,3670.00,,12335.00,,44725968.90,,3528.00,,142.00,
,63,,Himalayan Everest Insurance Limited,,91,,384.80,,374.00,,384.00,,12242.00,,4642001.50,,373.00,,11.00,
,64,,Himalayan Everest Insurance Limited Promoter,,15,,260.90,,246.10,,247.00,,4756.00,,1206547.60,,255.90,,-8.90,
,65,,Himalayan Hydropower Limited,,139,,224.40,,213.00,,223.00,,3946.00,,866841.00,,217.00,,6.00,
,66,,Himalayan Power Partner Ltd.,,62,,292.00,,268.60,,292.00,,7100.00,,2046310.00,,274.00,,18.00,
,67,,Hydorelectricity Investment and Development Company Limited Promoter,,24,,100.30,,98.90,,98.90,,17942.00,,1780163.00,,98.00,,0.90,
,68,,Hydorelectricity Investment and Development Company Ltd,,448,,177.00,,168.60,,176.90,,78892.00,,13732343.70,,173.00,,3.90,
,69,,ICFC Finance Limited,,185,,461.00,,441.50,,461.00,,25998.00,,11783141.10,,441.20,,19.80,
