"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10.25% KBL Debenture 2086,,1,,920.00,,920.00,,920.00,,100.00,,92000.00,,938.50,,-18.50,
,2,,12 % Goodwill Finance Limited Debenture 2083,,1,,1015.00,,1015.00,,1015.00,,100.00,,101500.00,,1016.00,,-1.00,
,3,,12% ICFC Finance Limited Debenture 2083,,4,,1020.00,,1018.00,,1018.00,,500.00,,509672.00,,1015.00,,3.00,
,4,,9.5% Manjushree Finance Limited Debenture 2085,,2,,848.00,,847.00,,848.00,,50.00,,42375.00,,849.50,,-1.50,
,5,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,29,,886.80,,861.00,,875.00,,628.00,,548325.00,,876.00,,-1.00,
,6,,Agricultural Development Bank Limited,,177,,325.90,,316.10,,319.00,,13511.00,,4315412.80,,320.00,,-1.00,
,7,,Ankhu Khola Jalvidhyut Company Ltd,,300,,220.00,,213.20,,215.00,,47963.00,,10407501.00,,218.00,,-3.00,
,8,,Api Power Company Ltd.,,842,,268.00,,260.00,,266.00,,166162.00,,43874461.90,,266.10,,-0.10,
,9,,Arun Kabeli Power Ltd.,,493,,459.00,,443.00,,445.00,,74541.00,,33503900.20,,450.00,,-5.00,
,10,,Arun Valley Hydropower Development Co. Ltd.,,476,,369.00,,356.10,,360.00,,82694.00,,29951061.70,,359.00,,1.00,
,11,,Asha Laghubitta Bittiya Sanstha Ltd,,77,,1224.00,,1176.00,,1210.00,,3444.00,,4092365.80,,1224.00,,-14.00,
,12,,Asian Life Insurance Co. Limited,,199,,615.00,,593.00,,600.00,,25465.00,,15282059.60,,604.00,,-4.00,
,13,,Balephi Hydropower Limited,,362,,350.00,,330.10,,340.00,,13782.00,,4631740.20,,342.10,,-2.10,
,14,,Barun Hydropower Co. Ltd.,,117,,286.10,,274.00,,281.00,,11892.00,,3345869.00,,282.90,,-1.90,
,15,,Best Finance Company Ltd.,,210,,403.00,,381.00,,396.00,,28581.00,,11251996.20,,387.00,,9.00,
,16,,Bindhyabasini Hydropower Development Company Limited,,760,,484.50,,470.00,,477.00,,14665.00,,6969095.00,,487.00,,-10.00,
,17,,Bishal Bazar Company Limited,,5,,3700.00,,3665.00,,3680.00,,60.00,,221170.00,,3686.00,,-6.00,
,18,,Bottlers Nepal (Terai) Limited,,14,,13850.00,,13500.00,,13800.00,,150.00,,2055450.00,,13620.00,,180.00,
,19,,Buddha Bhumi Nepal Hydropower Company Limited,,86,,450.00,,424.60,,434.90,,2838.00,,1228664.80,,442.00,,-7.10,
,20,,Butwal Power Company Limited,,95,,338.90,,329.50,,338.00,,10701.00,,3580214.90,,334.80,,3.20,
,21,,CEDB Hydropower Development Company Limited,,175,,785.50,,746.00,,775.00,,11953.00,,9140004.00,,755.00,,20.00,
,22,,Central Finance Co. Ltd.,,187,,352.00,,338.00,,340.00,,25410.00,,8705550.30,,346.00,,-6.00,
,23,,Chandragiri Hills Limited,,57,,1082.00,,1052.00,,1060.00,,2529.00,,2709708.80,,1066.00,,-6.00,
,24,,Chhimek Laghubitta Bittiya Sanstha Limited,,227,,1040.00,,1021.00,,1030.00,,10712.00,,11041107.20,,1041.00,,-11.00,
,25,,Chhyangdi Hydropower Ltd.,,105,,294.70,,277.40,,284.00,,18693.00,,5281551.30,,289.00,,-5.00,
,26,,Chilime Hydropower Company Limited,,137,,415.00,,400.00,,402.90,,15759.00,,6355041.80,,406.90,,-4.00,
,27,,Citizen Investment Trust,,1442,,2346.00,,2230.00,,2254.00,,47199.00,,106879467.80,,2214.62,,39.38,
,28,,Citizens Bank International Limited,,229,,204.50,,199.00,,200.10,,42974.00,,8609624.80,,200.50,,-0.40,
,29,,Citizens Mutual Fund -1,,18,,8.33,,8.17,,8.33,,36200.00,,298124.00,,8.01,,0.32,
,30,,CITIZENS MUTUAL FUND 2,,3,,8.87,,8.70,,8.87,,3704.00,,32378.48,,8.87,,0.00,
,31,,Civil Bank Debenture 2088,,2,,880.00,,880.00,,880.00,,25.00,,22000.00,,890.00,,-10.00,
,32,,Civil Laghubitta Bittiya Sanstha Ltd.,,62,,973.00,,921.00,,955.00,,4276.00,,4035252.00,,955.00,,0.00,
,33,,Corporate Development Bank Limited,,89,,327.90,,303.60,,313.00,,9401.00,,2958836.10,,316.00,,-3.00,
,34,,Deprosc Laghubitta Bittiya Sanstha Limited,,140,,987.00,,963.10,,980.00,,12588.00,,12266097.90,,978.00,,2.00,
,35,,Dibyashwori Hydropower Ltd.,,81,,222.10,,218.00,,222.00,,11005.00,,2428417.40,,221.50,,0.50,
,36,,Dordi Khola Jal Bidyut Company Limited,,480,,345.20,,330.00,,340.00,,16076.00,,5426708.10,,338.50,,1.50,
,37,,Emerging Nepal Limited,,130,,742.00,,697.00,,700.00,,4160.00,,2968622.00,,697.00,,3.00,
,38,,Everest Bank Limited,,157,,504.90,,495.00,,501.20,,31386.00,,15740894.30,,502.00,,-0.80,
,39,,Excel Development Bank Ltd.,,103,,360.00,,345.30,,359.00,,19448.00,,6873903.60,,353.30,,5.70,
,40,,First Micro Finance Laghubitta Bittiya Sanstha Limited,,127,,719.00,,693.00,,701.10,,11146.00,,7879127.00,,701.10,,0.00,
,41,,Forward Microfinance Laghubitta Bittiya Sanstha Limited,,344,,2699.00,,2601.00,,2662.00,,12034.00,,31878791.40,,2651.10,,10.90,
,42,,Ganapati Laghubitta Bittiya Sanstha Limited,,40,,969.00,,940.00,,945.00,,1427.00,,1358692.70,,969.00,,-24.00,
,43,,Garima Bikas Bank Limited,,276,,404.50,,389.10,,400.00,,43963.00,,17419961.90,,396.80,,3.20,
,44,,Ghalemdi Hydro Limited,,179,,243.90,,225.70,,233.00,,32221.00,,7482241.10,,233.30,,-0.30,
,45,,Global IME Bank Limited Debenture 2086/87,,3,,765.00,,760.50,,760.50,,60.00,,45720.00,,759.30,,1.20,
,46,,Global IME Laghubitta Bittiya Sanstha Ltd.,,51,,1327.00,,1300.50,,1310.10,,2097.00,,2755348.60,,1327.00,,-16.90,
,47,,Global IME Samunnat Scheme-1,,6,,9.80,,9.61,,9.65,,2440.00,,23729.00,,9.43,,0.22,
,48,,Goodwill Finance Limited,,332,,591.60,,535.00,,560.00,,60996.00,,33850480.60,,580.00,,-20.00,
,49,,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,,81,,776.00,,750.00,,775.90,,6458.00,,4915543.30,,774.90,,1.00,
,50,,Green Development Bank Ltd.,,50,,270.50,,255.00,,265.20,,6583.00,,1740999.60,,270.00,,-4.80,
,51,,Green Ventures Limited,,411,,386.90,,365.00,,378.30,,24977.00,,9392989.00,,380.00,,-1.70,
,52,,GreenLife Hydropower Limited,,103,,331.90,,320.00,,320.00,,5677.00,,1836173.00,,327.00,,-7.00,
,53,,Guheshowori Merchant Bank & Finance Co. Ltd.,,103,,367.00,,350.00,,357.00,,18698.00,,6697258.50,,356.00,,1.00,
,54,,Gurans Laghubitta Bittiya Sanstha Limited,,46,,1180.00,,1135.00,,1145.00,,1892.00,,2168716.90,,1170.00,,-25.00,
,55,,Gurkhas Finance  Ltd. Promoter Share,,4,,255.00,,255.00,,255.00,,7000.00,,1785000.00,,255.00,,0.00,
,56,,Gurkhas Finance Ltd.,,282,,611.90,,590.00,,590.00,,31106.00,,18635007.10,,607.00,,-17.00,
