"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Prime Debenture 2088,,3,,830.00,,828.00,,830.00,,75.00,,62200.00,,826.00,,4.00,
,2,,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,,1,,965.00,,965.00,,965.00,,100.00,,96500.00,,980.00,,-15.00,
,3,,10.50% SBL Debenture 2082,,1,,1000.40,,1000.40,,1000.40,,15.00,,15006.00,,1020.80,,-20.40,
,4,,11% NIC Asia Debenture 082/83,,2,,984.00,,964.40,,964.40,,100.00,,97420.00,,1004.00,,-39.60,
,5,,12 % Goodwill Finance Limited Debenture 2083,,2,,1025.00,,1020.00,,1025.00,,45.00,,46025.00,,1005.00,,20.00,
,6,,8.5% BOK Debenture 2086,,1,,753.00,,753.00,,753.00,,10.00,,7530.00,,738.50,,14.50,
,7,,9.5% Manjushree Finance Limited Debenture 2085,,1,,820.00,,820.00,,820.00,,25.00,,20500.00,,815.10,,4.90,
,8,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,20,,758.00,,740.00,,740.00,,486.00,,364654.00,,759.00,,-19.00,
,9,,Agricultural Development Bank Limited,,113,,322.00,,318.00,,321.00,,9278.00,,2971665.90,,321.00,,0.00,
,10,,Ankhu Khola Jalvidhyut Company Ltd,,96,,183.00,,177.70,,180.00,,16776.00,,3015082.90,,181.00,,-1.00,
,11,,Api Power Company Ltd.,,352,,225.00,,218.10,,220.60,,72543.00,,16162513.60,,221.00,,-0.40,
,12,,Arun Kabeli Power Ltd.,,173,,376.80,,368.00,,369.00,,22420.00,,8316250.20,,374.90,,-5.90,
,13,,Arun Valley Hydropower Development Co. Ltd.,,172,,286.60,,274.40,,279.90,,35527.00,,9939850.70,,279.00,,0.90,
,14,,Asha Laghubitta Bittiya Sanstha Ltd,,54,,985.00,,965.00,,978.00,,1749.00,,1698381.80,,993.00,,-15.00,
,15,,Asian Life Insurance Co. Limited,,130,,504.00,,469.00,,476.40,,12229.00,,5950329.20,,476.00,,0.40,
,16,,Aviyan Laghubitta Bittiya Sanstha Limited,,152,,777.00,,760.30,,765.00,,2826.00,,2169215.10,,774.00,,-9.00,
,17,,Balephi Hydropower Limited,,170,,259.80,,236.90,,253.00,,8425.00,,2136677.00,,244.40,,8.60,
,18,,Barun Hydropower Co. Ltd.,,45,,218.80,,212.00,,215.00,,4372.00,,940062.90,,218.70,,-3.70,
,19,,Best Finance Company Ltd.,,49,,338.90,,331.00,,337.00,,4758.00,,1592582.90,,335.00,,2.00,
,20,,Bindhyabasini Hydropower Development Company Limited,,59,,350.00,,337.50,,350.00,,1170.00,,403064.00,,350.00,,0.00,
,21,,Bishal Bazar Company Limited,,3,,3370.00,,3306.00,,3307.00,,60.00,,199660.00,,3320.00,,-13.00,
,22,,Bottlers Nepal (Terai) Limited,,3,,12200.00,,12170.00,,12170.00,,70.00,,852800.00,,12100.00,,70.00,
,23,,Buddha Bhumi Nepal Hydropower Company Limited,,42,,376.20,,355.10,,372.40,,2135.00,,783197.00,,369.00,,3.40,
,24,,Butwal Power Company Limited,,46,,310.00,,305.20,,308.00,,2438.00,,751768.90,,308.20,,-0.20,
,25,,CEDB Hydropower Development Company Limited,,66,,642.00,,630.00,,640.00,,5155.00,,3281015.00,,635.00,,5.00,
,26,,Central Finance Co. Ltd.,,98,,335.00,,319.00,,328.00,,12006.00,,3917144.10,,325.10,,2.90,
,27,,Century Debenture 2088,,3,,873.20,,856.10,,856.60,,60.00,,51549.50,,856.10,,0.50,
,28,,Chandragiri Hills Limited,,37,,1040.00,,1000.10,,1030.00,,1060.00,,1083273.00,,1034.00,,-4.00,
,29,,Chhimek Laghubitta Bittiya Sanstha Limited,,177,,1121.00,,1100.00,,1109.80,,7827.00,,8712810.90,,1118.00,,-8.20,
,30,,Chhyangdi Hydropower Ltd.,,38,,219.40,,211.00,,218.00,,2546.00,,553385.10,,215.10,,2.90,
,31,,Chilime Hydropower Company Limited,,47,,394.00,,379.30,,387.00,,3105.00,,1189752.70,,387.00,,0.00,
,32,,Citizen Investment Trust,,199,,1940.00,,1919.00,,1925.00,,8578.00,,16540593.90,,1923.00,,2.00,
,33,,Citizens Bank International Limited,,193,,190.00,,186.00,,188.00,,373395.00,,69852305.20,,188.00,,0.00,
,34,,Citizens Mutual Fund -1,,6,,8.59,,8.26,,8.26,,7000.00,,58286.00,,8.60,,-0.34,
,35,,CITIZENS MUTUAL FUND 2,,6,,8.05,,7.90,,8.00,,8665.00,,69666.50,,8.21,,-0.21,
,36,,Civil Laghubitta Bittiya Sanstha Ltd.,,9,,776.00,,761.00,,776.00,,424.00,,326349.60,,790.00,,-14.00,
,37,,Corporate Development Bank Limited,,28,,298.00,,285.00,,289.00,,2935.00,,849740.40,,293.00,,-4.00,
,38,,Deprosc Laghubitta Bittiya Sanstha Limited,,33,,997.00,,975.00,,993.00,,1006.00,,987908.00,,985.10,,7.90,
,39,,Dibyashwori Hydropower Ltd.,,47,,185.00,,177.10,,180.00,,8025.00,,1467852.40,,181.60,,-1.60,
,40,,Dordi Khola Jal Bidyut Company Limited,,123,,265.00,,254.00,,254.80,,3746.00,,961111.80,,260.00,,-5.20,
,41,,Emerging Nepal Limited,,20,,650.00,,637.20,,650.00,,430.00,,278338.00,,650.00,,0.00,
,42,,Everest Bank Limited,,166,,534.40,,530.00,,530.20,,19249.00,,10226168.50,,531.00,,-0.80,
,43,,Excel Development Bank Ltd.,,47,,331.00,,325.00,,327.00,,4622.00,,1509421.00,,329.00,,-2.00,
,44,,First Micro Finance Laghubitta Bittiya Sanstha Limited,,68,,678.00,,661.00,,661.00,,6769.00,,4505433.00,,670.00,,-9.00,
,45,,Forward Microfinance Laghubitta Bittiya Sanstha Limited,,137,,2765.00,,2710.00,,2725.00,,3858.00,,10543154.80,,2735.00,,-10.00,
,46,,Ganapati Laghubitta Bittiya Sanstha Limited,,15,,834.00,,811.00,,824.00,,1043.00,,859170.00,,825.00,,-1.00,
,47,,Garima Bikas Bank Limited,,124,,392.80,,385.10,,387.80,,32669.00,,12672229.80,,387.00,,0.80,
,48,,"Garima Debenture, 2085",,6,,765.00,,742.40,,765.00,,135.00,,101470.00,,743.10,,21.90,
,49,,Ghalemdi Hydro Limited,,65,,199.00,,189.30,,190.10,,13325.00,,2572832.20,,196.00,,-5.90,
,50,,Global IME Laghubitta Bittiya Sanstha Ltd.,,34,,1220.00,,1198.00,,1199.00,,959.00,,1152701.30,,1207.00,,-8.00,
,51,,Global IME Samunnat Scheme-1,,18,,8.46,,8.30,,8.30,,33956.00,,282685.30,,8.34,,-0.04,
,52,,Goodwill Finance Limited,,83,,479.00,,460.00,,467.90,,9880.00,,4635163.20,,476.00,,-8.10,
,53,,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,,45,,635.00,,612.00,,617.50,,2708.00,,1678725.50,,632.00,,-14.50,
,54,,Green Development Bank Ltd.,,44,,245.00,,235.00,,237.70,,7590.00,,1810161.30,,243.80,,-6.10,
