"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Sunrise Debenture 2080,,4,,955.50,,936.00,,936.00,,70.00,,65731.00,,975.00,,-39.00,
,2,,10.25% KBL Debenture 2086,,2,,985.90,,966.20,,966.20,,30.00,,29183.00,,1006.00,,-39.80,
,3,,12% ICFC Finance Limited Debenture 2083,,2,,1121.20,,1121.20,,1121.20,,25.00,,28030.00,,1144.00,,-22.80,
,4,,8.5% BOK Debenture 2086,,5,,824.70,,805.00,,805.00,,95.00,,77465.50,,841.50,,-36.50,
,5,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,37,,842.00,,825.10,,842.00,,930.00,,778324.10,,825.10,,16.90,
,6,,Agricultural Development Bank Limited,,171,,333.00,,328.20,,333.00,,13768.00,,4553730.50,,331.00,,2.00,
,7,,Ankhu Khola Jalvidhyut Company Ltd,,171,,204.50,,198.00,,201.00,,29011.00,,5820477.40,,200.50,,0.50,
,8,,Api Power Company Ltd.,,709,,249.30,,237.30,,241.50,,96194.00,,23330538.20,,244.50,,-3.00,
,9,,Arun Kabeli Power Ltd.,,426,,469.00,,450.10,,465.00,,100519.00,,46547733.80,,459.00,,6.00,
,10,,Arun Valley Hydropower Development Co. Ltd.,,349,,359.90,,349.00,,352.20,,74062.00,,26241212.40,,356.10,,-3.90,
,11,,Asha Laghubitta Bittiya Sanstha Ltd,,59,,1268.80,,1220.00,,1230.00,,1443.00,,1795358.50,,1200.00,,30.00,
,12,,Asian Life Insurance Co. Limited,,159,,580.00,,561.00,,568.90,,19483.00,,11030768.80,,574.00,,-5.10,
,13,,Balephi Hydropower Limited,,195,,240.70,,225.80,,236.00,,3582.00,,841796.40,,239.70,,-3.70,
,14,,Barun Hydropower Co. Ltd.,,616,,449.00,,436.50,,443.00,,52529.00,,23198011.70,,440.00,,3.00,
,15,,Best Finance Company Ltd.,,94,,384.00,,370.00,,371.10,,13617.00,,5123210.70,,377.50,,-6.40,
,16,,Bishal Bazar Company Limited,,12,,3600.00,,3528.00,,3572.00,,180.00,,641365.00,,3600.00,,-28.00,
,17,,Buddha Bhumi Nepal Hydropower Company Limited,,37,,362.20,,351.00,,360.10,,1447.00,,519358.00,,355.00,,5.10,
,18,,Butwal Power Company Limited,,57,,328.20,,321.00,,322.00,,3873.00,,1257200.10,,322.00,,0.00,
,19,,CEDB Hydropower Development Company Limited,,78,,734.00,,719.00,,727.90,,5523.00,,4008315.50,,730.00,,-2.10,
,20,,Central Finance Co. Ltd.,,89,,306.10,,290.00,,295.30,,11099.00,,3332437.60,,302.00,,-6.70,
,21,,Century Commercial Bank Ltd.,,220,,186.50,,183.20,,186.40,,32875.00,,6086711.80,,183.00,,3.40,
,22,,Chandragiri Hills Limited,,43,,1059.90,,1020.00,,1022.00,,1240.00,,1282220.00,,1049.90,,-27.90,
,23,,Chhimek Laghubitta Bittiya Sanstha Limited,,324,,1100.00,,1050.90,,1050.90,,12564.00,,13389662.40,,1100.00,,-49.10,
,24,,Chhyangdi Hydropower Ltd.,,62,,260.00,,246.30,,255.00,,6256.00,,1611280.00,,250.00,,5.00,
,25,,Chilime Hydropower Company Limited,,98,,412.00,,400.00,,403.00,,8381.00,,3370763.90,,408.00,,-5.00,
,26,,Citizen Investment Trust,,171,,2565.00,,2511.00,,2547.00,,6711.00,,17084046.50,,2515.00,,32.00,
,27,,Citizens Bank International Limited,,146,,205.90,,202.10,,205.00,,19661.00,,4022429.00,,202.50,,2.50,
,28,,Citizens Mutual Fund -1,,11,,8.63,,8.41,,8.57,,9985.00,,85408.20,,8.80,,-0.23,
,29,,CITIZENS MUTUAL FUND 2,,1,,9.92,,9.92,,9.92,,500.00,,4960.00,,10.12,,-0.20,
,30,,Civil Laghubitta Bittiya Sanstha Ltd.,,40,,799.90,,751.00,,799.90,,2495.00,,1928726.20,,774.00,,25.90,
,31,,Civil Laghubitta Bittiya Sanstha Promoter,,3,,418.00,,418.00,,418.00,,21000.00,,8778000.00,,418.00,,0.00,
,32,,Corporate Development Bank Limited,,40,,316.00,,305.00,,306.00,,3068.00,,946523.90,,312.00,,-6.00,
,33,,Deprosc Laghubitta Bittiya Sanstha Limited,,125,,982.00,,940.00,,970.00,,5610.00,,5421318.50,,940.00,,30.00,
,34,,Dibyashwori Hydropower Ltd.,,38,,209.00,,200.00,,204.90,,4446.00,,899653.50,,205.00,,-0.10,
,35,,Dordi Khola Jal Bidyut Company Limited,,1606,,309.00,,292.10,,300.00,,18500.00,,5555379.00,,309.20,,-9.20,
,36,,Emerging Nepal Limited,,128,,720.00,,685.00,,706.10,,9870.00,,6975936.50,,684.00,,22.10,
,37,,Everest Bank Limited,,139,,447.00,,432.00,,446.90,,18180.00,,8020621.90,,439.00,,7.90,
,38,,Excel Development Bank Ltd.,,37,,332.90,,325.00,,327.00,,6035.00,,1980054.30,,327.00,,0.00,
,39,,First Micro Finance Laghubitta Bittiya Sanstha Limited,,108,,676.00,,648.50,,655.00,,13633.00,,8921897.40,,665.00,,-10.00,
