"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10 % NMB DEBENTURE 2085,,1,,930.00,,930.00,,930.00,,21.00,,19530.00,,930.00,,0.00,
,2,,10% Prime Debenture 2088,,1,,820.30,,820.30,,820.30,,25.00,,20507.50,,820.00,,0.30,
,3,,10% Sunrise Debenture 2080,,2,,969.00,,969.00,,969.00,,50.00,,48450.00,,950.10,,18.90,
,4,,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,,1,,960.00,,960.00,,960.00,,100.00,,96000.00,,952.20,,7.80,
,5,,10.5 % NEPAL INVESTMENT DEBENTURE 2082,,2,,911.00,,911.00,,911.00,,250.00,,227750.00,,915.00,,-4.00,
,6,,8.5% BOK Debenture 2086,,1,,755.00,,755.00,,755.00,,100.00,,75500.00,,755.00,,0.00,
,7,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,13,,736.50,,720.00,,721.00,,457.00,,331175.80,,708.00,,13.00,
,8,,Agricultural Development Bank Limited,,176,,321.00,,315.00,,320.50,,15873.00,,5035698.10,,316.00,,4.50,
,9,,Ankhu Khola Jalvidhyut Company Ltd,,123,,184.00,,174.00,,184.00,,18876.00,,3344763.60,,174.00,,10.00,
,10,,Api Power Company Ltd.,,421,,218.20,,205.00,,218.20,,88950.00,,18917269.30,,208.00,,10.20,
,11,,Arun Kabeli Power Ltd.,,236,,388.00,,378.10,,387.00,,37233.00,,14303651.30,,377.50,,9.50,
,12,,Arun Valley Hydropower Development Co. Ltd.,,165,,286.00,,278.00,,285.00,,30573.00,,8599636.10,,274.80,,10.20,
,13,,Asha Laghubitta Bittiya Sanstha Ltd,,46,,1010.00,,955.50,,1000.00,,1210.00,,1187319.00,,980.00,,20.00,
,14,,Asian Life Insurance Co. Limited,,90,,449.90,,436.00,,446.80,,7184.00,,3192402.30,,444.00,,2.80,
,15,,Aviyan Laghubitta Bittiya Sanstha Limited,,4,,456.30,,447.40,,456.30,,30.00,,13427.00,,438.70,,17.60,
,16,,Balephi Hydropower Limited,,63,,261.00,,255.00,,260.90,,1917.00,,496298.30,,251.00,,9.90,
,17,,Barun Hydropower Co. Ltd.,,27,,218.00,,214.00,,218.00,,3072.00,,661218.00,,210.50,,7.50,
,18,,Best Finance Company Ltd.,,62,,340.00,,331.00,,336.00,,7731.00,,2602828.00,,327.00,,9.00,
,19,,Bindhyabasini Hydropower Development Company Limited,,53,,367.00,,348.00,,367.00,,870.00,,309679.00,,358.00,,9.00,
,20,,Bishal Bazar Company Limited,,3,,3277.20,,3270.00,,3277.00,,40.00,,130942.00,,3213.00,,64.00,
