"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10.25% SBL Debenture 2083,,1,,940.00,,940.00,,940.00,,100.00,,94000.00,,949.50,,-9.50,
,2,,12% ICFC Finance Limited Debenture 2083,,3,,1026.00,,1025.00,,1026.00,,240.00,,246040.00,,1020.00,,6.00,
,3,,8.5% Nepal Investment Bank Debenture 2084,,3,,840.00,,840.00,,840.00,,170.00,,142800.00,,840.30,,-0.30,
,4,,8.5% SBL Debenture 2084,,2,,800.10,,800.00,,800.10,,51.00,,40802.50,,810.10,,-10.00,
,5,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,19,,840.00,,825.00,,826.00,,442.00,,366182.40,,828.00,,-2.00,
,6,,Agricultural Development Bank Limited,,212,,335.00,,329.10,,330.50,,19675.00,,6523675.00,,328.50,,2.00,
,7,,Ankhu Khola Jalvidhyut Company Ltd,,144,,222.00,,217.20,,217.20,,19515.00,,4291727.50,,218.00,,-0.80,
,8,,Api Power Company Ltd.,,922,,282.00,,273.70,,277.50,,291334.00,,80825127.80,,276.90,,0.60,
,9,,Arun Kabeli Power Ltd.,,1622,,485.00,,459.00,,483.00,,353606.00,,169266269.70,,458.90,,24.10,
,10,,Arun Valley Hydropower Development Co. Ltd.,,267,,367.00,,359.00,,363.10,,62137.00,,22522365.50,,360.00,,3.10,
,11,,Asha Laghubitta Bittiya Sanstha Ltd,,31,,1232.10,,1183.90,,1213.00,,767.00,,919686.90,,1208.00,,5.00,
,12,,Asian Life Insurance Co. Limited,,130,,595.00,,585.00,,590.00,,24609.00,,14503063.80,,593.00,,-3.00,
,13,,Balephi Hydropower Limited,,307,,348.70,,335.10,,344.00,,6490.00,,2217895.00,,341.90,,2.10,
,14,,Barun Hydropower Co. Ltd.,,30,,284.80,,282.00,,283.00,,1205.00,,341392.60,,281.00,,2.00,
,15,,Best Finance Company Ltd.,,59,,406.00,,398.10,,398.10,,10802.00,,4335006.40,,400.00,,-1.90,
