"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Nabil Debenture 2082,,1,,930.00,,930.00,,930.00,,1145.00,,1064850.00,,935.00,,-5.00,
,2,,10% Sunrise Debenture 2080,,1,,925.00,,925.00,,925.00,,25.00,,23125.00,,935.00,,-10.00,
,3,,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,,3,,950.00,,950.00,,950.00,,594.00,,564300.00,,939.00,,11.00,
,4,,10.25% KBL Debenture 2086,,1,,928.20,,928.20,,928.20,,15.00,,13923.00,,910.00,,18.20,
,5,,10.25% NIC Asia Debenture 2083/84,,1,,938.40,,938.40,,938.40,,50.00,,46920.00,,957.50,,-19.10,
,6,,10.25% SBL Debenture 2083,,2,,935.00,,935.00,,935.00,,1067.00,,997645.00,,932.10,,2.90,
,7,,12 % Goodwill Finance Limited Debenture 2083,,1,,1118.00,,1118.00,,1118.00,,10.00,,11180.00,,1140.80,,-22.80,
,8,,12% ICFC Finance Limited Debenture 2083,,4,,1030.00,,1014.00,,1014.00,,600.00,,617170.00,,1025.00,,-11.00,
,9,,8.5% BOK Debenture 2086,,2,,786.00,,771.00,,786.00,,131.00,,102501.00,,772.00,,14.00,
,10,,9.5% Manjushree Finance Limited Debenture 2085,,2,,870.00,,868.00,,868.00,,50.00,,43420.00,,884.80,,-16.80,
,11,,9.5% NCC Debenture 2086,,1,,884.60,,884.60,,884.60,,25.00,,22115.00,,902.60,,-18.00,
,12,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,73,,915.00,,881.00,,893.00,,1959.00,,1752061.90,,914.00,,-21.00,
,13,,Agricultural Development Bank Limited,,249,,334.00,,327.00,,327.90,,28310.00,,9339668.80,,331.90,,-4.00,
,14,,Ankhu Khola Jalvidhyut Company Ltd,,482,,222.00,,210.00,,212.00,,80430.00,,17308155.30,,217.90,,-5.90,
,15,,Api Power Company Ltd.,,1537,,272.00,,255.00,,257.00,,288063.00,,75307536.50,,264.00,,-7.00,
,16,,Arun Kabeli Power Ltd.,,1740,,510.00,,488.00,,494.90,,310713.00,,155708403.50,,500.00,,-5.10,
,17,,Arun Valley Hydropower Development Co. Ltd.,,1067,,385.00,,365.00,,368.00,,273789.00,,102450036.80,,374.50,,-6.50,
,18,,Asha Laghubitta Bittiya Sanstha Ltd,,86,,1378.00,,1285.00,,1310.00,,3419.00,,4467246.00,,1351.00,,-41.00,
,19,,Asian Life Insurance Co. Limited,,355,,616.00,,588.20,,588.20,,70326.00,,42278240.90,,604.00,,-15.80,
,20,,Balephi Hydropower Limited,,508,,306.00,,271.10,,295.00,,21245.00,,6217461.60,,286.00,,9.00,
,21,,Barun Hydropower Co. Ltd.,,209,,319.00,,299.00,,300.10,,25084.00,,7697435.60,,310.80,,-10.70,
,22,,Best Finance Company Ltd.,,361,,431.00,,408.00,,411.00,,47318.00,,19775307.30,,427.10,,-16.10,
,23,,Bishal Bazar Company Limited,,15,,3900.00,,3699.50,,3705.00,,325.00,,1222005.00,,3850.00,,-145.00,
,24,,Bottlers Nepal (Terai) Limited,,22,,13850.00,,13350.00,,13350.00,,235.00,,3189558.00,,13601.00,,-251.00,
,25,,Buddha Bhumi Nepal Hydropower Company Limited,,95,,393.00,,382.00,,383.00,,5910.00,,2280350.70,,387.00,,-4.00,
,26,,Butwal Power Company Limited,,195,,342.00,,328.00,,329.00,,23127.00,,7694069.70,,339.00,,-10.00,
,27,,CEDB Hydropower Development Company Limited,,351,,855.00,,798.00,,810.00,,34504.00,,28241517.50,,840.00,,-30.00,
,28,,Central Finance Co. Ltd.,,601,,399.00,,373.00,,379.00,,88096.00,,33684412.30,,392.00,,-13.00,
,29,,Century Commercial Bank Ltd.,,257,,194.70,,188.00,,189.00,,47907.00,,9105553.80,,194.30,,-5.30,
,30,,Chandragiri Hills Limited,,108,,1145.00,,1099.00,,1105.00,,8354.00,,9346910.00,,1144.00,,-39.00,
,31,,Chhimek Laghubitta Bittiya Sanstha Limited,,386,,1143.00,,1100.00,,1101.00,,14742.00,,16409654.00,,1125.00,,-24.00,
,32,,Chhyangdi Hydropower Ltd.,,270,,288.90,,269.10,,279.00,,46259.00,,13008682.60,,280.00,,-1.00,
,33,,Chilime Hydropower Company Limited,,176,,415.00,,399.20,,402.00,,20342.00,,8235152.10,,413.90,,-11.90,
,34,,Citizen Investment Trust,,355,,2710.00,,2635.00,,2648.00,,14469.00,,38654021.50,,2684.50,,-36.50,
