"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Nepal SBI Bank Debenture 2086,,1,,920.00,,920.00,,920.00,,25.00,,23000.00,,916.00,,4.00,
,2,,10% Sunrise Debenture 2080,,2,,940.00,,930.00,,940.00,,45.00,,42050.00,,930.10,,9.90,
,3,,10.25% KBL Debenture 2086,,1,,901.60,,901.60,,901.60,,25.00,,22540.00,,920.00,,-18.40,
,4,,10.25% NIC Asia Debenture 2083/84,,1,,935.00,,935.00,,935.00,,100.00,,93500.00,,930.00,,5.00,
,5,,10.25% Prabhu Bank  Debenture 2086,,1,,900.10,,900.10,,900.10,,25.00,,22502.50,,902.10,,-2.00,
,6,,10.25% Sunrise Bank Debenture 2083,,1,,932.00,,932.00,,932.00,,600.00,,559200.00,,923.80,,8.20,
,7,,12 % Goodwill Finance Limited Debenture 2083,,1,,1015.00,,1015.00,,1015.00,,33.00,,33495.00,,1010.00,,5.00,
,8,,12% ICFC Finance Limited Debenture 2083,,2,,1015.00,,1015.00,,1015.00,,145.00,,147175.00,,1010.00,,5.00,
,9,,8.5% BOK Debenture 2086,,3,,769.00,,755.10,,769.00,,75.00,,57152.50,,762.00,,7.00,
,10,,8.5% Nepal Investment Bank Debenture 2084,,1,,830.00,,830.00,,830.00,,90.00,,74700.00,,832.00,,-2.00,
,11,,8.5% Sanima Debenture 2087,,1,,769.00,,769.00,,769.00,,25.00,,19225.00,,775.20,,-6.20,
,12,,9.5% NCC Debenture 2086,,1,,884.30,,884.30,,884.30,,10.00,,8843.00,,867.00,,17.30,
,13,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,36,,870.00,,840.00,,840.00,,868.00,,739300.60,,870.00,,-30.00,
,14,,Agricultural Development Bank Limited,,188,,323.90,,317.10,,317.10,,12706.00,,4041250.40,,319.90,,-2.80,
