"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10.25% NIC Asia Debenture 2083/84,,1,,920.00,,920.00,,920.00,,110.00,,101200.00,,935.00,,-15.00,
,2,,8.5% BOK Debenture 2086,,1,,765.00,,765.00,,765.00,,100.00,,76500.00,,769.00,,-4.00,
,3,,8.5% Nepal Investment Bank Debenture 2084,,1,,834.00,,834.00,,834.00,,25.00,,20850.00,,830.00,,4.00,
,4,,8.5% Sanima Debenture 2087,,3,,784.30,,768.00,,784.30,,300.00,,230926.00,,769.00,,15.30,
,5,,8.5% SBL Debenture 2084,,1,,825.00,,825.00,,825.00,,26.00,,21450.00,,835.00,,-10.00,
,6,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,43,,860.00,,832.00,,859.00,,777.00,,658820.30,,840.00,,19.00,
,7,,Agricultural Development Bank Limited,,179,,325.00,,318.00,,325.00,,14532.00,,4674877.80,,317.10,,7.90,
,8,,Ankhu Khola Jalvidhyut Company Ltd,,369,,223.20,,208.00,,222.00,,58932.00,,12715931.20,,208.50,,13.50,
,9,,Api Power Company Ltd.,,853,,267.00,,251.00,,267.00,,175432.00,,45855279.10,,253.50,,13.50,
,10,,Arun Kabeli Power Ltd.,,639,,453.90,,430.00,,453.90,,90311.00,,40072145.50,,430.00,,23.90,
,11,,Arun Valley Hydropower Development Co. Ltd.,,714,,371.00,,347.00,,370.00,,170664.00,,61442796.50,,345.00,,25.00,
,12,,Asha Laghubitta Bittiya Sanstha Ltd,,45,,1190.00,,1145.00,,1190.00,,1605.00,,1874171.60,,1136.80,,53.20,
,13,,Asian Life Insurance Co. Limited,,185,,615.00,,574.00,,614.00,,23725.00,,14198340.80,,585.00,,29.00,
,14,,Balephi Hydropower Limited,,315,,345.40,,317.20,,345.00,,10960.00,,3693437.40,,330.00,,15.00,
,15,,Barun Hydropower Co. Ltd.,,120,,285.00,,276.00,,285.00,,16384.00,,4612547.60,,277.00,,8.00,
,16,,Best Finance Company Ltd.,,204,,408.00,,380.00,,408.00,,35329.00,,14128473.40,,386.00,,22.00,
,17,,Bindhyabasini Hydropower Development Company Limited,,527,,475.20,,450.00,,475.00,,12940.00,,6051166.60,,459.20,,15.80,
,18,,Bishal Bazar Company Limited,,7,,3750.00,,3671.00,,3750.00,,133.00,,494770.00,,3671.00,,79.00,
,19,,Bottlers Nepal (Terai) Limited,,22,,14180.00,,13650.00,,13900.00,,440.00,,6085394.00,,13902.00,,-2.00,
,20,,Buddha Bhumi Nepal Hydropower Company Limited,,93,,434.00,,396.90,,434.00,,5000.00,,2103670.50,,405.00,,29.00,
,21,,Butwal Power Company Limited,,167,,330.00,,312.70,,328.00,,30748.00,,9906869.60,,318.90,,9.10,
,22,,CEDB Hydropower Development Company Limited,,140,,780.00,,744.00,,778.60,,9416.00,,7257538.00,,756.00,,22.60,
,23,,Central Finance Co. Ltd.,,299,,350.50,,313.60,,350.50,,36832.00,,12509133.40,,320.00,,30.50,
,24,,Chandragiri Hills Limited,,60,,1073.00,,1033.00,,1066.00,,1535.00,,1624619.80,,1033.00,,33.00,
,25,,Chhimek Laghubitta Bittiya Sanstha Limited,,190,,1050.00,,1015.00,,1050.00,,8013.00,,8268156.10,,1011.00,,39.00,
,26,,Chhyangdi Hydropower Ltd.,,102,,280.00,,260.00,,280.00,,13759.00,,3728140.70,,263.00,,17.00,
,27,,Chilime Hydropower Company Limited,,140,,411.00,,397.00,,411.00,,17888.00,,7203917.20,,393.00,,18.00,
,28,,Citizen Investment Trust,,315,,2129.30,,2105.00,,2120.10,,10091.00,,21399189.40,,2107.00,,13.10,
,29,,Citizens Bank International Limited,,202,,203.60,,199.80,,203.00,,41953.00,,8429824.90,,199.70,,3.30,
,30,,Citizens Mutual Fund -1,,12,,8.68,,8.35,,8.68,,15400.00,,129740.00,,8.69,,-0.01,
,31,,CITIZENS MUTUAL FUND 2,,7,,8.75,,8.58,,8.58,,8850.00,,76834.50,,8.50,,0.08,
,32,,Civil Laghubitta Bittiya Sanstha Ltd.,,53,,955.00,,916.30,,944.00,,4288.00,,3991550.00,,919.00,,25.00,
,33,,Corporate Development Bank Limited,,89,,330.00,,304.00,,327.00,,10881.00,,3509269.40,,310.00,,17.00,
,34,,Deprosc Laghubitta Bittiya Sanstha Limited,,115,,1001.80,,966.00,,990.00,,7042.00,,6911463.00,,965.00,,25.00,
,35,,Dibyashwori Hydropower Ltd.,,112,,220.00,,205.00,,220.00,,18868.00,,4078547.50,,203.20,,16.80,
,36,,Dordi Khola Jal Bidyut Company Limited,,745,,384.00,,336.40,,381.00,,42081.00,,15184581.30,,349.50,,31.50,
,37,,Emerging Nepal Limited,,95,,713.00,,655.30,,708.00,,4693.00,,3237511.90,,649.80,,58.20,
,38,,Everest Bank Limited,,193,,505.00,,496.20,,505.00,,21492.00,,10786758.40,,496.20,,8.80,
,39,,Excel Development Bank Ltd.,,116,,360.00,,328.00,,350.00,,16088.00,,5625840.50,,332.30,,17.70,
,40,,First Micro Finance Laghubitta Bittiya Sanstha Limited,,90,,720.00,,680.40,,713.90,,8353.00,,5924756.00,,691.00,,22.90,
,41,,Forward Microfinance Laghubitta Bittiya Sanstha Limited,,283,,2750.00,,2614.80,,2725.00,,9912.00,,26729069.30,,2638.00,,87.00,
,42,,Ganapati Laghubitta Bittiya Sanstha Limited,,20,,1012.00,,955.40,,975.00,,595.00,,573476.10,,937.00,,38.00,
,43,,Garima Bikas Bank Limited,,417,,403.00,,389.00,,402.00,,62737.00,,24901326.30,,388.00,,14.00,
,44,,Ghalemdi Hydro Limited,,167,,236.00,,218.00,,235.00,,29457.00,,6733095.00,,219.00,,16.00,
,45,,Global IME Laghubitta Bittiya Sanstha Ltd.,,35,,1335.00,,1300.00,,1318.00,,1944.00,,2537788.90,,1290.10,,27.90,
,46,,Global IME Samunnat Scheme-1,,17,,9.82,,9.65,,9.75,,22690.00,,220655.11,,9.84,,-0.09,
,47,,Goodwill Finance Limited,,272,,558.70,,523.00,,558.70,,37766.00,,20450291.80,,525.00,,33.70,
,48,,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,,86,,769.90,,722.10,,769.90,,8511.00,,6416923.10,,735.00,,34.90,
,49,,Green Development Bank Ltd.,,74,,268.00,,246.00,,268.00,,8486.00,,2205309.90,,246.00,,22.00,
,50,,Green Ventures Limited,,434,,383.00,,358.10,,383.00,,16112.00,,6046848.50,,365.40,,17.60,
,51,,GreenLife Hydropower Limited,,120,,326.00,,305.50,,320.00,,8589.00,,2690660.00,,306.00,,14.00,
,52,,Guheshowori Merchant Bank & Finance Co. Ltd.,,146,,377.00,,345.00,,377.00,,27164.00,,9969180.00,,351.00,,26.00,
,53,,Gurans Laghubitta Bittiya Sanstha Limited,,46,,1073.00,,1031.60,,1045.00,,2172.00,,2269465.20,,1074.00,,-29.00,
,54,,Gurkhas Finance Ltd.,,471,,599.90,,540.20,,599.00,,61733.00,,35508087.40,,548.00,,51.00,
,55,,Himal Dolakha Hydropower Company Limited,,377,,231.00,,215.00,,231.00,,146665.00,,32940975.00,,218.90,,12.10,
,56,,Himalaya Urja Bikas Company Limited,,76,,282.00,,257.00,,282.00,,7298.00,,1966368.10,,257.00,,25.00,
,57,,Himalayan Bank Limited,,118,,318.00,,308.00,,315.50,,13038.00,,4093495.40,,313.60,,1.90,
,58,,Himalayan Distillery Limited,,897,,3590.00,,3400.00,,3585.00,,26772.00,,94148549.60,,3526.00,,59.00,
,59,,Himalayan Everest Insurance Limited,,322,,438.60,,400.90,,435.00,,73423.00,,30312370.10,,424.00,,11.00,
,60,,Himalayan Hydropower Limited,,1685,,331.00,,305.00,,327.00,,24430.00,,7761388.80,,316.00,,11.00,
,61,,Himalayan Power Partner Ltd.,,98,,402.00,,382.50,,402.00,,16126.00,,6333659.20,,387.60,,14.40,
,62,,Hydorelectricity Investment and Development Company Ltd,,889,,214.00,,201.00,,214.00,,153670.00,,32136362.60,,201.90,,12.10,
,63,,ICFC Finance Limited,,495,,544.00,,486.00,,540.00,,69564.00,,36054504.10,,495.00,,45.00,
,64,,IME General Insurance Ltd.,,193,,440.00,,412.00,,440.00,,25909.00,,11130822.20,,420.00,,20.00,
