"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Sunrise Debenture 2080,,1,,940.00,,940.00,,940.00,,25.00,,23500.00,,930.00,,10.00,
,2,,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,,1,,940.00,,940.00,,940.00,,50.00,,47000.00,,958.80,,-18.80,
,3,,8.75 % Prime Debenture 2085,,1,,791.20,,791.20,,791.20,,25.00,,19780.00,,793.10,,-1.90,
,4,,9.5% Manjushree Finance Limited Debenture 2085,,2,,846.00,,846.00,,846.00,,125.00,,105750.00,,846.00,,0.00,
,5,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,55,,914.50,,895.00,,895.00,,1018.00,,919909.00,,898.00,,-3.00,
,6,,Adarsha Laghubitta Bittiya Sanstha Limited,,1,,267.10,,267.10,,267.10,,10.00,,2671.00,,261.90,,5.20,
,7,,Agricultural Development Bank Limited,,235,,328.90,,322.00,,324.00,,17323.00,,5618926.50,,324.00,,0.00,
,8,,Ankhu Khola Jalvidhyut Company Ltd,,292,,233.00,,222.00,,224.00,,59135.00,,13413075.20,,226.50,,-2.50,
,9,,Api Power Company Ltd.,,1058,,285.00,,273.20,,274.00,,242756.00,,67700884.60,,279.20,,-5.20,
,10,,Arun Kabeli Power Ltd.,,444,,483.00,,468.00,,469.00,,80033.00,,38106861.50,,475.00,,-6.00,
,11,,Arun Valley Hydropower Development Co. Ltd.,,528,,390.00,,372.00,,372.00,,113719.00,,43085238.70,,379.00,,-7.00,
,12,,Asha Laghubitta Bittiya Sanstha Ltd,,43,,1290.00,,1225.00,,1245.00,,3279.00,,4061056.50,,1250.00,,-5.00,
,13,,Asian Life Insurance Co. Limited,,365,,649.00,,622.00,,622.00,,38243.00,,24192740.10,,644.00,,-22.00,
,14,,Balephi Hydropower Limited,,475,,373.00,,360.00,,361.20,,31650.00,,11529769.00,,367.00,,-5.80,
,15,,Barun Hydropower Co. Ltd.,,140,,299.00,,290.00,,294.90,,16391.00,,4818442.60,,297.00,,-2.10,
,16,,Best Finance Company Ltd.,,189,,427.00,,408.00,,409.90,,26092.00,,10912550.40,,422.00,,-12.10,
,17,,Bindhyabasini Hydropower Development Company Limited,,1108,,520.00,,480.00,,497.00,,27790.00,,13860900.00,,482.00,,15.00,
,18,,Bishal Bazar Company Limited,,9,,3874.00,,3796.60,,3796.60,,110.00,,420981.00,,3725.00,,71.60,
,19,,Bottlers Nepal (Terai) Limited,,16,,13974.00,,13800.00,,13899.00,,474.00,,6561236.00,,13700.00,,199.00,
,20,,Buddha Bhumi Nepal Hydropower Company Limited,,185,,480.00,,441.00,,459.10,,10813.00,,5019750.00,,448.00,,11.10,
,21,,Butwal Power Company Limited,,219,,366.90,,348.00,,348.10,,27225.00,,9738499.50,,353.00,,-4.90,
,22,,CEDB Hydropower Development Company Limited,,189,,819.00,,779.10,,780.00,,13127.00,,10379481.90,,788.00,,-8.00,
,23,,Central Finance Co. Ltd.,,212,,383.40,,360.00,,366.00,,33866.00,,12493450.00,,376.00,,-10.00,
,24,,Chandragiri Hills Limited,,77,,1120.00,,1100.00,,1100.00,,3035.00,,3370365.80,,1113.00,,-13.00,
,25,,Chhimek Laghubitta Bittiya Sanstha Limited,,264,,1100.00,,1068.00,,1069.00,,10205.00,,11033197.80,,1079.00,,-10.00,
,26,,Chhyangdi Hydropower Ltd.,,136,,306.00,,292.00,,293.30,,19004.00,,5681548.60,,298.00,,-4.70,
,27,,Chilime Hydropower Company Limited,,182,,436.50,,413.00,,419.90,,19060.00,,8055014.50,,428.00,,-8.10,
,28,,Citizen Investment Trust,,569,,2960.00,,2866.50,,2905.00,,28136.00,,82128969.30,,2925.00,,-20.00,
,29,,Citizens Bank International Limited,,196,,206.00,,202.60,,203.10,,49080.00,,10003735.30,,202.70,,0.40,
