"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Nabil Debenture 2082,,1,,910.20,,910.20,,910.20,,100.00,,91020.00,,915.00,,-4.80,
,2,,12 % Goodwill Finance Limited Debenture 2083,,1,,1025.00,,1025.00,,1025.00,,25.00,,25625.00,,1015.00,,10.00,
,3,,12% ICFC Finance Limited Debenture 2083,,1,,1021.00,,1021.00,,1021.00,,16.00,,16336.00,,1015.00,,6.00,
,4,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,46,,889.90,,836.00,,838.00,,1065.00,,911348.50,,859.00,,-21.00,
,5,,Adarsha Laghubitta Bittiya Sanstha Limited,,2,,267.10,,267.10,,267.10,,2.00,,544.80,,267.10,,0.00,
,6,,Agricultural Development Bank Limited,,197,,328.00,,321.00,,322.90,,17914.00,,5794377.10,,325.00,,-2.10,
,7,,Ankhu Khola Jalvidhyut Company Ltd,,326,,226.00,,214.00,,214.00,,67308.00,,14719185.60,,222.00,,-8.00,
,8,,Api Power Company Ltd.,,1051,,274.00,,258.10,,259.00,,194162.00,,51926221.00,,267.00,,-8.00,
,9,,Arun Kabeli Power Ltd.,,544,,467.00,,443.10,,443.10,,88768.00,,40211962.10,,453.90,,-10.80,
,10,,Arun Valley Hydropower Development Co. Ltd.,,544,,377.00,,357.00,,358.00,,122511.00,,44949983.20,,370.00,,-12.00,
,11,,Asha Laghubitta Bittiya Sanstha Ltd,,59,,1213.80,,1150.00,,1170.00,,1761.00,,2065747.00,,1190.00,,-20.00,
,12,,Asian Life Insurance Co. Limited,,235,,621.00,,585.00,,587.00,,28781.00,,17326716.50,,614.00,,-27.00,
,13,,Balephi Hydropower Limited,,262,,351.70,,322.10,,330.20,,22557.00,,7608711.00,,345.00,,-14.80,
,14,,Barun Hydropower Co. Ltd.,,121,,294.00,,276.00,,277.00,,14421.00,,4095146.50,,285.00,,-8.00,
,15,,Best Finance Company Ltd.,,244,,422.00,,391.00,,395.00,,33819.00,,13653860.00,,408.00,,-13.00,
,16,,Bindhyabasini Hydropower Development Company Limited,,410,,493.00,,458.00,,467.00,,23137.00,,10775743.50,,475.00,,-8.00,
,17,,Bishal Bazar Company Limited,,13,,3800.00,,3650.60,,3650.60,,325.00,,1198174.90,,3750.00,,-99.40,
,18,,Bottlers Nepal (Terai) Limited,,15,,13903.00,,13616.20,,13888.00,,275.00,,3782522.00,,13900.00,,-12.00,
,19,,Buddha Bhumi Nepal Hydropower Company Limited,,88,,442.00,,415.00,,423.00,,6155.00,,2598712.00,,434.00,,-11.00,
,20,,Butwal Power Company Limited,,111,,334.50,,321.60,,323.00,,9932.00,,3239681.00,,328.00,,-5.00,
,21,,CEDB Hydropower Development Company Limited,,178,,782.00,,757.00,,764.40,,16448.00,,12610807.70,,778.60,,-14.20,
,22,,Central Finance Co. Ltd.,,472,,372.90,,345.00,,347.00,,68893.00,,24799494.80,,350.50,,-3.50,
,23,,Chandragiri Hills Limited,,69,,1087.00,,1046.00,,1061.90,,4179.00,,4439890.50,,1066.00,,-4.10,
,24,,Chhimek Laghubitta Bittiya Sanstha Limited,,273,,1092.20,,1048.60,,1048.70,,14427.00,,15299342.70,,1050.00,,-1.30,
,25,,Chhyangdi Hydropower Ltd.,,133,,284.10,,265.00,,270.00,,20219.00,,5471279.20,,280.00,,-10.00,
,26,,Chilime Hydropower Company Limited,,149,,416.00,,393.00,,396.20,,17142.00,,6925603.80,,411.00,,-14.80,
