"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Prabhu Bank Debenture 2084,,2,,1028.68,,1028.60,,1028.60,,485.00,,498871.80,,1049.60,,-21.00,
,2,,12% ICFC Finance Limited Debenture 2083,,1,,1020.00,,1020.00,,1020.00,,85.00,,86700.00,,1015.00,,5.00,
,3,,8.5% BOK Debenture 2086,,1,,765.00,,765.00,,765.00,,25.00,,19125.00,,765.60,,-0.60,
,4,,8.5% Nepal Investment Bank Debenture 2084,,2,,840.30,,840.00,,840.30,,125.00,,105007.50,,840.30,,0.00,
,5,,8.5% Sanima Debenture 2087,,3,,786.00,,770.00,,786.00,,100.00,,78185.00,,784.30,,1.70,
,6,,9.5% Manjushree Finance Limited Debenture 2085,,2,,850.00,,845.00,,845.00,,75.00,,63500.00,,850.00,,-5.00,
,7,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,61,,855.00,,811.00,,828.00,,1764.00,,1455378.30,,840.00,,-12.00,
,8,,Agricultural Development Bank Limited,,155,,330.00,,326.00,,328.50,,10216.00,,3361109.50,,328.00,,0.50,
,9,,Ankhu Khola Jalvidhyut Company Ltd,,133,,222.00,,215.70,,218.00,,25201.00,,5495731.50,,220.00,,-2.00,
,10,,Api Power Company Ltd.,,651,,278.90,,273.20,,276.90,,197692.00,,54510502.10,,275.00,,1.90,
,11,,Arun Kabeli Power Ltd.,,265,,459.00,,450.00,,458.90,,53955.00,,24524986.90,,454.00,,4.90,
,12,,Arun Valley Hydropower Development Co. Ltd.,,139,,363.00,,355.10,,360.00,,20174.00,,7255633.70,,360.00,,0.00,
,13,,Asha Laghubitta Bittiya Sanstha Ltd,,25,,1244.90,,1194.00,,1208.00,,670.00,,810863.20,,1235.00,,-27.00,
,14,,Asian Life Insurance Co. Limited,,149,,595.00,,585.40,,593.00,,23968.00,,14142071.90,,591.20,,1.80,
,15,,Balephi Hydropower Limited,,270,,344.00,,335.00,,341.90,,7390.00,,2506399.60,,344.00,,-2.10,
,16,,Barun Hydropower Co. Ltd.,,41,,285.00,,280.00,,281.00,,3891.00,,1098056.90,,285.00,,-4.00,
,17,,Best Finance Company Ltd.,,59,,402.00,,395.30,,400.00,,6708.00,,2676377.30,,398.00,,2.00,
,18,,Bindhyabasini Hydropower Development Company Limited,,326,,480.00,,467.00,,479.00,,5090.00,,2414028.00,,481.40,,-2.40,
,19,,Bishal Bazar Company Limited,,5,,3601.00,,3590.00,,3600.00,,90.00,,323850.00,,3620.00,,-20.00,
,20,,Buddha Bhumi Nepal Hydropower Company Limited,,52,,441.60,,422.00,,423.00,,1870.00,,799699.00,,433.00,,-10.00,
,21,,Butwal Power Company Limited,,51,,332.00,,327.00,,328.00,,2175.00,,715109.50,,332.00,,-4.00,
,22,,CEDB Hydropower Development Company Limited,,73,,760.00,,745.10,,751.00,,2610.00,,1965245.00,,750.20,,0.80,
,23,,Central Finance Co. Ltd.,,69,,359.50,,348.00,,353.10,,8160.00,,2880822.60,,355.00,,-1.90,
,24,,Chandragiri Hills Limited,,44,,1070.00,,1047.40,,1048.10,,1660.00,,1747774.80,,1060.00,,-11.90,
