"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Nepal SBI Bank Debenture 2086,,1,,898.00,,898.00,,898.00,,25.00,,22450.00,,916.30,,-18.30,
,2,,10% Sanima Bank Limited Debenture,,1,,1004.50,,1004.50,,1004.50,,25.00,,25112.50,,1025.00,,-20.50,
,3,,10.25% NIC Asia Debenture 2083/84,,1,,922.20,,922.20,,922.20,,500.00,,461100.00,,938.40,,-16.20,
,4,,10.25% SBL Debenture 2083,,1,,920.00,,920.00,,920.00,,25.00,,23000.00,,935.00,,-15.00,
,5,,10.25% Sunrise Bank Debenture 2083,,1,,904.60,,904.60,,904.60,,15.00,,13569.00,,902.10,,2.50,
,6,,12% ICFC Finance Limited Debenture 2083,,2,,1031.00,,1030.00,,1031.00,,258.00,,265869.00,,1014.00,,17.00,
,7,,8.5% BOK Debenture 2086,,2,,785.00,,782.10,,785.00,,55.00,,43088.00,,786.00,,-1.00,
,8,,8.5% Nepal Investment Bank Debenture 2084,,1,,806.00,,806.00,,806.00,,100.00,,80600.00,,812.00,,-6.00,
,9,,8.5% Sanima Debenture 2087,,3,,847.70,,820.00,,820.00,,45.00,,37285.00,,864.90,,-44.90,
,10,,8.5% SBL Debenture 2084,,3,,831.00,,830.80,,831.00,,600.00,,498490.00,,847.70,,-16.70,
,11,,8.75 % Prime Debenture 2085,,1,,823.30,,823.30,,823.30,,10.00,,8233.00,,823.30,,0.00,
,12,,9% NIC Asia Debenture 2081/82,,1,,910.10,,910.10,,910.10,,35.00,,31853.50,,926.10,,-16.00,
,13,,9.5% Manjushree Finance Limited Debenture 2085,,2,,855.00,,845.00,,845.00,,50.00,,42500.00,,868.00,,-23.00,
,14,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,39,,910.00,,884.90,,898.00,,996.00,,890650.90,,893.00,,5.00,
,15,,Agricultural Development Bank Limited,,167,,329.00,,325.00,,329.00,,15694.00,,5123099.90,,327.90,,1.10,
,16,,Ankhu Khola Jalvidhyut Company Ltd,,496,,221.50,,206.00,,220.00,,105759.00,,22700771.70,,212.00,,8.00,
,17,,Api Power Company Ltd.,,1258,,268.80,,252.80,,266.00,,285928.00,,74789822.30,,257.00,,9.00,
,18,,Arun Kabeli Power Ltd.,,1508,,513.90,,485.00,,511.80,,246815.00,,123543676.50,,494.90,,16.90,
,19,,Arun Valley Hydropower Development Co. Ltd.,,829,,383.00,,361.00,,381.00,,207921.00,,77451729.10,,368.00,,13.00,
,20,,Asha Laghubitta Bittiya Sanstha Ltd,,66,,1300.00,,1270.00,,1300.00,,3717.00,,4784799.00,,1310.00,,-10.00,
,21,,Asian Life Insurance Co. Limited,,369,,614.90,,588.00,,612.90,,69448.00,,41999278.70,,588.20,,24.70,
,22,,Balephi Hydropower Limited,,539,,317.20,,280.10,,312.00,,29128.00,,8757474.20,,295.00,,17.00,
,23,,Barun Hydropower Co. Ltd.,,173,,306.00,,295.00,,304.00,,26408.00,,7990643.60,,300.10,,3.90,
,24,,Best Finance Company Ltd.,,359,,430.00,,399.80,,426.10,,49644.00,,20595075.70,,411.00,,15.10,
,25,,Bishal Bazar Company Limited,,8,,3774.00,,3700.00,,3712.00,,130.00,,482465.00,,3705.00,,7.00,
,26,,Bottlers Nepal (Terai) Limited,,19,,13379.00,,12860.00,,13374.00,,260.00,,3413056.00,,13350.00,,24.00,
,27,,Buddha Bhumi Nepal Hydropower Company Limited,,96,,410.00,,377.00,,409.80,,7207.00,,2860209.00,,383.00,,26.80,
,28,,Butwal Power Company Limited,,131,,339.90,,322.80,,338.00,,13809.00,,4572421.00,,329.00,,9.00,
,29,,CEDB Hydropower Development Company Limited,,284,,839.40,,794.00,,839.40,,24705.00,,20131026.60,,810.00,,29.40,
,30,,Central Finance Co. Ltd.,,434,,390.00,,363.00,,385.00,,59137.00,,22415623.50,,379.00,,6.00,
,31,,Century Commercial Bank Ltd.,,204,,190.00,,185.50,,189.90,,31001.00,,5816350.40,,189.00,,0.90,
,32,,Century Debenture 2088,,1,,1000.00,,1000.00,,1000.00,,100.00,,100000.00,,0.00,,0.00,
,33,,Chandragiri Hills Limited,,69,,1130.00,,1091.00,,1129.00,,2472.00,,2746209.10,,1105.00,,24.00,
,34,,Chhimek Laghubitta Bittiya Sanstha Limited,,231,,1118.00,,1085.00,,1112.00,,8944.00,,9875981.10,,1101.00,,11.00,
,35,,Chhyangdi Hydropower Ltd.,,251,,295.00,,268.80,,294.00,,38620.00,,10929973.10,,279.00,,15.00,
,36,,Chilime Hydropower Company Limited,,144,,405.00,,399.00,,402.00,,25388.00,,10191009.90,,402.00,,0.00,
,37,,Citizen Investment Trust,,219,,2675.00,,2607.00,,2660.00,,6568.00,,17339617.50,,2648.00,,12.00,
,38,,Citizens Bank International Limited,,201,,206.00,,202.00,,204.20,,35374.00,,7203956.70,,206.00,,-1.80,
,39,,Citizens Mutual Fund -1,,2,,8.65,,8.65,,8.65,,2350.00,,20327.50,,8.79,,-0.14,
,40,,CITIZENS MUTUAL FUND 2,,6,,9.13,,9.12,,9.12,,5475.00,,49982.00,,9.20,,-0.08,
,41,,Civil Bank Debenture 2088,,2,,878.00,,869.60,,878.00,,50.00,,43690.00,,882.00,,-4.00,
,42,,Civil Laghubitta Bittiya Sanstha Ltd.,,67,,870.00,,822.00,,868.00,,6128.00,,5230066.50,,848.00,,20.00,
,43,,Corporate Development Bank Limited,,108,,345.00,,322.00,,342.90,,16398.00,,5474904.70,,336.10,,6.80,
,44,,Deprosc Laghubitta Bittiya Sanstha Limited,,114,,1050.00,,1005.00,,1049.00,,5380.00,,5528173.00,,1036.00,,13.00,
,45,,Dibyashwori Hydropower Ltd.,,120,,233.00,,213.00,,228.00,,14933.00,,3327321.80,,221.00,,7.00,
,46,,Dordi Khola Jal Bidyut Company Limited,,541,,303.50,,287.50,,301.90,,18914.00,,5577972.40,,299.00,,2.90,
,47,,Emerging Nepal Limited,,66,,818.00,,790.30,,814.50,,8790.00,,7127847.00,,803.00,,11.50,
,48,,Everest Bank Limited,,137,,487.50,,462.20,,480.00,,27302.00,,12828694.10,,472.00,,8.00,
,49,,Everest Bank Limited Con. Pref.,,1,,488.10,,488.10,,488.10,,12.00,,5857.20,,498.00,,-9.90,
,50,,Excel Development Bank Ltd.,,107,,367.00,,349.00,,363.00,,13704.00,,4894793.60,,362.90,,0.10,
,51,,First Micro Finance Laghubitta Bittiya Sanstha Limited,,244,,735.00,,710.00,,735.00,,31402.00,,22656893.80,,719.00,,16.00,
,52,,Forward Microfinance Laghubitta Bittiya Sanstha Limited,,527,,2650.00,,2490.00,,2650.00,,22666.00,,58346691.70,,2520.00,,130.00,
,53,,Ganapati Laghubitta Bittiya Sanstha Limited,,15,,1098.00,,1025.00,,1098.00,,445.00,,470286.40,,1025.00,,73.00,
,54,,Garima Bikas Bank Limited,,403,,410.00,,396.00,,407.00,,52565.00,,21207127.90,,406.00,,1.00,
,55,,Ghalemdi Hydro Limited,,354,,239.00,,215.00,,237.00,,83189.00,,19055057.10,,222.00,,15.00,
,56,,Global IME Bank Limited Debenture 2086/87,,2,,785.40,,780.00,,780.00,,130.00,,101778.00,,770.00,,10.00,
,57,,Global IME Laghubitta Bittiya Sanstha Ltd.,,60,,1422.00,,1379.90,,1414.00,,1936.00,,2717947.20,,1408.00,,6.00,
,58,,Global IME Samunnat Scheme-1,,9,,9.90,,9.86,,9.89,,10410.00,,102881.42,,9.90,,-0.01,
,59,,Goodwill Finance Limited,,275,,570.60,,520.00,,558.00,,37737.00,,20694905.80,,540.00,,18.00,
,60,,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,,154,,833.00,,800.00,,829.50,,12842.00,,10508112.90,,812.00,,17.50,
,61,,Green Development Bank Ltd.,,87,,270.20,,249.10,,270.20,,10002.00,,2603383.20,,260.00,,10.20,
,62,,Green Ventures Limited,,704,,379.00,,340.00,,377.40,,51332.00,,18346801.80,,354.90,,22.50,
,63,,GreenLife Hydropower Limited,,235,,363.00,,323.40,,356.00,,21944.00,,7483262.20,,330.00,,26.00,
,64,,Guheshowori Merchant Bank & Finance Co. Ltd.,,272,,386.00,,350.00,,378.70,,57723.00,,21235901.90,,357.10,,21.60,
,65,,Gurans Laghubitta Bittiya Sanstha Limited,,15,,1060.00,,1032.00,,1060.00,,440.00,,460562.00,,1042.00,,18.00,
,66,,Gurkhas Finance Ltd.,,696,,640.00,,588.00,,636.00,,144099.00,,89221708.10,,610.00,,26.00,
,67,,Himal Dolakha Hydropower Company Limited,,426,,226.00,,210.00,,225.50,,100050.00,,22097569.50,,215.00,,10.50,
,68,,Himalaya Urja Bikas Company Limited,,125,,278.00,,256.10,,274.00,,20816.00,,5575388.90,,261.00,,13.00,
,69,,Himalayan Bank Limited,,48,,308.00,,303.00,,306.00,,4904.00,,1495889.00,,305.70,,0.30,
,70,,Himalayan Distillery Limited,,619,,3700.00,,3630.00,,3685.00,,19629.00,,71952427.30,,3670.00,,15.00,
,71,,Himalayan Power Partner Ltd.,,167,,358.00,,327.40,,358.00,,47903.00,,16492021.00,,344.50,,13.50,
,72,,Hydorelectricity Investment and Development Company Ltd,,968,,212.10,,203.90,,211.00,,159697.00,,33346075.60,,208.10,,2.90,
,73,,ICFC Finance Limited,,675,,558.00,,519.00,,552.00,,104565.00,,56509584.30,,535.00,,17.00,
,74,,IME General Insurance Ltd.,,207,,408.00,,390.10,,408.00,,25206.00,,10088706.70,,402.00,,6.00,
