"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,12 % Goodwill Finance Limited Debenture 2083,,1,,1140.00,,1140.00,,1140.00,,25.00,,28500.00,,1124.00,,16.00,
,2,,8.5% BOK Debenture 2086,,4,,841.00,,837.10,,841.00,,107.00,,89742.20,,837.10,,3.90,
,3,,8.5% Nepal Investment Bank Debenture 2084,,1,,828.60,,828.60,,828.60,,10.00,,8286.00,,812.40,,16.20,
,4,,8.5% Sanima Debenture 2087,,1,,850.00,,850.00,,850.00,,25.00,,21250.00,,841.50,,8.50,
,5,,8.5% SBL Debenture 2084,,1,,865.00,,865.00,,865.00,,20.00,,17300.00,,860.00,,5.00,
,6,,9.5% Manjushree Finance Limited Debenture 2085,,1,,909.80,,909.80,,909.80,,10.00,,9098.00,,892.00,,17.80,
,7,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,32,,825.00,,783.00,,816.00,,798.00,,647666.50,,796.50,,19.50,
,8,,Agricultural Development Bank Limited,,340,,318.60,,305.80,,310.00,,46072.00,,14233125.80,,312.40,,-2.40,
,9,,Ajod Insurance Limited,,45,,439.60,,424.00,,432.00,,1177.00,,509101.00,,431.00,,1.00,
,10,,Ankhu Khola Jalvidhyut Company Ltd,,239,,196.70,,185.30,,189.10,,37024.00,,7096267.90,,189.00,,0.10,
,11,,Api Power Company Ltd.,,423,,249.00,,233.30,,240.00,,91642.00,,21920132.20,,238.00,,2.00,
,12,,Arun Kabeli Power Ltd.,,850,,453.90,,425.00,,452.00,,179993.00,,79580006.00,,427.00,,25.00,
,13,,Arun Valley Hydropower Development Co. Ltd.,,450,,347.00,,334.10,,341.00,,97507.00,,33192525.20,,335.80,,5.20,
,14,,Asha Laghubitta Bittiya Sanstha Ltd,,32,,1223.00,,1161.00,,1190.00,,584.00,,698133.60,,1180.00,,10.00,
,15,,Asian Life Insurance Co. Limited,,316,,581.00,,555.00,,568.90,,59571.00,,33544840.60,,560.00,,8.90,
,16,,Balephi Hydropower Limited,,161,,231.90,,216.10,,231.50,,3574.00,,794889.20,,219.00,,12.50,
,17,,Barun Hydropower Co. Ltd.,,155,,426.00,,414.00,,423.90,,18849.00,,7900383.10,,412.00,,11.90,
,18,,Best Finance Company Ltd.,,79,,350.80,,339.00,,345.00,,10023.00,,3463484.00,,344.00,,1.00,
,19,,Bishal Bazar Company Limited,,15,,3561.00,,3424.00,,3500.00,,205.00,,720634.00,,3485.00,,15.00,
,20,,Bottlers Nepal (Terai) Limited,,8,,12500.00,,12100.00,,12500.00,,120.00,,1476847.00,,12100.00,,400.00,
,21,,Buddha Bhumi Nepal Hydropower Company Limited,,35,,361.00,,336.20,,339.00,,1028.00,,356715.00,,342.10,,-3.10,
,22,,Butwal Power Company Limited,,217,,315.90,,300.00,,307.00,,20194.00,,6166360.50,,307.10,,-0.10,
,23,,CEDB Hydropower Development Company Limited,,70,,714.00,,659.90,,687.90,,3560.00,,2438080.50,,687.00,,0.90,
,24,,Central Finance Co. Ltd.,,145,,280.00,,261.30,,279.00,,15561.00,,4187712.30,,266.60,,12.40,
,25,,Century Commercial Bank Ltd.,,260,,182.00,,178.80,,178.90,,67436.00,,12115824.80,,178.80,,0.10,
,26,,Chandragiri Hills Limited,,85,,993.00,,951.00,,969.00,,2905.00,,2807731.10,,950.00,,19.00,
,27,,Chhimek Laghubitta Bittiya Sanstha Limited,,179,,1000.00,,975.50,,982.00,,6567.00,,6469091.40,,980.00,,2.00,
,28,,Chhyangdi Hydropower Ltd.,,68,,246.50,,235.70,,241.00,,11322.00,,2707313.20,,237.20,,3.80,
