"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Prime Debenture 2088,,14,,862.40,,862.40,,862.40,,350.00,,301840.00,,862.40,,0.00,
,2,,10% Sunrise Debenture 2080,,1,,965.90,,965.90,,965.90,,15.00,,14488.50,,947.00,,18.90,
,3,,10.25% Prabhu Bank  Debenture 2086,,1,,925.50,,925.50,,925.50,,165.00,,152707.50,,940.00,,-14.50,
,4,,10.25% Sunrise Bank Debenture 2083,,5,,934.00,,934.00,,934.00,,1329.00,,1241286.00,,935.00,,-1.00,
,5,,10.5 % NEPAL INVESTMENT DEBENTURE 2082,,6,,1039.40,,959.00,,959.00,,75.00,,73915.00,,1060.60,,-101.60,
,6,,12 % Goodwill Finance Limited Debenture 2083,,3,,1015.00,,1015.00,,1015.00,,400.00,,406000.00,,1020.00,,-5.00,
,7,,8.5% Sanima Debenture 2087,,4,,742.10,,742.00,,742.00,,100.00,,74207.50,,740.60,,1.40,
,8,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,14,,775.00,,760.10,,762.10,,211.00,,161061.60,,769.00,,-6.90,
,9,,Adarsha Laghubitta Bittiya Sanstha Limited,,1,,288.90,,288.90,,288.90,,10.00,,2889.00,,283.30,,5.60,
,10,,Agricultural Development Bank Limited,,168,,326.60,,312.00,,314.00,,13529.00,,4248138.50,,314.00,,0.00,
,11,,Ankhu Khola Jalvidhyut Company Ltd,,108,,201.00,,194.10,,195.00,,14354.00,,2805548.30,,198.90,,-3.90,
,12,,Api Power Company Ltd.,,534,,237.40,,227.00,,229.00,,99481.00,,22779277.10,,232.80,,-3.80,
,13,,Arun Kabeli Power Ltd.,,296,,427.00,,418.00,,421.00,,44745.00,,18861362.40,,428.90,,-7.90,
,14,,Arun Valley Hydropower Development Co. Ltd.,,248,,325.00,,316.00,,318.10,,44614.00,,14245271.00,,323.00,,-4.90,
,15,,Asha Laghubitta Bittiya Sanstha Ltd,,30,,1081.20,,1055.00,,1060.00,,739.00,,786451.00,,1060.00,,0.00,
,16,,Asian Life Insurance Co. Limited,,184,,555.00,,539.00,,547.90,,17324.00,,9425659.70,,549.90,,-2.00,
,17,,Balephi Hydropower Limited,,152,,297.00,,288.00,,290.90,,4585.00,,1341252.30,,297.90,,-7.00,
,18,,Barun Hydropower Co. Ltd.,,32,,247.80,,240.40,,244.50,,1623.00,,393534.20,,247.00,,-2.50,
,19,,Best Finance Company Ltd.,,82,,356.00,,349.00,,356.00,,8130.00,,2860301.00,,356.00,,0.00,
,20,,Bindhyabasini Hydropower Development Company Limited,,151,,421.00,,416.00,,420.00,,3030.00,,1266798.00,,427.00,,-7.00,
,21,,Bishal Bazar Company Limited,,4,,3360.00,,3354.00,,3360.00,,60.00,,201310.00,,3320.00,,40.00,
,22,,Bottlers Nepal (Terai) Limited,,5,,13260.00,,13230.00,,13260.00,,50.00,,662500.00,,13000.00,,260.00,
,23,,Buddha Bhumi Nepal Hydropower Company Limited,,30,,385.00,,375.10,,379.00,,840.00,,319160.00,,380.00,,-1.00,
,24,,Butwal Power Company Limited,,57,,312.10,,303.00,,307.50,,3216.00,,984124.00,,306.00,,1.50,
,25,,CEDB Hydropower Development Company Limited,,115,,695.00,,670.00,,673.00,,4520.00,,3052745.70,,683.00,,-10.00,
,26,,Central Finance Co. Ltd.,,85,,329.00,,317.00,,321.90,,11317.00,,3615996.50,,323.90,,-2.00,
,27,,Chandragiri Hills Limited,,37,,995.00,,980.00,,980.00,,720.00,,706699.30,,987.50,,-7.50,
,28,,Chhimek Laghubitta Bittiya Sanstha Limited,,117,,1020.00,,1002.00,,1010.00,,5708.00,,5752941.50,,1018.00,,-8.00,
,29,,Chhyangdi Hydropower Ltd.,,24,,231.00,,227.00,,229.00,,1472.00,,338033.20,,227.20,,1.80,
,30,,Chilime Hydropower Company Limited,,108,,377.00,,369.20,,372.00,,10458.00,,3879071.10,,375.20,,-3.20,
,31,,Citizen Investment Trust,,145,,1907.00,,1886.00,,1890.00,,6254.00,,11842071.50,,1898.00,,-8.00,
,32,,Citizens Bank International Limited,,122,,194.80,,191.00,,193.00,,19242.00,,3710437.80,,193.40,,-0.40,
,33,,Citizens Mutual Fund -1,,3,,8.14,,8.14,,8.14,,3500.00,,28490.00,,8.30,,-0.16,
,34,,Civil Laghubitta Bittiya Sanstha Ltd.,,37,,884.00,,826.40,,859.00,,2874.00,,2414801.80,,875.00,,-16.00,
,35,,Corporate Development Bank Limited,,31,,298.80,,284.00,,285.00,,2784.00,,800097.50,,293.00,,-8.00,
,36,,Deprosc Laghubitta Bittiya Sanstha Limited,,52,,960.00,,945.00,,947.90,,1655.00,,1571982.00,,950.00,,-2.10,
,37,,Dibyashwori Hydropower Ltd.,,56,,197.00,,188.20,,189.70,,8362.00,,1592393.50,,195.00,,-5.30,
,38,,Dordi Khola Jal Bidyut Company Limited,,237,,313.10,,306.00,,306.00,,10451.00,,3222221.90,,319.20,,-13.20,
,39,,Emerging Nepal Limited,,29,,656.00,,644.00,,644.00,,1046.00,,674575.00,,657.00,,-13.00,
,40,,Everest Bank Limited,,118,,488.00,,480.40,,480.50,,10503.00,,5054484.80,,485.90,,-5.40,
,41,,Excel Development Bank Ltd.,,54,,323.70,,314.00,,323.70,,9348.00,,2956420.00,,320.00,,3.70,
,42,,First Micro Finance Laghubitta Bittiya Sanstha Limited,,47,,691.80,,659.00,,665.00,,3433.00,,2284985.20,,665.00,,0.00,
,43,,Forward Microfinance Laghubitta Bittiya Sanstha Limited,,153,,2569.90,,2545.00,,2550.00,,4952.00,,12645667.30,,2569.80,,-19.80,
,44,,Ganapati Laghubitta Bittiya Sanstha Limited,,8,,865.00,,860.00,,860.00,,147.00,,126472.60,,869.00,,-9.00,
,45,,Garima Bikas Bank Limited,,128,,378.00,,368.00,,370.00,,11076.00,,4101478.00,,371.00,,-1.00,
,46,,Ghalemdi Hydro Limited,,70,,202.00,,193.00,,196.00,,9936.00,,1957081.30,,196.00,,0.00,
,47,,Global IME Laghubitta Bittiya Sanstha Ltd.,,26,,1271.00,,1236.00,,1236.00,,736.00,,919050.00,,1270.10,,-34.10,
,48,,Global IME Samunnat Scheme-1,,6,,9.30,,9.25,,9.25,,2207.00,,20481.10,,9.25,,0.00,
,49,,Goodwill Finance Limited,,115,,473.90,,455.00,,466.00,,11922.00,,5501480.70,,470.00,,-4.00,
,50,,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,,37,,670.00,,661.00,,661.50,,3996.00,,2648348.00,,667.00,,-5.50,
,51,,Green Development Bank Ltd.,,18,,247.00,,238.00,,247.00,,1350.00,,327659.50,,247.00,,0.00,
,52,,Green Ventures Limited,,200,,330.50,,321.50,,325.00,,11768.00,,3827591.00,,332.90,,-7.90,
,53,,GreenLife Hydropower Limited,,107,,279.90,,269.00,,279.90,,9705.00,,2640213.70,,280.00,,-0.10,
,54,,Guheshowori Merchant Bank & Finance Co. Ltd.,,64,,332.90,,326.20,,330.00,,10805.00,,3568270.00,,336.00,,-6.00,
,55,,Gurans Laghubitta Bittiya Sanstha Limited,,24,,949.00,,930.10,,949.00,,757.00,,708506.10,,940.00,,9.00,
,56,,Gurkhas Finance Ltd.,,196,,521.00,,506.10,,518.90,,16153.00,,8281524.00,,514.50,,4.40,
,57,,Himal Dolakha Hydropower Company Limited,,233,,197.00,,190.10,,192.00,,49932.00,,9587879.10,,194.90,,-2.90,
,58,,Himalaya Urja Bikas Company Limited,,24,,231.00,,223.00,,223.00,,2135.00,,486258.30,,230.90,,-7.90,
,59,,Himalayan Bank Limited,,53,,331.40,,320.50,,320.50,,8773.00,,2825107.60,,325.00,,-4.50,
,60,,Himalayan Distillery Limited,,278,,3335.00,,3285.00,,3292.00,,7791.00,,25671463.70,,3322.00,,-30.00,
,61,,Himalayan Everest Insurance Limited,,158,,404.00,,398.60,,401.00,,24198.00,,9685945.20,,406.70,,-5.70,
,62,,Himalayan Everest Insurance Limited Promoter,,3,,273.00,,269.00,,269.00,,280.00,,76099.00,,268.80,,0.20,
,63,,Himalayan Hydropower Limited,,247,,275.00,,268.10,,268.10,,5763.00,,1564912.70,,276.70,,-8.60,
,64,,Himalayan Power Partner Ltd.,,40,,336.00,,321.50,,325.00,,7558.00,,2476376.50,,330.00,,-5.00,
,65,,Hydorelectricity Investment and Development Company Limited Promoter,,23,,102.00,,99.00,,100.00,,31060.00,,3098040.00,,100.90,,-0.90,
,66,,Hydorelectricity Investment and Development Company Ltd,,358,,189.00,,183.00,,184.10,,41751.00,,7717392.80,,186.00,,-1.90,
,67,,ICFC Finance Limited,,142,,460.00,,451.10,,454.00,,13702.00,,6236409.00,,457.10,,-3.10,
,68,,IME General Insurance Ltd.,,97,,392.00,,372.20,,380.00,,12651.00,,4749887.40,,377.10,,2.90,
,69,,Infinity Laghubitta Bittiya Sanstha Limited,,25,,915.00,,895.00,,899.00,,472.00,,425634.90,,908.00,,-9.00,
,70,,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,,112,,3025.00,,2963.10,,3019.00,,3773.00,,11256224.50,,3007.00,,12.00,
,71,,Janaki Finance Company Limited,,43,,381.00,,375.40,,378.00,,3936.00,,1485157.50,,383.00,,-5.00,
,72,,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,,16,,1650.00,,1622.00,,1630.00,,473.00,,771126.40,,1650.00,,-20.00,
,73,,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,,206,,2595.00,,2565.00,,2579.00,,3878.00,,9985300.00,,2587.00,,-8.00,
,74,,Joshi Hydropower Development Company Ltd,,50,,207.00,,202.00,,207.00,,6780.00,,1387474.00,,205.10,,1.90,
,75,,Jyoti Bikas Bank Limited,,134,,287.00,,280.50,,283.00,,21389.00,,6060585.20,,286.00,,-3.00,
,76,,Kalika Laghubitta Bittiya Sanstha Ltd,,34,,995.00,,976.00,,977.00,,1385.00,,1358308.00,,995.00,,-18.00,
,77,,Kalika power Company Ltd,,19,,363.00,,348.70,,361.00,,6486.00,,2339495.80,,361.00,,0.00,
,78,,Kamana Sewa Bikas Bank Limited,,119,,330.00,,323.00,,327.00,,11583.00,,3763774.30,,325.90,,1.10,
,79,,Karnali Development Bank Limited,,27,,228.00,,222.20,,223.00,,4962.00,,1108298.00,,225.40,,-2.40,
,80,,Khanikhola Hydropower Co. Ltd.,,43,,201.00,,195.10,,197.20,,3837.00,,758547.10,,202.00,,-4.80,
,81,,Kisan Lagubitta Bittiya Sanstha Limited,,6,,855.00,,847.70,,848.00,,161.00,,136680.80,,865.00,,-17.00,
,82,,Kumari Bank Limited,,143,,195.00,,192.00,,193.50,,19073.00,,3683348.20,,195.00,,-1.50,
,83,,Kumari Dhanabriddhi Yojana,,18,,8.40,,8.18,,8.32,,2700.00,,22509.00,,8.36,,-0.04,
,84,,Kumari Equity Fund,,9,,8.24,,8.16,,8.24,,1600.00,,13089.28,,8.20,,0.04,
,85,,Laxmi Bank Limited,,55,,195.00,,192.50,,193.30,,5562.00,,1073799.70,,193.50,,-0.20,
,86,,Laxmi Equity Fund,,1,,8.11,,8.11,,8.11,,10000.00,,81100.00,,8.24,,-0.13,
,87,,Laxmi Laghubitta Bittiya Sanstha Ltd.,,18,,1218.00,,1180.20,,1180.20,,799.00,,957313.40,,1200.00,,-19.80,
,88,,Laxmi Unnati Kosh,,2,,8.10,,8.07,,8.10,,1100.00,,8907.00,,8.20,,-0.10,
,89,,Liberty Energy Company Limited,,26,,240.00,,231.10,,233.00,,1464.00,,345113.60,,239.00,,-6.00,
,90,,Life Insurance Corporation (Nepal) Limited,,95,,1358.00,,1319.00,,1330.00,,5059.00,,6708161.50,,1359.00,,-29.00,
,91,,Lumbini Bikas Bank Ltd.,,167,,373.00,,367.00,,369.00,,28700.00,,10606857.60,,369.00,,0.00,
,92,,Machhapuchhre Bank Limited,,121,,222.10,,217.10,,222.10,,20891.00,,4580617.90,,220.50,,1.60,
,93,,Madhya Bhotekoshi Jalavidyut Company Limited,,254,,231.00,,218.10,,219.20,,5972.00,,1316177.70,,222.10,,-2.90,
,94,,Mahalaxmi Bikas Bank Ltd.,,169,,364.00,,356.00,,359.40,,23112.00,,8306152.70,,359.50,,-0.10,
