"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Prabhu Bank Debenture 2084,,1,,920.00,,920.00,,920.00,,450.00,,414000.00,,908.00,,12.00,
,2,,10% Prime Debenture 2088,,3,,822.10,,817.00,,822.10,,90.00,,73861.50,,815.00,,7.10,
,3,,10.25% KBL Debenture 2086,,2,,897.00,,896.70,,897.00,,120.00,,107619.00,,915.00,,-18.00,
,4,,10.25% Sunrise Bank Debenture 2083,,4,,930.10,,930.10,,930.10,,275.00,,255777.50,,934.00,,-3.90,
,5,,10.5 % NEPAL INVESTMENT DEBENTURE 2082,,4,,921.40,,921.30,,921.30,,265.00,,244153.50,,939.90,,-18.60,
,6,,8.5% BOK Debenture 2086,,1,,755.00,,755.00,,755.00,,285.00,,215175.00,,760.00,,-5.00,
,7,,8.5% Nepal Investment Bank Debenture 2084,,1,,810.00,,810.00,,810.00,,25.00,,20250.00,,825.00,,-15.00,
,8,,8.5% SBL Debenture 2084,,1,,801.20,,801.20,,801.20,,25.00,,20030.00,,815.50,,-14.30,
,9,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,20,,702.00,,691.00,,701.90,,753.00,,526968.50,,705.00,,-3.10,
,10,,Adarsha Laghubitta Bittiya Sanstha Limited,,2,,318.70,,312.50,,318.70,,20.00,,6312.00,,312.50,,6.20,
,11,,Agricultural Development Bank Limited,,194,,310.00,,300.00,,304.00,,13739.00,,4151161.60,,305.00,,-1.00,
,12,,Ankhu Khola Jalvidhyut Company Ltd,,152,,175.00,,170.00,,170.00,,19565.00,,3367212.20,,177.00,,-7.00,
,13,,Api Power Company Ltd.,,541,,212.00,,203.40,,204.00,,68003.00,,14014704.00,,210.30,,-6.30,
,14,,Arun Kabeli Power Ltd.,,452,,383.00,,369.90,,371.00,,59507.00,,22325479.70,,385.00,,-14.00,
,15,,Arun Valley Hydropower Development Co. Ltd.,,306,,285.00,,270.00,,270.00,,60935.00,,16732166.70,,286.10,,-16.10,
,16,,Asha Laghubitta Bittiya Sanstha Ltd,,47,,983.20,,955.00,,955.00,,1405.00,,1352760.40,,964.00,,-9.00,
,17,,Asian Life Insurance Co. Limited,,138,,443.00,,430.00,,432.50,,20682.00,,9068396.10,,442.00,,-9.50,
,18,,Balephi Hydropower Limited,,110,,259.00,,243.00,,250.00,,4463.00,,1094732.00,,260.00,,-10.00,
,19,,Barun Hydropower Co. Ltd.,,46,,219.00,,210.10,,210.10,,5397.00,,1165196.80,,217.60,,-7.50,
,20,,Best Finance Company Ltd.,,70,,336.00,,328.00,,330.00,,10168.00,,3365901.00,,336.50,,-6.50,
,21,,Bindhyabasini Hydropower Development Company Limited,,117,,360.00,,345.00,,354.90,,2217.00,,774577.10,,360.00,,-5.10,
,22,,Bishal Bazar Company Limited,,23,,3262.00,,3185.00,,3250.00,,741.00,,2380780.00,,3199.00,,51.00,
,23,,Bottlers Nepal (Balaju) Limited,,1,,2222.20,,2222.20,,2222.20,,10.00,,22222.00,,2178.70,,43.50,
,24,,Bottlers Nepal (Terai) Limited,,20,,12205.00,,11860.00,,11860.00,,336.00,,4045904.70,,12276.70,,-416.70,
,25,,Buddha Bhumi Nepal Hydropower Company Limited,,50,,379.00,,343.10,,353.00,,2320.00,,806776.00,,374.50,,-21.50,
,26,,Butwal Power Company Limited,,93,,296.80,,288.00,,290.00,,6296.00,,1823922.90,,291.00,,-1.00,
,27,,CEDB Hydropower Development Company Limited,,94,,631.00,,620.00,,621.00,,2765.00,,1729598.20,,631.00,,-10.00,
,28,,Central Finance Co. Ltd.,,83,,300.00,,290.00,,290.00,,11050.00,,3257784.50,,295.00,,-5.00,
,29,,Chandragiri Hills Limited,,25,,963.50,,951.00,,960.00,,442.00,,422350.00,,972.00,,-12.00,
,30,,Chhimek Laghubitta Bittiya Sanstha Limited,,240,,958.00,,945.00,,948.00,,8948.00,,8490338.40,,960.10,,-12.10,
,31,,Chhyangdi Hydropower Ltd.,,39,,209.00,,202.90,,204.00,,2373.00,,485151.30,,208.90,,-4.90,
,32,,Chilime Hydropower Company Limited,,111,,359.00,,353.00,,357.00,,10857.00,,3856910.30,,358.00,,-1.00,
,33,,Citizen Investment Trust,,157,,1812.00,,1780.00,,1792.10,,4773.00,,8572743.40,,1808.00,,-15.90,
,34,,Citizens Bank Internatioal Limited Promoter Share,,1,,153.00,,153.00,,153.00,,800.00,,122400.00,,153.00,,0.00,
,35,,Citizens Bank International Limited,,377,,187.00,,181.40,,182.00,,86595.00,,15814071.20,,188.10,,-6.10,
,36,,Citizens Mutual Fund -1,,2,,7.64,,7.63,,7.63,,900.00,,6872.00,,7.67,,-0.04,
,37,,CITIZENS MUTUAL FUND 2,,2,,8.05,,7.90,,7.90,,16200.00,,130230.00,,7.92,,-0.02,
,38,,Civil Bank Debenture 2088,,2,,864.30,,864.30,,864.30,,190.00,,164217.00,,847.40,,16.90,
,39,,Civil Laghubitta Bittiya Sanstha Ltd.,,32,,774.00,,740.00,,774.00,,1470.00,,1101317.20,,779.90,,-5.90,
,40,,Corporate Development Bank Limited,,41,,260.00,,243.20,,253.00,,3835.00,,974090.00,,262.20,,-9.20,
,41,,Deprosc Laghubitta Bittiya Sanstha Limited,,116,,884.00,,872.00,,872.60,,5158.00,,4517772.50,,886.00,,-13.40,
,42,,Dibyashwori Hydropower Ltd.,,70,,173.00,,166.60,,170.00,,6748.00,,1139878.80,,176.00,,-6.00,
,43,,Dordi Khola Jal Bidyut Company Limited,,119,,255.00,,246.00,,247.00,,3508.00,,872581.00,,255.00,,-8.00,
,44,,Emerging Nepal Limited,,37,,593.00,,572.10,,593.00,,1505.00,,871370.00,,593.20,,-0.20,
,45,,Everest Bank Limited,,81,,482.00,,474.00,,478.90,,8383.00,,3991515.00,,476.20,,2.70,
,46,,Excel Development Bank Ltd.,,45,,299.90,,291.20,,291.20,,4735.00,,1391867.00,,299.60,,-8.40,
,47,,First Micro Finance Laghubitta Bittiya Sanstha Limited,,94,,604.00,,585.00,,599.00,,8604.00,,5113835.40,,605.10,,-6.10,
,48,,Forward Microfinance Laghubitta Bittiya Sanstha Limited,,189,,2499.00,,2435.00,,2440.00,,5015.00,,12269498.00,,2470.00,,-30.00,
,49,,Ganapati Laghubitta Bittiya Sanstha Limited,,12,,854.00,,824.00,,827.00,,298.00,,247899.00,,854.00,,-27.00,
,50,,Garima Bikas Bank Limited,,164,,361.90,,355.00,,356.00,,17492.00,,6244639.60,,360.90,,-4.90,
,51,,Ghalemdi Hydro Limited,,60,,175.90,,170.60,,174.00,,9155.00,,1581721.40,,177.00,,-3.00,
,52,,Global IME Laghubitta Bittiya Sanstha Ltd.,,65,,1175.00,,1132.00,,1140.00,,2571.00,,2940131.00,,1156.50,,-16.50,
,53,,Global IME Samunnat Scheme-1,,14,,8.62,,8.31,,8.60,,13004.00,,110659.82,,8.47,,0.13,
,54,,Goodwill Finance Limited,,64,,430.00,,419.00,,419.00,,5212.00,,2211735.50,,432.00,,-13.00,
,55,,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,,96,,620.00,,593.90,,594.00,,7380.00,,4438665.90,,620.00,,-26.00,
,56,,Green Development Bank Ltd.,,28,,240.00,,233.30,,240.00,,2110.00,,496237.80,,238.00,,2.00,
,57,,Green Ventures Limited,,208,,294.00,,283.60,,290.70,,7444.00,,2140645.30,,300.00,,-9.30,
,58,,GreenLife Hydropower Limited,,70,,252.00,,238.30,,243.10,,2497.00,,607130.50,,256.90,,-13.80,
,59,,Guheshowori Merchant Bank & Finance Co. Ltd.,,51,,314.00,,305.00,,306.00,,6660.00,,2047709.60,,316.30,,-10.30,
,60,,Gurans Laghubitta Bittiya Sanstha Limited,,8,,858.00,,850.00,,858.00,,101.00,,86146.20,,865.10,,-7.10,
,61,,Gurkhas Finance Ltd.,,163,,497.00,,474.40,,481.00,,16408.00,,7943317.10,,496.00,,-15.00,
,62,,Himal Dolakha Hydropower Company Limited,,284,,170.00,,162.40,,163.70,,63653.00,,10521803.50,,170.00,,-6.30,
,63,,Himalaya Urja Bikas Company Limited,,25,,209.90,,201.10,,202.50,,1563.00,,318738.80,,205.20,,-2.70,
,64,,Himalayan Bank Limited,,71,,314.00,,310.00,,311.00,,6378.00,,1987957.70,,313.00,,-2.00,
,65,,Himalayan Distillery Limited,,297,,3230.00,,3190.00,,3204.00,,6661.00,,21383474.40,,3244.00,,-40.00,
,66,,Himalayan Everest Insurance Limited,,90,,362.00,,353.20,,361.70,,16852.00,,6033159.20,,365.00,,-3.30,
,67,,Himalayan Everest Insurance Limited Promoter,,12,,279.70,,249.30,,279.70,,1630.00,,408893.00,,254.30,,25.40,
,68,,Himalayan Hydropower Limited,,184,,231.10,,216.70,,222.00,,5242.00,,1168162.50,,232.50,,-10.50,
,69,,Himalayan Power Partner Ltd.,,35,,310.00,,290.00,,299.00,,4700.00,,1389085.00,,310.00,,-11.00,
,70,,Hydorelectricity Investment and Development Company Limited Promoter,,40,,99.90,,96.20,,98.00,,23922.00,,2337459.90,,98.10,,-0.10,
,71,,Hydorelectricity Investment and Development Company Ltd,,519,,173.00,,166.90,,168.00,,79516.00,,13408492.30,,173.50,,-5.50,
,72,,ICFC Finance Limited,,187,,428.00,,411.60,,412.00,,16625.00,,6912645.20,,428.00,,-16.00,
,73,,IME General Insurance Ltd.,,74,,356.00,,344.00,,347.00,,7704.00,,2681291.20,,356.00,,-9.00,
,74,,Infinity Laghubitta Bittiya Sanstha Limited,,44,,889.00,,849.00,,889.00,,1831.00,,1564803.30,,876.00,,13.00,
,75,,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,,98,,2900.00,,2850.00,,2872.00,,1800.00,,5176074.00,,2948.90,,-76.90,
