"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Prime Debenture 2088,,3,,837.00,,837.00,,837.00,,50.00,,41850.00,,837.00,,0.00,
,2,,10.5 % NEPAL INVESTMENT DEBENTURE 2082,,3,,915.00,,912.10,,912.10,,1030.00,,940916.00,,910.00,,2.10,
,3,,8.5% Sanima Debenture 2087,,1,,760.00,,760.00,,760.00,,25.00,,19000.00,,765.00,,-5.00,
,4,,8.5% SBL Debenture 2084,,1,,817.20,,817.20,,817.20,,25.00,,20430.00,,801.20,,16.00,
,5,,8.75 % Prime Debenture 2085,,1,,770.00,,770.00,,770.00,,30.00,,23100.00,,785.00,,-15.00,
,6,,9.5% Manjushree Finance Limited Debenture 2085,,2,,818.00,,815.10,,815.10,,25.00,,20406.50,,823.20,,-8.10,
,7,,9.5% NCC Debenture 2086,,2,,877.10,,860.00,,860.00,,100.00,,86855.00,,895.00,,-35.00,
,8,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,22,,735.00,,710.10,,731.00,,681.00,,495671.50,,719.00,,12.00,
,9,,Agricultural Development Bank Limited,,244,,325.00,,313.50,,324.00,,35973.00,,11517735.00,,317.50,,6.50,
,10,,Ankhu Khola Jalvidhyut Company Ltd,,191,,180.90,,167.00,,179.00,,40134.00,,7006068.20,,168.90,,10.10,
,11,,Api Power Company Ltd.,,512,,217.00,,205.00,,215.00,,124060.00,,26301928.50,,203.90,,11.10,
,12,,Arun Kabeli Power Ltd.,,310,,399.70,,378.00,,397.10,,36958.00,,14431058.30,,378.00,,19.10,
,13,,Arun Valley Hydropower Development Co. Ltd.,,347,,278.10,,255.00,,276.00,,101125.00,,27312422.00,,258.00,,18.00,
,14,,Asha Laghubitta Bittiya Sanstha Ltd,,32,,985.00,,931.00,,985.00,,897.00,,857479.60,,950.00,,35.00,
,15,,Asian Life Insurance Co. Limited,,93,,453.90,,435.00,,451.60,,12923.00,,5761171.80,,435.10,,16.50,
,16,,Aviyan Laghubitta Bittiya Sanstha Limited,,521,,795.00,,706.00,,778.00,,9803.00,,7108378.50,,731.00,,47.00,
,17,,Balephi Hydropower Limited,,89,,243.70,,225.40,,240.00,,3859.00,,922083.90,,230.00,,10.00,
,18,,Barun Hydropower Co. Ltd.,,41,,216.20,,205.00,,215.00,,6430.00,,1355461.00,,208.00,,7.00,
,19,,Best Finance Company Ltd.,,94,,317.00,,300.00,,317.00,,13193.00,,4068528.20,,303.90,,13.10,
,20,,Bindhyabasini Hydropower Development Company Limited,,85,,338.10,,310.00,,328.20,,2085.00,,683663.00,,326.00,,2.20,
,21,,Bishal Bazar Company Limited,,6,,3390.00,,3300.00,,3324.00,,210.00,,703220.00,,3340.00,,-16.00,
,22,,Bottlers Nepal (Terai) Limited,,8,,12342.00,,12150.00,,12170.00,,85.00,,1042660.00,,12100.00,,70.00,
,23,,Buddha Bhumi Nepal Hydropower Company Limited,,33,,362.80,,345.00,,360.00,,720.00,,255847.30,,355.80,,4.20,
,24,,Butwal Power Company Limited,,91,,313.00,,295.00,,310.00,,9812.00,,2992890.80,,301.00,,9.00,
,25,,CEDB Hydropower Development Company Limited,,105,,642.00,,600.00,,642.00,,5672.00,,3554478.50,,601.00,,41.00,
,26,,Central Finance Co. Ltd.,,147,,328.00,,310.00,,327.70,,23995.00,,7693588.90,,310.00,,17.70,
,27,,Century Debenture 2088,,3,,857.20,,840.40,,857.20,,65.00,,54993.00,,850.00,,7.20,
,28,,Chandragiri Hills Limited,,49,,1013.80,,966.00,,1000.00,,1441.00,,1435163.80,,975.00,,25.00,
,29,,Chhimek Laghubitta Bittiya Sanstha Limited,,127,,1020.00,,996.00,,1018.00,,5213.00,,5280543.50,,995.50,,22.50,
,30,,Chhyangdi Hydropower Ltd.,,52,,214.60,,195.00,,210.00,,5434.00,,1110694.60,,195.10,,14.90,
,31,,Chilime Hydropower Company Limited,,93,,385.00,,370.00,,384.50,,8946.00,,3400155.40,,373.00,,11.50,
,32,,Citizen Investment Trust,,198,,1889.80,,1826.00,,1877.90,,6135.00,,11439658.00,,1835.00,,42.90,
,33,,Citizens Bank International Limited,,248,,193.80,,190.00,,191.00,,62301.00,,11908533.20,,190.00,,1.00,
,34,,Citizens Mutual Fund -1,,9,,8.60,,8.10,,8.26,,5000.00,,42052.00,,8.58,,-0.32,
,35,,CITIZENS MUTUAL FUND 2,,2,,8.05,,8.00,,8.00,,2100.00,,16825.00,,7.90,,0.10,
,36,,Civil Bank Debenture 2088,,1,,849.90,,849.90,,849.90,,25.00,,21247.50,,845.00,,4.90,
,37,,Civil Laghubitta Bittiya Sanstha Ltd.,,28,,790.00,,750.70,,789.00,,796.00,,614777.40,,754.80,,34.20,
,38,,Corporate Development Bank Limited,,43,,274.50,,261.00,,265.30,,10265.00,,2710670.50,,258.00,,7.30,
