"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10.25% KBL Debenture 2086,,1,,951.90,,951.90,,951.90,,10.00,,9519.00,,933.30,,18.60,
,2,,10.25% Sunrise Bank Debenture 2083,,2,,920.40,,920.30,,920.30,,200.00,,184062.50,,935.10,,-14.80,
,3,,10.5 % NEPAL INVESTMENT DEBENTURE 2082,,1,,964.20,,964.20,,964.20,,100.00,,96420.00,,961.00,,3.20,
,4,,12 % Goodwill Finance Limited Debenture 2083,,4,,1159.00,,1140.00,,1158.00,,90.00,,103168.00,,1140.00,,18.00,
,5,,8.5% BOK Debenture 2086,,1,,825.00,,825.00,,825.00,,25.00,,20625.00,,841.00,,-16.00,
,6,,8.5% Nepal Investment Bank Debenture 2084,,1,,812.50,,812.50,,812.50,,25.00,,20312.50,,828.60,,-16.10,
,7,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,18,,848.80,,808.00,,840.00,,478.00,,391993.30,,816.00,,24.00,
,8,,Agricultural Development Bank Limited,,277,,316.00,,309.00,,312.60,,28378.00,,8835253.90,,310.00,,2.60,
,9,,Ajod Insurance Limited,,55,,449.20,,431.00,,449.20,,1949.00,,862072.60,,432.00,,17.20,
,10,,Ankhu Khola Jalvidhyut Company Ltd,,291,,202.00,,192.00,,202.00,,54919.00,,10885167.60,,189.10,,12.90,
,11,,Api Power Company Ltd.,,422,,251.90,,240.00,,251.00,,100815.00,,24911687.80,,240.00,,11.00,
,12,,Arun Kabeli Power Ltd.,,678,,471.00,,450.00,,469.90,,139532.00,,64558125.70,,452.00,,17.90,
,13,,Arun Valley Hydropower Development Co. Ltd.,,516,,360.90,,340.00,,358.00,,92829.00,,32667149.40,,341.00,,17.00,
,14,,Asha Laghubitta Bittiya Sanstha Ltd,,22,,1248.00,,1210.10,,1210.10,,590.00,,722978.20,,1190.00,,20.10,
,15,,Asian Life Insurance Co. Limited,,275,,584.90,,567.00,,584.00,,57293.00,,33024393.00,,568.90,,15.10,
,16,,Balephi Hydropower Limited,,240,,246.00,,225.00,,244.90,,6517.00,,1524841.80,,231.50,,13.40,
,17,,Barun Hydropower Co. Ltd.,,164,,444.70,,420.50,,442.00,,25304.00,,10948406.30,,423.90,,18.10,
,18,,Best Finance Company Ltd.,,151,,374.00,,351.00,,374.00,,18306.00,,6680603.20,,345.00,,29.00,
,19,,Bishal Bazar Company Limited,,20,,3641.00,,3520.00,,3545.00,,290.00,,1035900.00,,3500.00,,45.00,
,20,,Bottlers Nepal (Terai) Limited,,10,,12750.00,,12500.00,,12750.00,,155.00,,1960219.00,,12500.00,,250.00,
,21,,Buddha Bhumi Nepal Hydropower Company Limited,,61,,372.00,,339.30,,358.10,,2532.00,,891461.20,,339.00,,19.10,
,22,,Butwal Power Company Limited,,112,,319.80,,308.00,,319.80,,11012.00,,3467972.20,,307.00,,12.80,
,23,,CEDB Hydropower Development Company Limited,,199,,756.00,,676.10,,756.00,,18583.00,,13342432.50,,687.90,,68.10,
,24,,Central Finance Co. Ltd.,,123,,306.00,,273.50,,299.40,,18638.00,,5517516.60,,279.00,,20.40,
,25,,Century Commercial Bank Ltd.,,234,,183.00,,178.00,,183.00,,37952.00,,6854447.00,,178.90,,4.10,
,26,,Chandragiri Hills Limited,,82,,1049.00,,970.20,,1048.00,,3066.00,,3090212.80,,969.00,,79.00,
,27,,Chhimek Laghubitta Bittiya Sanstha Limited,,208,,1020.00,,978.00,,1017.00,,11422.00,,11386399.60,,982.00,,35.00,
,28,,Chhyangdi Hydropower Ltd.,,82,,256.00,,239.10,,256.00,,9530.00,,2370632.70,,241.00,,15.00,
,29,,Chilime Hydropower Company Limited,,121,,409.50,,395.00,,406.00,,19536.00,,7846758.20,,393.10,,12.90,
,30,,Citizen Investment Trust,,324,,2525.00,,2450.00,,2509.00,,13618.00,,34021440.30,,2447.00,,62.00,
,31,,Citizens Bank International Limited,,379,,202.00,,195.00,,202.00,,85765.00,,16926609.70,,200.00,,2.00,
,32,,Citizens Mutual Fund -1,,12,,8.42,,8.10,,8.25,,8875.00,,73063.50,,8.10,,0.15,
,33,,CITIZENS MUTUAL FUND 2,,7,,9.45,,8.78,,9.45,,2491.00,,22283.99,,8.61,,0.84,
