"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Nabil Debenture 2082,,2,,928.40,,928.40,,928.40,,135.00,,125334.00,,910.20,,18.20,
,2,,10.25% Prabhu Bank  Debenture 2086,,2,,936.40,,936.30,,936.40,,65.00,,60862.00,,918.10,,18.30,
,3,,8.5% Nepal Investment Bank Debenture 2084,,2,,830.00,,825.00,,825.00,,1030.00,,849900.00,,840.00,,-15.00,
,4,,8.75 % Prime Debenture 2085,,3,,806.00,,790.60,,806.00,,60.00,,47821.00,,790.30,,15.70,
,5,,9.5% Manjushree Finance Limited Debenture 2085,,1,,843.10,,843.10,,843.10,,35.00,,29508.50,,859.90,,-16.80,
,6,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,44,,830.00,,790.40,,796.00,,883.00,,707962.50,,815.00,,-19.00,
,7,,Adarsha Laghubitta Bittiya Sanstha Limited,,1,,277.80,,277.80,,277.80,,10.00,,2778.00,,272.40,,5.40,
,8,,Agricultural Development Bank Limited,,208,,325.00,,321.00,,322.50,,17936.00,,5784362.90,,325.60,,-3.10,
,9,,Ankhu Khola Jalvidhyut Company Ltd,,317,,216.80,,206.80,,207.00,,51616.00,,10798614.80,,213.50,,-6.50,
,10,,Api Power Company Ltd.,,1051,,266.00,,251.90,,253.00,,242602.00,,62246698.10,,263.10,,-10.10,
,11,,Arun Kabeli Power Ltd.,,1060,,478.00,,461.00,,464.00,,221324.00,,103361974.80,,470.00,,-6.00,
,12,,Arun Valley Hydropower Development Co. Ltd.,,484,,350.00,,337.30,,341.00,,109342.00,,37406956.90,,349.00,,-8.00,
,13,,Asha Laghubitta Bittiya Sanstha Ltd,,21,,1197.00,,1164.00,,1166.00,,648.00,,758580.00,,1186.00,,-20.00,
,14,,Asian Life Insurance Co. Limited,,247,,587.50,,553.90,,556.00,,32799.00,,18504158.60,,576.00,,-20.00,
,15,,Balephi Hydropower Limited,,254,,347.00,,310.00,,313.00,,17163.00,,5415200.00,,334.00,,-21.00,
,16,,Barun Hydropower Co. Ltd.,,116,,273.50,,257.10,,264.00,,12308.00,,3264115.00,,277.00,,-13.00,
,17,,Best Finance Company Ltd.,,181,,387.00,,373.00,,373.00,,21737.00,,8196276.00,,385.10,,-12.10,
,18,,Bindhyabasini Hydropower Development Company Limited,,351,,455.90,,428.50,,445.00,,16573.00,,7315287.60,,454.90,,-9.90,
,19,,Bishal Bazar Company Limited,,14,,3605.00,,3462.50,,3467.00,,208.00,,730844.50,,3600.00,,-133.00,
,20,,Bottlers Nepal (Terai) Limited,,7,,13570.00,,13111.10,,13250.00,,70.00,,926808.00,,13352.00,,-102.00,
,21,,Buddha Bhumi Nepal Hydropower Company Limited,,48,,408.00,,395.00,,395.00,,2626.00,,1046473.50,,408.00,,-13.00,
,22,,Butwal Power Company Limited,,165,,320.80,,310.10,,310.30,,16221.00,,5085490.10,,316.00,,-5.70,
,23,,CEDB Hydropower Development Company Limited,,141,,725.00,,701.00,,703.00,,10114.00,,7166933.70,,727.50,,-24.50,
