"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,1,,10% Prime Debenture 2088,,5,,860.00,,842.00,,842.00,,200.00,,171275.00,,860.00,,-18.00,
,2,,12 % Goodwill Finance Limited Debenture 2083,,2,,1015.00,,1015.00,,1015.00,,400.00,,406000.00,,1020.00,,-5.00,
,3,,12% ICFC Finance Limited Debenture 2083,,3,,1020.00,,1015.00,,1016.00,,170.00,,173060.00,,1016.00,,0.00,
,4,,8.5% BOK Debenture 2086,,3,,765.00,,760.00,,760.00,,105.00,,79875.00,,765.00,,-5.00,
,5,,8.5% Nepal Bank Debenture 2087,,1,,903.80,,903.80,,903.80,,25.00,,22595.00,,922.20,,-18.40,
,6,,8.5% Sanima Debenture 2087,,2,,742.00,,739.50,,742.00,,50.00,,37037.50,,742.00,,0.00,
,7,,8.5% SBL Debenture 2084,,1,,815.50,,815.50,,815.50,,25.00,,20387.50,,800.10,,15.40,
,8,,8.75 % Prime Debenture 2085,,2,,810.50,,810.50,,810.50,,70.00,,56735.00,,825.00,,-14.50,
,9,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,,45,,800.00,,755.00,,763.00,,1058.00,,819117.00,,787.00,,-24.00,
,10,,Agricultural Development Bank Limited,,196,,325.00,,315.00,,316.00,,16374.00,,5192264.90,,321.00,,-5.00,
,11,,Ankhu Khola Jalvidhyut Company Ltd,,232,,207.00,,193.00,,197.00,,46341.00,,9152984.30,,204.90,,-7.90,
,12,,Api Power Company Ltd.,,1428,,245.00,,226.00,,229.00,,317116.00,,73516326.90,,241.90,,-12.90,
,13,,Arun Kabeli Power Ltd.,,626,,442.00,,420.10,,420.90,,113030.00,,48423140.90,,442.80,,-21.90,
,14,,Arun Valley Hydropower Development Co. Ltd.,,530,,341.70,,315.00,,317.90,,137885.00,,44268370.20,,335.00,,-17.10,
,15,,Asha Laghubitta Bittiya Sanstha Ltd,,62,,1090.00,,1029.00,,1049.50,,1901.00,,1983558.60,,1090.00,,-40.50,
,16,,Asian Life Insurance Co. Limited,,230,,576.00,,546.00,,553.00,,28094.00,,15586899.50,,564.80,,-11.80,
,17,,Balephi Hydropower Limited,,126,,315.00,,290.10,,299.80,,7917.00,,2335310.90,,310.00,,-10.20,
,18,,Barun Hydropower Co. Ltd.,,102,,258.00,,236.20,,240.00,,15517.00,,3772243.40,,254.00,,-14.00,
,19,,Best Finance Company Ltd.,,178,,388.00,,360.00,,361.00,,17310.00,,6418108.20,,383.00,,-22.00,
,20,,Bindhyabasini Hydropower Development Company Limited,,190,,430.00,,403.10,,411.00,,10060.00,,4172264.50,,437.00,,-26.00,
,21,,Bishal Bazar Company Limited,,12,,3570.00,,3381.00,,3381.00,,215.00,,742294.00,,3570.00,,-189.00,
,22,,Bottlers Nepal (Terai) Limited,,15,,13005.00,,12575.00,,12826.50,,215.00,,2735600.00,,13083.00,,-256.50,
,23,,Buddha Bhumi Nepal Hydropower Company Limited,,47,,403.90,,380.10,,384.90,,2139.00,,830147.20,,396.00,,-11.10,
,24,,Butwal Power Company Limited,,138,,312.00,,303.20,,303.50,,20951.00,,6439820.30,,314.00,,-10.50,
,25,,CEDB Hydropower Development Company Limited,,169,,697.00,,656.00,,659.60,,13750.00,,9201619.00,,695.00,,-35.40,
,26,,Central Finance Co. Ltd.,,232,,349.00,,322.00,,326.00,,32098.00,,10657693.60,,345.00,,-19.00,
,27,,Chandragiri Hills Limited,,44,,991.80,,972.00,,975.00,,1698.00,,1662415.00,,1012.00,,-37.00,
,28,,Chhimek Laghubitta Bittiya Sanstha Limited,,163,,1064.00,,1015.00,,1018.00,,7170.00,,7397940.70,,1047.00,,-29.00,
,29,,Chhyangdi Hydropower Ltd.,,70,,243.00,,223.50,,227.00,,8694.00,,2005227.60,,243.50,,-16.50,
,30,,Chilime Hydropower Company Limited,,161,,381.00,,366.00,,370.00,,16231.00,,6049216.20,,380.20,,-10.20,
,31,,Citizen Investment Trust,,190,,1965.00,,1900.00,,1902.50,,7463.00,,14358814.70,,1941.00,,-38.50,
,32,,Citizens Bank International Limited,,199,,198.00,,193.00,,193.80,,31701.00,,6163218.30,,198.50,,-4.70,
,33,,Citizens Mutual Fund -1,,5,,8.06,,7.95,,7.95,,7840.00,,62668.00,,8.20,,-0.25,
,34,,CITIZENS MUTUAL FUND 2,,9,,8.72,,8.25,,8.59,,4375.00,,36838.25,,8.25,,0.34,
,35,,Civil Laghubitta Bittiya Sanstha Ltd.,,20,,880.00,,840.00,,840.10,,738.00,,625734.70,,863.00,,-22.90,
,36,,Corporate Development Bank Limited,,41,,306.00,,287.00,,288.00,,4426.00,,1307810.00,,305.00,,-17.00,
,37,,Deprosc Laghubitta Bittiya Sanstha Limited,,110,,1008.70,,965.00,,968.00,,5121.00,,4995762.10,,989.00,,-21.00,
,38,,Dibyashwori Hydropower Ltd.,,72,,204.80,,194.00,,194.00,,9743.00,,1933741.10,,207.10,,-13.10,
,39,,Dordi Khola Jal Bidyut Company Limited,,211,,319.90,,301.00,,305.00,,10617.00,,3246764.40,,318.00,,-13.00,
,40,,Emerging Nepal Limited,,40,,676.00,,638.20,,658.00,,1890.00,,1226593.00,,664.30,,-6.30,
,41,,Everest Bank Limited,,150,,504.80,,483.00,,485.00,,17355.00,,8537829.70,,499.80,,-14.80,
,42,,Excel Development Bank Ltd.,,124,,340.00,,322.00,,323.00,,22979.00,,7532741.70,,340.80,,-17.80,
,43,,First Micro Finance Laghubitta Bittiya Sanstha Limited,,116,,705.00,,660.00,,663.40,,16165.00,,10873972.10,,694.00,,-30.60,
,44,,Forward Microfinance Laghubitta Bittiya Sanstha Limited,,279,,2700.00,,2570.00,,2571.00,,7434.00,,19449541.40,,2664.70,,-93.70,
,45,,Ganapati Laghubitta Bittiya Sanstha Limited,,9,,924.00,,896.70,,896.70,,239.00,,218437.50,,933.00,,-36.30,
,46,,Garima Bikas Bank Limited,,332,,399.00,,375.00,,378.50,,45893.00,,17648976.60,,394.90,,-16.40,
,47,,Ghalemdi Hydro Limited,,177,,210.00,,193.20,,195.00,,34308.00,,6858953.00,,208.20,,-13.20,
,48,,Global IME Bank Limited Debenture 2086/87,,6,,784.00,,772.00,,772.00,,159.00,,122871.00,,772.00,,0.00,
,49,,Global IME Laghubitta Bittiya Sanstha Ltd.,,42,,1270.00,,1227.00,,1227.00,,1011.00,,1255052.20,,1275.00,,-48.00,
,50,,Global IME Samunnat Scheme-1,,179,,9.19,,8.27,,8.71,,305066.00,,2568571.85,,9.19,,-0.48,
,51,,Goodwill Finance Limited,,157,,508.60,,470.00,,479.00,,12463.00,,6005197.40,,498.70,,-19.70,
,52,,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,,82,,703.40,,666.00,,666.00,,6940.00,,4731911.50,,704.00,,-38.00,
,53,,Green Development Bank Ltd.,,113,,287.00,,259.00,,269.00,,14137.00,,3795385.00,,273.90,,-4.90,
,54,,Green Ventures Limited,,221,,342.00,,320.00,,331.00,,16218.00,,5319675.00,,342.70,,-11.70,
,55,,GreenLife Hydropower Limited,,135,,295.80,,268.00,,275.00,,9996.00,,2750259.80,,290.00,,-15.00,
