"
",S.N.,"
",Traded Companies,"
",No. Of Transaction,"
",Max Price,"
",Min Price,"
",Closing Price,"
",Traded Shares,"
",Amount,"
",Previous Closing,"
",Difference Rs.,"
"
,48,,Goodwill Finance Limited,,67,,514.60,,495.00,,495.00,,7625.00,,3803812.50,,504.70,,-9.70,
,49,,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,,31,,690.00,,675.00,,680.00,,1733.00,,1176425.20,,683.10,,-3.10,
,50,,Green Development Bank Ltd.,,34,,263.00,,253.00,,253.00,,4528.00,,1154228.40,,261.90,,-8.90,
,51,,Green Ventures Limited,,225,,358.00,,345.00,,349.90,,11862.00,,4156651.10,,359.00,,-9.10,
,52,,GreenLife Hydropower Limited,,50,,287.00,,279.30,,279.30,,3720.00,,1044011.50,,285.00,,-5.70,
,53,,Guheshowori Merchant Bank & Finance Co. Ltd.,,43,,348.00,,336.00,,340.10,,9020.00,,3069594.30,,348.00,,-7.90,
,54,,Gurans Laghubitta Bittiya Sanstha Limited,,9,,1000.00,,961.00,,963.00,,270.00,,261665.00,,1000.00,,-37.00,
,55,,Gurkhas Finance Ltd.,,167,,545.80,,520.00,,526.00,,15027.00,,7951359.20,,538.60,,-12.60,
,56,,Himal Dolakha Hydropower Company Limited,,501,,207.00,,199.00,,201.90,,128055.00,,25867026.20,,204.00,,-2.10,
,57,,Himalaya Urja Bikas Company Limited,,42,,240.70,,233.00,,235.00,,5703.00,,1341357.00,,244.00,,-9.00,
,58,,Himalayan Bank Limited,,44,,327.90,,325.00,,325.00,,2746.00,,895577.30,,329.00,,-4.00,
,59,,Himalayan Distillery Limited,,267,,3435.00,,3380.00,,3385.00,,6419.00,,21835318.00,,3433.60,,-48.60,
,60,,Himalayan Everest Insurance Limited,,82,,389.50,,370.00,,370.00,,10845.00,,4058927.50,,383.90,,-13.90,
,61,,Himalayan Everest Insurance Limited Promoter,,5,,254.10,,235.60,,254.10,,50.00,,12251.00,,231.00,,23.10,
,62,,Himalayan Hydropower Limited,,325,,297.00,,283.00,,284.20,,11590.00,,3334470.40,,296.20,,-12.00,
,63,,Himalayan Power Partner Ltd.,,35,,370.30,,338.20,,338.20,,3555.00,,1240531.00,,363.10,,-24.90,
,64,,Hydorelectricity Investment and Development Company Limited Promoter,,32,,104.00,,97.10,,98.20,,34940.00,,3434156.00,,100.40,,-2.20,
,65,,Hydorelectricity Investment and Development Company Ltd,,470,,199.00,,193.00,,193.60,,49682.00,,9667166.80,,196.80,,-3.20,
,66,,ICFC Finance Limited,,182,,495.00,,475.50,,476.20,,19092.00,,9173156.40,,485.00,,-8.80,
,67,,IME General Insurance Ltd.,,102,,395.00,,385.00,,388.00,,13509.00,,5243748.40,,396.00,,-8.00,
,68,,Infinity Laghubitta Bittiya Sanstha Limited,,11,,968.00,,950.10,,965.00,,183.00,,175154.80,,979.00,,-14.00,
,69,,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,,98,,3143.00,,3026.00,,3028.00,,3424.00,,10461839.50,,3082.00,,-54.00,
,70,,Janaki Finance Company Limited,,83,,394.00,,381.00,,385.00,,7919.00,,3057455.60,,395.00,,-10.00,
,71,,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,,26,,1720.00,,1665.00,,1693.00,,607.00,,1027471.50,,1695.00,,-2.00,
,72,,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,,161,,2660.00,,2622.00,,2630.00,,2611.00,,6878450.40,,2655.00,,-25.00,
,73,,Joshi Hydropower Development Company Ltd,,52,,208.00,,202.20,,203.00,,4764.00,,976189.10,,208.00,,-5.00,
,74,,Jyoti Bikas Bank Limited,,239,,295.50,,286.00,,286.00,,28142.00,,8145109.40,,294.80,,-8.80,
,75,,Kalika Laghubitta Bittiya Sanstha Ltd,,31,,1035.00,,1003.00,,1023.90,,1150.00,,1164946.60,,1033.00,,-9.10,
,76,,Kalika power Company Ltd,,59,,368.00,,354.00,,360.00,,9091.00,,3281607.60,,366.10,,-6.10,
,77,,Kamana Sewa Bikas Bank Limited,,154,,351.90,,335.00,,336.00,,17328.00,,5862632.70,,346.00,,-10.00,
,78,,Karnali Development Bank Limited,,55,,238.00,,230.30,,230.30,,6567.00,,1521947.00,,236.00,,-5.70,
,79,,Khanikhola Hydropower Co. Ltd.,,48,,219.30,,204.10,,204.10,,7591.00,,1588933.10,,215.00,,-10.90,
,80,,Kisan Lagubitta Bittiya Sanstha Limited,,10,,895.00,,877.10,,890.00,,318.00,,281174.80,,911.00,,-21.00,
,81,,Kumari Bank Limited,,191,,201.00,,198.00,,198.00,,25492.00,,5071213.80,,200.00,,-2.00,
,82,,Kumari Dhanabriddhi Yojana,,20,,8.50,,8.40,,8.43,,2800.00,,23624.00,,8.51,,-0.08,
,83,,Kumari Equity Fund,,30,,8.22,,8.07,,8.07,,50150.00,,405764.00,,8.11,,-0.04,
,84,,Laxmi Bank Limited,,42,,200.00,,198.10,,198.20,,3596.00,,714481.50,,200.00,,-1.80,
,85,,Laxmi Equity Fund,,5,,8.26,,8.10,,8.26,,12195.00,,99617.50,,8.20,,0.06,
,86,,Laxmi Laghubitta Bittiya Sanstha Ltd.,,16,,1250.00,,1225.00,,1225.00,,930.00,,1143262.00,,1250.00,,-25.00,
,87,,Laxmi Unnati Kosh,,4,,8.29,,8.28,,8.28,,11900.00,,98632.00,,8.35,,-0.07,
,88,,Liberty Energy Company Limited,,75,,255.00,,240.00,,254.00,,10766.00,,2626929.80,,252.90,,1.10,
,89,,Life Insurance Corporation (Nepal) Limited,,196,,1464.00,,1372.00,,1379.00,,9838.00,,13805351.20,,1434.90,,-55.90,
,90,,Lumbini Bikas Bank Ltd.,,157,,387.60,,375.00,,379.00,,21612.00,,8185071.50,,385.00,,-6.00,
,91,,Machhapuchhre Bank Limited,,136,,222.40,,220.00,,220.50,,26244.00,,5794366.60,,222.80,,-2.30,
,92,,Madhya Bhotekoshi Jalavidyut Company Limited,,284,,232.60,,225.00,,225.10,,13172.00,,2988780.80,,231.10,,-6.00,
,93,,Mahalaxmi Bikas Bank Ltd.,,180,,383.40,,373.00,,374.90,,28157.00,,10622199.60,,379.80,,-4.90,
,94,,Mahila Lagubitta Bittiya Sanstha Limited,,36,,3780.00,,3720.00,,3720.00,,631.00,,2369121.00,,3769.00,,-49.00,
,95,,Mahuli Laghubitta Bittiya Sanstha Limited,,9,,1153.50,,1139.00,,1141.30,,233.00,,266498.10,,1177.00,,-35.70,
,96,,Mailung Khola Jal Vidhyut Company Limited,,68,,493.90,,460.00,,490.00,,3072.00,,1447913.00,,484.30,,5.70,
,97,,Manakamana Smart Laghubitta Bittiya Sanstha Limited,,15,,970.00,,941.00,,950.00,,1474.00,,1415389.00,,952.50,,-2.50,
,98,,Mandakini Hydropower Limited,,396,,387.60,,361.20,,377.00,,9980.00,,3682766.60,,375.00,,2.00,
,99,,Manjushree Finance Ltd.,,138,,416.90,,401.00,,402.00,,11385.00,,4602889.80,,409.00,,-7.00,
,100,,Manushi Laghubitta Bittiya Sanstha Limited,,14,,1190.50,,1130.00,,1140.00,,310.00,,357312.00,,1167.30,,-27.30,
,101,,Mega Mutual Fund -1,,19,,7.70,,7.50,,7.59,,13950.00,,106524.50,,7.61,,-0.02,
,102,,Mero Microfinance Bittiya Sanstha Ltd.,,53,,840.00,,812.00,,813.70,,2818.00,,2301459.90,,825.00,,-11.30,
,103,,Mirmire Microfinance Development Bank Ltd.,,24,,1020.10,,1001.00,,1019.00,,1087.00,,1100775.00,,1037.00,,-18.00,
,104,,Miteri Development Bank Limited,,45,,382.00,,368.00,,370.00,,8934.00,,3322937.50,,374.60,,-4.60,
,105,,Mithila LaghuBitta Bittiya Sanstha Limited,,25,,1173.00,,1134.00,,1134.00,,1889.00,,2146865.00,,1155.00,,-21.00,
,106,,Mountain Energy Nepal Limited,,71,,810.00,,759.80,,775.00,,5305.00,,4141545.00,,807.00,,-32.00,
,107,,Mountain Hydro Nepal Limited,,40,,273.00,,262.00,,262.00,,9427.00,,2515885.00,,270.00,,-8.00,
,108,,Muktinath Bikas Bank Ltd.,,178,,439.00,,431.20,,432.50,,14755.00,,6392058.60,,437.50,,-5.00,
,109,,Multipurpose Finance Company  Limited,,78,,339.90,,325.40,,325.50,,14608.00,,4801022.80,,332.00,,-6.50,
,110,,NABIL BALANCED FUND-2,,4,,9.20,,9.15,,9.20,,500.00,,4585.00,,9.32,,-0.12,
,111,,Nabil Balanced Fund-3,,17,,8.12,,8.00,,8.00,,4045.00,,32611.05,,8.12,,-0.12,
,112,,Nabil Bank Limited,,535,,798.00,,785.50,,786.00,,35820.00,,28257822.30,,789.50,,-3.50,
,113,,Nabil Equity Fund,,10,,9.28,,9.10,,9.10,,7811.00,,71413.14,,9.25,,-0.15,
,114,,Narayani Development Bank Limited,,22,,459.00,,437.00,,442.00,,879.00,,387546.00,,450.00,,-8.00,
,115,,National Hydro Power Company Limited,,377,,237.50,,227.00,,227.30,,92635.00,,21262520.30,,234.60,,-7.30,
,116,,National Life Insurance Co. Ltd.,,86,,562.00,,545.20,,545.20,,10782.00,,5928406.10,,555.00,,-9.80,
,117,,National Microfinance Laghubitta Bittiya Sanstha Limited,,90,,2200.00,,2150.00,,2159.00,,2390.00,,5177714.20,,2200.00,,-41.00,
,118,,Naya Sarathi Laghubitta Bittiya Sanstha Limited,,13,,804.00,,790.00,,790.00,,573.00,,454139.00,,818.00,,-28.00,
,119,,Neco Insurance Limited,,58,,739.50,,725.00,,729.00,,6524.00,,4761260.40,,737.00,,-8.00,
,120,,Nepal Bank Limited,,215,,286.00,,277.00,,280.00,,25196.00,,7080018.50,,282.00,,-2.00,
,121,,Nepal Credit And Commercial Bank Limited,,194,,204.60,,200.80,,201.50,,51150.00,,10318046.60,,203.00,,-1.50,
,122,,Nepal Doorsanchar Company Limited,,728,,930.00,,900.00,,927.90,,117457.00,,107483621.70,,940.00,,-12.10,
,123,,Nepal Finance Ltd.,,131,,287.00,,272.00,,275.00,,18497.00,,5104924.20,,283.00,,-8.00,
,124,,Nepal Hydro Developers Ltd.,,62,,383.90,,362.00,,366.90,,12289.00,,4517726.80,,378.00,,-11.10,
,125,,Nepal Infrastructure Bank Limited,,483,,228.00,,224.00,,225.10,,33083.00,,7454913.50,,226.80,,-1.70,
,126,,Nepal Insurance Co. Ltd.,,60,,460.00,,449.20,,451.00,,3873.00,,1746095.90,,456.00,,-5.00,
,127,,Nepal Life Insurance Co. Ltd.,,459,,675.00,,653.00,,656.20,,38060.00,,25131395.80,,668.00,,-11.80,
,128,,Nepal Reinsurance Company Limited,,298,,703.00,,685.00,,701.00,,21285.00,,14709837.90,,705.00,,-4.00,
,129,,Nepal SBI Bank Limited,,46,,285.40,,274.00,,276.90,,3857.00,,1061227.60,,279.90,,-3.00,
,130,,Nerude Laghubitta Bittiya Sanstha Limited,,35,,925.00,,911.10,,911.10,,1610.00,,1472291.90,,929.20,,-18.10,
,131,,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,,215,,3280.00,,3102.80,,3133.00,,10380.00,,32529264.70,,3217.00,,-84.00,
,132,,Ngadi Group Power Ltd.,,144,,262.10,,253.00,,253.20,,19123.00,,4895494.80,,262.00,,-8.80,
,133,,NIBL Pragati Fund,,11,,8.43,,8.41,,8.42,,32750.00,,275685.00,,8.56,,-0.14,
,134,,NIBL Samriddhi Fund -2,,10,,7.82,,7.66,,7.66,,3020.00,,23400.00,,7.77,,-0.11,
,135,,NIC Asia Balanced Fund,,8,,10.46,,10.29,,10.40,,24175.00,,250632.50,,10.50,,-0.10,
,136,,NIC Asia Bank Ltd.,,369,,650.00,,638.10,,638.30,,27446.00,,17631602.20,,645.30,,-7.00,
,137,,NIC Asia Growth Fund,,5,,11.17,,10.85,,10.96,,18050.00,,198667.50,,10.96,,0.00,
,138,,NIC ASIA Laghubitta Bittiya Sanstha Limited,,80,,820.00,,806.10,,807.50,,2594.00,,2100954.60,,820.00,,-12.50,
,139,,NIC Asia Select Fund 30,,16,,8.12,,7.79,,7.89,,12290.00,,97601.00,,7.91,,-0.02,
,140,,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,,145,,996.00,,971.00,,972.00,,9532.00,,9339899.80,,993.00,,-21.00,
,141,,NLG Insurance Company Ltd.,,128,,470.00,,451.00,,455.70,,15219.00,,6980776.00,,473.00,,-17.30,
,142,,NMB  Microfinance Bittiya Sanstha Ltd.,,49,,725.10,,714.00,,714.00,,2551.00,,1833789.60,,738.00,,-24.00,
,143,,NMB 50,,12,,10.21,,9.97,,9.97,,10492.00,,105482.44,,10.01,,-0.04,
,144,,NMB Bank Limited,,117,,249.00,,245.10,,247.90,,15427.00,,3812741.50,,248.00,,-0.10,
,145,,NMB Hybrid Fund L-1,,5,,9.87,,9.80,,9.80,,7327.00,,72044.60,,9.87,,-0.07,
,146,,NRN Infrastructure and Development Limited,,76,,480.00,,463.40,,464.40,,9551.00,,4476128.60,,473.00,,-8.60,
