S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,2,204.00,200.00,204.00,400.00,80800.00,202.00,2.00
2,Agriculture Development Bank Limited,39,141.00,136.00,139.00,2565.00,354730.00,138.00,1.00
3,Alpine Development Bank Limited,29,165.00,163.00,163.00,490.00,80310.00,163.00,0.00
4,Apex Development Bank Ltd.,3,202.00,196.00,202.00,60.00,11940.00,193.00,9.00
5,Arun Valley Hydropower Development Co. Ltd.,10,474.00,462.00,474.00,530.00,249102.00,460.00,14.00
6,Asian Life Insurance Co. Limited,3,266.00,264.00,266.00,80.00,21160.00,264.00,2.00
7,Axis Development Bank Limited,4,141.00,137.00,141.00,80.00,11080.00,135.00,6.00
8,Bank of Asia Nepal Limited,12,270.00,260.00,260.00,1245.00,326985.00,271.00,-11.00
9,Bank of Kathmandu Ltd.,10,615.00,596.00,615.00,760.00,455715.00,603.00,12.00
10,Best Finance Company Ltd.,3,191.00,185.00,191.00,121.00,22895.00,182.00,9.00
11,Bottlers Nepal (Terai) Limited,2,756.00,742.00,756.00,410.00,308420.00,728.00,28.00
12,Business Universal Development Bank Ltd.,2,147.00,145.00,145.00,932.00,136980.00,147.00,-2.00
13,Chilime Hydropower Company Limited,7,1050.00,996.00,1050.00,1000.00,1022890.00,1012.00,38.00
14,Citizen Bank International Limited,8,242.00,236.00,242.00,590.00,140160.00,238.00,4.00
15,City Express Finance Co. Limited,5,156.00,153.00,156.00,890.00,136230.00,153.00,3.00
16,Civil Merchant Bittiya Santha Ltd.,2,182.00,179.00,179.00,200.00,36100.00,185.00,-6.00
17,Clean Energy Development Bank Limited,9,258.00,253.00,258.00,750.00,191300.00,253.00,5.00
18,CMB Finance Limited,1,132.00,132.00,132.00,33.00,4356.00,134.00,-2.00
19,Crystal Finance Ltd.,6,214.00,214.00,214.00,80.00,17120.00,218.00,-4.00
20,Deva Bikas Bank Limited,1,153.00,153.00,153.00,48.00,7344.00,153.00,0.00
21,Everest Bank Limited,25,1050.00,1025.00,1050.00,1140.00,1171943.00,1070.00,-20.00
22,Gandaki Bikas Bank Limited,4,237.00,225.00,225.00,70.00,16150.00,249.00,-24.00
23,Garima Bikas Bank Limited,311,167.00,160.00,160.00,9130.00,1483780.00,162.00,-2.00
24,Gaurishankar Development Bank Ltd.,159,145.00,141.00,143.00,2080.00,297900.00,144.00,-1.00
25,Global IME Bank Limited,16,225.00,213.00,225.00,1030.00,223610.00,225.00,0.00
26,Gorkha Finance Ltd.,1,138.00,138.00,138.00,100.00,13800.00,140.00,-2.00
27,Grand Bank Nepal Limited,3,200.00,198.00,198.00,1595.00,317000.00,200.00,-2.00
28,Gurkhas Finance Ltd.,1,141.00,141.00,141.00,134.00,18894.00,141.00,0.00
29,ICFC Finance Limited,8,235.00,227.00,227.00,1128.00,258440.00,233.00,-6.00
30,IME Financial Institution,3,373.00,366.00,366.00,170.00,63040.00,366.00,0.00
