S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agriculture Development Bank Limited,26,127.00,124.00,127.00,4396.00,549060.00,127.00,0.00
2,Apex Development Bank Ltd.,1,168.00,168.00,168.00,219.00,36792.00,171.00,-3.00
3,Araniko Development Bank Limited,2,224.00,220.00,220.00,40.00,8880.00,228.00,-8.00
4,Arun Valley Hydropower Development Co. Ltd.,15,415.00,411.00,415.00,574.00,237189.00,422.00,-7.00
5,Axis Development Bank Limited,52,106.00,104.00,104.00,1055.00,111760.00,111.00,-7.00
6,Bank of Asia Nepal Limited,18,195.00,183.00,192.00,1930.00,369340.00,180.00,12.00
7,Bank of Kathmandu Ltd.,39,561.00,533.00,537.00,4956.00,2684951.00,531.00,6.00
8,Biratlaxmi Bikas Bank Limited,1,145.00,145.00,145.00,62.00,8990.00,144.00,1.00
9,Business Universal Development Bank Ltd.,2,141.00,141.00,141.00,200.00,28200.00,143.00,-2.00
10,Butwal Power Company Limited,10,687.00,641.00,687.00,422.00,283330.00,630.00,57.00
11,Chilime Hydropower Company Limited,6,816.00,795.00,816.00,2280.00,1833350.00,805.00,11.00
12,Citizen Bank International Limited,18,218.00,210.00,213.00,2390.00,511770.00,212.00,1.00
13,Deva Bikas Bank Limited,1,113.00,113.00,113.00,100.00,11300.00,111.00,2.00
14,Everest Bank Limited,17,1004.00,977.00,1004.00,1061.00,1048257.00,980.00,24.00
15,Gandaki Bikas Bank Limited,1,104.00,104.00,104.00,40.00,4160.00,104.00,0.00
16,Garima Bikas Bank Limited,34,132.00,128.00,128.00,1210.00,157120.00,130.00,-2.00
17,Global IME Bank Limited,4,201.00,196.00,201.00,665.00,133435.00,193.00,8.00
18,Grand Bank Nepal Limited,13,146.00,138.00,146.00,3829.00,534594.00,138.00,8.00
19,Himalayan Bank Limited,5,585.00,575.00,580.00,339.00,196338.00,575.00,5.00
20,Himalayan Finance Limited (Bittiya Sanstha),9,78.00,76.00,78.00,260.00,19880.00,75.00,3.00
21,ICFC Finance Limited,2,153.00,150.00,153.00,112.00,17100.00,153.00,0.00
22,IME Financial Institution,3,328.00,316.00,328.00,45.00,14550.00,301.00,27.00
23,Infrastructure Development Bank Ltd.,12,98.00,95.00,98.00,878.00,84160.00,95.00,3.00
24,Janaki Finance Ltd.,3,186.00,183.00,183.00,87.00,16107.00,186.00,-3.00
25,Jyoti Bikas Bank Limited,9,99.00,99.00,99.00,270.00,26730.00,98.00,1.00
26,Kankai Bikas Bank Ltd.,1,96.00,96.00,96.00,60.00,5760.00,97.00,-1.00
27,Karnali Development Bank Limited,40,93.00,93.00,93.00,400.00,37200.00,92.00,1.00
28,Kumari Bank Limited,10,269.00,259.00,264.00,1881.00,494599.00,259.00,5.00
29,Kumari Bank Limited Promotor Share,17,94.00,94.00,94.00,220.00,20680.00,93.00,1.00
30,Laxmi Bank Limited,8,316.00,298.00,302.00,640.00,193951.00,310.00,-8.00
31,Lord Buddha Finance Limited,1,134.00,134.00,134.00,16.00,2144.00,136.00,-2.00
32,Lumbini Bank Limited,9,225.00,220.00,220.00,702.00,156062.00,219.00,1.00
33,Lumbini Bikas Bank Ltd.,8,108.00,107.00,107.00,660.00,70680.00,105.00,2.00
34,Machhapuchhre Bank Limited,7,131.00,127.00,127.00,1067.00,137606.00,127.00,0.00
35,Mahalaxmi Bikas Bank Ltd.,10,97.00,95.00,97.00,1140.00,109630.00,96.00,1.00
36,Mahalaxmi BikasBank Limited,31,156.00,156.00,156.00,744.00,116064.00,159.00,-3.00
37,Nabil Bank Limited,18,1240.00,1180.00,1190.00,1022.00,1222314.00,1160.00,30.00
38,National Hydro Power Company Limited,1,41.01,41.01,41.01,50.00,2051.00,41.00,0.01
39,NCM Mutual Fund,1,33.95,33.95,33.95,100.00,3395.00,33.28,0.67
40,Nepal Bangladesh Bank Limited,3,125.00,125.00,125.00,350.00,43750.00,127.00,-2.00
41,Nepal Doorsanchar Comapany Limited,4,416.00,408.00,415.00,360.00,148180.00,400.00,15.00
42,Nepal Express Finance Limited Promoter Share,1,115.00,115.00,115.00,8008.00,920920.00,0.00,115.00
43,Nepal Investment Bank Limited,33,509.00,498.00,500.00,4255.00,2132740.00,496.00,4.00
44,Nepal Life Insurance Co. Ltd.,4,599.00,577.00,599.00,95.00,55860.00,600.00,-1.00
45,Nepal SBI Bank Limited,3,530.00,516.00,530.00,640.00,332140.00,516.00,14.00
46,Nerude Laghubita Bikas Bank Limited,2,456.00,456.00,456.00,60.00,27360.00,448.00,8.00
47,NIC Asia Bank Ltd.,23,511.00,490.00,496.00,3028.00,1509237.00,500.00,-4.00
48,NIDC Capital Markets Ltd.,6,212.00,204.00,212.00,1186.00,245952.00,218.00,-6.00
49,Nilgiri Bikas Bank Limited,1,103.00,103.00,103.00,40.00,4120.00,101.00,2.00
50,NMB Bank Limited,13,194.00,186.00,190.00,2177.00,414301.00,183.00,7.00
51,Om Development Bank Ltd.,9,168.00,162.00,168.00,260.00,42360.00,162.00,6.00
52,Om Finance Ltd.,26,257.00,257.00,257.00,260.00,66820.00,257.00,0.00
53,Prabhu  Bank Limited,4,143.00,139.00,143.00,400.00,56300.00,141.00,2.00
54,Prime Commercial Bank Ltd.,52,218.00,209.00,210.00,7921.00,1690789.00,210.00,0.00
55,Prime Life Insurance Company Limited,29,165.00,165.00,165.00,290.00,47850.00,168.00,-3.00
56,Professional Bikas Bank Ltd.,2,267.00,267.00,267.00,40.00,10680.00,281.00,-14.00
57,Public Development Bank Limited,6,67.00,67.00,67.00,120.00,8040.00,68.00,-1.00
58,Reliable Development Bank Limited,15,130.00,128.00,130.00,192.00,24624.00,130.00,0.00
59,Sagarmatha  Finance Limited,4,128.00,122.00,128.00,120.00,14880.00,120.00,8.00
60,Shree Investment & Finance Co. Ltd. Promoter Share,10,195.00,195.00,195.00,11360.00,2215200.00,0.00,195.00
61,Siddhartha Bank Limited,10,269.00,260.00,265.00,1621.00,430555.00,260.00,5.00
62,Siddhartha Development Bank Ltd.,1,115.00,115.00,115.00,500.00,57500.00,114.00,1.00
63,Standard Chartered Bank Limited,20,1720.00,1670.00,1671.00,1431.00,2410793.00,1649.00,22.00
