S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,4,151.00,149.00,151.00,794.00,118326.00,147.00,4.00
2,Agriculture Development Bank Limited,3,126.00,124.00,126.00,110.00,13740.00,123.00,3.00
3,Arun Valley Hydropower Development Co. Ltd.,39,414.00,406.00,410.00,960.00,392937.00,414.00,-4.00
4,Asian Life Insurance Co. Limited,18,156.00,150.00,156.00,600.00,90450.00,150.00,6.00
5,Bank of Asia Nepal Limited,20,195.00,187.00,189.00,2520.00,483460.00,192.00,-3.00
6,Bank of Kathmandu Ltd.,21,574.00,563.00,572.00,4436.00,2514756.00,567.00,5.00
7,Bhrikuti Vikash Bank Limited,1,235.00,235.00,235.00,68.00,15980.00,235.00,0.00
8,Biratlaxmi Bikas Bank Limited,2,155.00,154.00,155.00,150.00,23150.00,152.00,3.00
9,Bottlers Nepal (Balaju) Limited,2,1690.00,1690.00,1690.00,320.00,540800.00,1691.00,-1.00
10,Chhimek Laghubitta Bikas Bank Limited,2,308.00,308.00,308.00,625.00,192500.00,309.00,-1.00
11,Chilime Hydropower Company Limited,1,814.00,814.00,814.00,230.00,187220.00,830.00,-16.00
12,Citizen Bank International Limited,8,218.00,211.00,213.00,1480.00,317330.00,211.00,2.00
13,Clean Energy Development Bank Limited,6,172.00,168.00,170.00,232.00,39202.00,172.00,-2.00
14,Deva Bikas Bank Limited,16,110.00,106.00,108.00,3144.00,335400.00,108.00,0.00
15,Everest Bank Limited,7,1025.00,990.00,1025.00,297.00,295917.00,1010.00,15.00
16,Everest Insurance Co. Ltd.,1,310.00,310.00,310.00,33.00,10230.00,310.00,0.00
17,Excel Development Bank Ltd.,1,300.00,300.00,300.00,10.00,3000.00,295.00,5.00
18,Gandaki Bikas Bank Limited,53,106.00,103.00,106.00,1450.00,151270.00,104.00,2.00
19,Garima Bikas Bank Limited,76,141.00,137.00,139.00,2930.00,402650.00,136.00,3.00
20,Gaurishankar Development Bank Ltd.,3,108.00,106.00,108.00,30.00,3220.00,106.00,2.00
21,Global IME Bank Limited,7,203.00,199.00,199.00,335.00,67610.00,200.00,-1.00
22,Grand Bank Nepal Limited,12,154.00,149.00,154.00,2658.00,401528.00,153.00,1.00
23,Himalayan Bank Limited,5,630.00,625.00,625.00,288.00,180304.00,629.00,-4.00
24,Himalayan Finance Limited (Bittiya Sanstha),162,78.00,72.00,73.00,2450.00,179410.00,79.00,-6.00
25,Janaki Finance Ltd.,6,212.00,201.00,212.00,835.00,173285.00,198.00,14.00
26,Jyoti Bikas Bank Limited,157,105.00,100.00,103.00,9540.00,986800.00,104.00,-1.00
27,Kankai Bikas Bank Ltd.,58,108.00,106.00,108.00,580.00,62620.00,106.00,2.00
28,Karnali Development Bank Limited,17,92.00,86.00,86.00,460.00,41240.00,92.00,-6.00
29,Kaski Finance Limited,5,142.00,139.00,139.00,180.00,25320.00,140.00,-1.00
30,Kumari Bank Limited,5,260.00,250.00,250.00,600.00,152160.00,260.00,-10.00
31,Kumari Bank Limited Promotor Share,5,95.00,94.00,95.00,50.00,4710.00,93.00,2.00
32,Laxmi Bank Limited,12,289.00,281.00,289.00,3034.00,859474.00,283.00,6.00
33,Life Insurance Co. Nepal,3,548.00,538.00,548.00,520.00,279870.00,538.00,10.00
34,Lumbini Bank Limited,14,227.00,218.00,218.00,2279.00,503432.00,218.00,0.00
35,Lumbini Bikas Bank Ltd.,4,106.00,106.00,106.00,5220.00,553320.00,105.00,1.00
36,Lumbini Finance Ltd.,1,151.00,151.00,151.00,100.00,15100.00,154.00,-3.00
37,Lumbini General Insurance Co. Ltd.,5,132.00,130.00,132.00,80.00,10520.00,128.00,4.00
38,Machhapuchhre Bank Limited,8,122.00,119.00,122.00,2036.00,245042.00,124.00,-2.00
39,Mahalaxmi Bikas Bank Ltd.,26,95.00,93.00,94.00,1390.00,130390.00,93.00,1.00
40,Mahalaxmi BikasBank Limited,47,143.00,141.00,141.00,930.00,132234.00,145.00,-4.00
41,Miteri Development Bank Limited,1,120.00,120.00,120.00,40.00,4800.00,120.00,0.00
42,Nabil Bank Limited,2,1252.00,1232.00,1252.00,114.00,140848.00,1240.00,12.00
43,National Hydro Power Company Limited,10,45.77,43.50,43.50,15911.00,701359.00,43.75,-0.25
44,Nepal Bangladesh Bank Limited,1,130.00,130.00,130.00,100.00,13000.00,130.00,0.00
45,Nepal Credit And Commercial Bank Limited,9,134.00,130.00,134.00,3580.00,471920.00,130.00,4.00
46,Nepal Doorsanchar Comapany Limited,10,424.00,412.00,424.00,3160.00,1306480.00,414.00,10.00
47,Nepal Investment Bank Limited,13,526.00,515.00,515.00,2935.00,1528157.00,524.00,-9.00
48,Nepal SBI Bank Limited,4,548.00,538.00,539.00,1190.00,640760.00,548.00,-9.00
49,Nerude Laghubita Bikas Bank Limited,19,500.00,490.00,490.00,350.00,174190.00,482.00,8.00
50,NIC Asia Bank Ltd.,13,529.00,520.00,527.00,1473.00,772650.00,527.00,0.00
51,NIDC Capital Markets Ltd.,2,214.00,210.00,214.00,338.00,71532.00,211.00,3.00
52,Nilgiri Bikas Bank Limited,2,141.00,139.00,141.00,60.00,8400.00,139.00,2.00
53,NMB Bank Limited,6,191.00,190.00,191.00,1177.00,224047.00,190.00,1.00
54,Om Development Bank Ltd.,36,164.00,158.00,164.00,420.00,67090.00,161.00,3.00
55,Prime Commercial Bank Ltd.,73,224.00,217.00,223.00,6859.00,1509325.00,218.00,5.00
56,Prime Life Insurance Company Limited,27,170.00,164.00,164.00,830.00,140260.00,170.00,-6.00
57,Public Development Bank Limited,12,79.00,77.00,77.00,750.00,58020.00,80.00,-3.00
58,Rastriya Beema Company Limited,4,186.00,186.00,186.00,92.00,17112.00,184.00,2.00
59,Reliable Development Bank Limited,16,170.00,164.00,170.00,384.00,64416.00,167.00,3.00
60,Resunga Bikas Bank Limited,6,176.00,174.00,176.00,60.00,10540.00,171.00,5.00
