S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,4,114.00,113.00,113.00,1862.00,211406.00,114.00,-1.00
2,Agriculture Development Bank Limited,5,113.00,113.00,113.00,250.00,28250.00,114.00,-1.00
3,Araniko Development Bank Limited,239,94.00,88.00,89.00,7690.00,689970.00,94.00,-5.00
4,Arun Valley Hydropower Development Co. Ltd.,1,319.00,319.00,319.00,20.00,6380.00,314.00,5.00
5,Asian Life Insurance Co. Limited,26,174.00,168.00,168.00,930.00,158810.00,175.00,-7.00
6,Bank of Asia Nepal Limited,7,157.00,154.00,154.00,294.00,45678.00,160.00,-6.00
7,Bank of Kathmandu Ltd.,22,413.00,406.00,411.00,4959.00,2032187.00,413.00,-2.00
8,Biratlaxmi Bikas Bank Limited,146,134.00,132.00,132.00,2976.00,395667.00,132.00,0.00
9,Butwal Power Company Limited,3,484.00,469.00,484.00,150.00,71400.00,460.00,24.00
10,Chhimek Laghubitta Bikas Bank Limited,1,346.00,346.00,346.00,106.00,36676.00,340.00,6.00
11,Chilime Hydropower Company Limited,8,590.00,572.00,590.00,890.00,514960.00,830.00,-240.00
12,Citizen Bank International Limited,6,164.00,162.00,164.00,900.00,146700.00,164.00,0.00
13,Clean Energy Development Bank Limited,31,132.00,130.00,132.00,3730.00,488358.00,130.00,2.00
14,Corporate Development Bank Limited,7,152.00,140.00,140.00,70.00,10170.00,155.00,-15.00
15,Deprosc Laghubitta Bittiya Sanstha Limited,9,263.00,260.00,260.00,9812.00,2562322.00,265.00,-5.00
16,Deva Bikas Bank Limited,25,86.00,85.00,86.00,3349.00,285275.00,85.00,1.00
17,Everest Bank Limited,41,703.00,690.00,703.00,4771.00,3303306.00,709.00,-6.00
18,Fewa Finance Co. Ltd.,7,202.00,193.00,202.00,210.00,41620.00,190.00,12.00
19,Gandaki Bikas Bank Limited,22,118.00,116.00,117.00,750.00,87970.00,120.00,-3.00
20,Garima Bikas Bank Limited,18,110.00,106.00,110.00,440.00,47920.00,110.00,0.00
