S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agriculture Development Bank Limited,23,120.00,115.00,120.00,1155.00,136110.00,120.00,0.00
2,Alpine Development Bank Limited,2,102.00,100.00,100.00,30.00,3020.00,100.00,0.00
3,Api Finance Limited,3,125.00,125.00,125.00,70.00,8750.00,127.00,-2.00
4,Arun Valley Hydropower Development Co. Ltd.,15,350.00,342.00,342.00,238.00,82729.00,345.00,-3.00
5,Asian Life Insurance Co. Limited,15,158.00,151.00,157.00,700.00,108810.00,152.00,5.00
6,Bank of Asia Nepal Limited,4,175.00,172.00,175.00,175.00,30405.00,174.00,1.00
7,Bank of Kathmandu Ltd.,19,446.00,440.00,442.00,8484.00,3744248.00,444.00,-2.00
8,Bhrikuti Bikash Bank Limited Promoter Share,1,126.00,126.00,126.00,2500.00,315000.00,126.00,0.00
9,Bhrikuti Vikash Bank Limited,1,227.00,227.00,227.00,20.00,4540.00,231.00,-4.00
10,Chilime Hydropower Company Limited,5,793.00,776.00,776.00,1320.00,1031450.00,785.00,-9.00
11,Citizen Bank International Limited,20,191.00,180.00,182.00,1820.00,337680.00,189.00,-7.00
12,City Express Finance Co. Limited,1,114.00,114.00,114.00,660.00,75240.00,112.00,2.00
13,Civil Merchant Bittiya Santha Ltd.,2,127.00,127.00,127.00,52.00,6604.00,129.00,-2.00
14,Clean Energy Development Bank Limited,1,155.00,155.00,155.00,24.00,3720.00,154.00,1.00
15,Deprosc Laghubitta Bittiya Sanstha Limited,1,275.00,275.00,275.00,80.00,22000.00,277.00,-2.00
16,Deva Bikas Bank Limited,15,93.00,88.00,93.00,3608.00,325566.00,90.00,3.00
17,Everest Bank Limited,8,894.00,860.00,894.00,192.00,167424.00,879.00,15.00
18,Gandaki Bikas Bank Limited,23,108.00,105.00,105.00,490.00,51730.00,107.00,-2.00
19,Garima Bikas Bank Limited,1,143.00,143.00,143.00,90.00,12870.00,143.00,0.00
20,Gaurishankar Development Bank Ltd.,20,97.00,96.00,97.00,200.00,19290.00,96.00,1.00
21,Global IME Bank Limited,6,180.00,180.00,180.00,770.00,138600.00,183.00,-3.00
22,Grand Bank Nepal Limited,7,136.00,132.00,132.00,942.00,125136.00,136.00,-4.00
23,Hathway Finance Company Limited,3,64.00,64.00,64.00,160.00,10240.00,64.00,0.00
24,Himalayan Bank Limited,6,580.00,570.00,570.00,942.00,540085.00,583.00,-13.00
25,Himalayan Finance Limited (Bittiya Sanstha),40,65.00,63.00,65.00,630.00,40050.00,64.00,1.00
26,ICFC Finance Limited,9,128.00,119.00,119.00,4809.00,580826.00,130.00,-11.00
27,Janaki Finance Ltd.,3,222.00,214.00,222.00,558.00,119836.00,210.00,12.00
28,Jyoti Bikas Bank Limited,16,93.00,92.00,93.00,750.00,69260.00,93.00,0.00
29,Kamana Sewa Bikas Bank Limited,178,110.00,107.00,108.00,4830.00,521590.00,109.00,-1.00
30,Karnali Development Bank Limited,10,72.00,72.00,72.00,100.00,7200.00,72.00,0.00
31,Kaski Finance Limited,3,110.00,108.00,110.00,150.00,16280.00,110.00,0.00
32,Kumari Bank Limited,9,224.00,219.00,220.00,3464.00,762256.00,222.00,-2.00
33,Kumari Bank Limited Promotor Share,58,100.00,97.00,100.00,600.00,58820.00,97.00,3.00
34,Laxmi Bank Limited,9,265.00,250.00,265.00,13850.00,3484963.00,262.00,3.00
35,Lumbini Bank Limited,4,200.00,198.00,200.00,1617.00,321283.00,195.00,5.00
36,Lumbini Bikas Bank Ltd.,8,117.00,113.00,113.00,990.00,112190.00,119.00,-6.00
37,Lumbini Finance Ltd.,4,138.00,138.00,138.00,356.00,49128.00,140.00,-2.00
38,Machhapuchhre Bank Limited,14,114.00,108.00,111.00,10533.00,1159410.00,116.00,-5.00
39,Mahalaxmi Bikas Bank Ltd.,82,80.00,74.00,79.00,5300.00,402570.00,76.00,3.00
40,Mahalaxmi BikasBank Limited,1,140.00,140.00,140.00,80.00,11200.00,140.00,0.00
41,Nabil Bank Limited,2,959.00,950.00,950.00,200.00,190900.00,941.00,9.00
42,NABIL Bank Limited Promotor Share,41,836.00,836.00,836.00,13580.00,11352880.00,853.00,-17.00
43,National Hydro Power Company Limited,18,70.00,65.00,70.00,15450.00,1070400.00,64.00,6.00
44,National Life Insurance Co. Ltd.,9,351.00,330.00,338.00,16097.00,5542764.00,325.00,13.00
45,Nepal Bangladesh Bank Limited,5,121.00,119.00,119.00,490.00,58350.00,118.00,1.00
46,Nepal Credit And Commercial Bank Limited,7,122.00,116.00,119.00,2420.00,285360.00,124.00,-5.00
47,Nepal Doorsanchar Comapany Limited,4,420.00,416.00,419.00,350.00,146100.00,415.00,4.00
48,Nepal Investment Bank Limited,42,570.00,541.00,550.00,8527.00,4671254.00,573.00,-23.00
49,Nepal Life Insurance Co. Ltd.,1,535.00,535.00,535.00,42.00,22470.00,545.00,-10.00
50,Nepal SBI Bank Limited,3,476.00,465.00,465.00,319.00,149675.00,476.00,-11.00
