S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
70,Standard Finance Ltd.,1,151.00,151.00,151.00,42020.00,6345020.00,154.00,-3.00
71,Subha Laxmi Finance Co. Ltd.,1,225.00,225.00,225.00,20.00,4500.00,236.00,-11.00
72,Sunrise Bank Limited,7,219.00,217.00,219.00,316.00,68830.00,216.00,3.00
73,Supreme Development Bank Ltd.,3,123.00,122.00,123.00,711.00,86942.00,120.00,3.00
74,Surya Life Insurance Company Limited,42,166.00,164.00,165.00,1380.00,228450.00,166.00,-1.00
75,Suryadarshan Finance Company Limited,5,155.00,153.00,155.00,50.00,7710.00,150.00,5.00
76,Swabalamban Laghubitta Bittiya Sanstha Limited,3,207.00,200.00,200.00,1557.00,312802.00,203.00,-3.00
77,Swastik Merchant Finance Co. Ltd.,3,136.00,136.00,136.00,30.00,4080.00,138.00,-2.00
78,Triveni Bikas Bank Limited,1,195.00,195.00,195.00,13.00,2535.00,198.00,-3.00
79,Udhyam Bikas Bank Limited,103,134.00,130.00,132.00,2700.00,358650.00,132.00,0.00
80,Unilever Nepal Limited,1,5700.00,5700.00,5700.00,30.00,171000.00,5800.00,-100.00
81,Unique Finance Ltd.,4,152.00,150.00,152.00,40.00,6020.00,149.00,3.00
