S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,4,142.00,138.00,138.00,250.00,34800.00,140.00,-2.00
2,Agriculture Development Bank Limited,57,130.00,128.00,129.00,3753.00,483975.00,128.00,1.00
3,Alpine Development Bank Limited,4,133.00,127.00,133.00,40.00,5200.00,121.00,12.00
4,Arun Valley Hydropower Development Co. Ltd.,13,411.00,406.00,411.00,373.00,152901.00,408.00,3.00
5,Axis Development Bank Limited,2,109.00,107.00,109.00,65.00,7015.00,105.00,4.00
6,Bank of Asia Nepal Limited,16,160.00,157.00,160.00,990.00,157135.00,163.00,-3.00
7,Bank of Kathmandu Ltd.,18,483.00,466.00,470.00,2208.00,1047166.00,483.00,-13.00
8,Business Universal Development Bank Ltd.,3,141.00,139.00,141.00,268.00,37388.00,141.00,0.00
9,Butwal Power Company Limited,5,410.00,400.00,410.00,2920.00,1183100.00,413.00,-3.00
10,Central Finance Co. Ltd.,1,294.00,294.00,294.00,10.00,2940.00,294.00,0.00
11,Chhimek Laghubitta Bikas Bank Limited,1,233.00,233.00,233.00,60.00,13980.00,237.00,-4.00
12,Chilime Hydropower Company Limited,6,852.00,845.00,852.00,1120.00,948600.00,850.00,2.00
13,Citizen Bank International Limited,10,191.00,186.00,189.00,560.00,104980.00,194.00,-5.00
14,Citizen Investment Trust,1,688.00,688.00,688.00,25.00,17200.00,686.00,2.00
15,Clean Energy Development Bank Limited,1,182.00,182.00,182.00,30.00,5460.00,185.00,-3.00
16,Crystal Finance Ltd.,1,149.00,149.00,149.00,20.00,2980.00,147.00,2.00
17,Deprosc Laghubitta Bittiya Sanstha Limited,1,206.00,206.00,206.00,61.00,12566.00,202.00,4.00
18,Everest Bank Limited,8,1075.00,1009.00,1075.00,103.00,106627.00,980.00,95.00
19,Excel Development Bank Ltd.,2,317.00,312.00,317.00,543.00,169466.00,306.00,11.00
20,Gandaki Bikas Bank Limited,49,108.00,104.00,108.00,1260.00,134040.00,107.00,1.00
21,Garima Bikas Bank Limited,15,134.00,130.00,132.00,500.00,66040.00,128.00,4.00
22,Global IME Bank Limited,7,178.00,173.00,175.00,340.00,59615.00,179.00,-4.00
23,Grand Bank Nepal Limited,4,135.00,134.00,134.00,635.00,85700.00,136.00,-2.00
24,Hathway Finance Company Limited,1,78.00,78.00,78.00,40.00,3120.00,79.00,-1.00
25,Himalayan Bank Limited,12,510.00,490.00,495.00,1017.00,506042.00,520.00,-25.00
26,Himalayan Finance Limited (Bittiya Sanstha),29,84.00,78.00,84.00,380.00,30910.00,77.00,7.00
27,ICFC Finance Limited,2,144.00,144.00,144.00,264.00,38016.00,143.00,1.00
28,Infrastructure Development Bank Ltd.,27,109.00,98.00,100.00,7803.00,776832.00,107.00,-7.00
29,Jyoti Bikas Bank Limited,149,106.00,100.00,104.00,3180.00,324630.00,105.00,-1.00
30,Kankai Bikas Bank Ltd.,5,99.00,98.00,99.00,170.00,16670.00,100.00,-1.00
31,Karnali Development Bank Limited,28,99.00,95.00,96.00,280.00,27590.00,100.00,-4.00
32,Kaski Finance Limited,2,142.00,140.00,140.00,70.00,9880.00,144.00,-4.00
33,Kasthamandap Development Bank Limited,3,101.00,101.00,101.00,30.00,3030.00,100.00,1.00
