S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,2,252.00,248.00,252.00,553.00,137584.00,244.00,8.00
2,Agriculture Development Bank Limited,116,122.00,117.00,121.00,9541.00,1147868.00,120.00,1.00
3,Api Finance Limited,1,219.00,219.00,219.00,90.00,19710.00,223.00,-4.00
4,Arun Valley Hydropower Development Co. Ltd.,78,430.00,422.00,423.00,1800.00,764354.00,425.00,-2.00
5,Asian Life Insurance Co. Limited,17,225.00,225.00,225.00,500.00,112500.00,223.00,2.00
6,Bank of Asia Nepal Limited,23,268.00,260.00,268.00,1320.00,348560.00,260.00,8.00
7,Bank of Kathmandu Ltd.,34,575.00,550.00,560.00,3768.00,2097300.00,568.00,-8.00
8,Biratlaxmi Bikas Bank Limited,2,318.00,312.00,312.00,123.00,38664.00,318.00,-6.00
9,Birgunj Finance Ltd.,11,162.00,155.00,155.00,12690.00,1968020.00,164.00,-9.00
10,Business Universal Development Bank Ltd.,3,156.00,155.00,155.00,224.00,34740.00,158.00,-3.00
11,Capital Merchant Bank & Finance Co. Ltd.,2,169.00,169.00,169.00,140.00,23660.00,169.00,0.00
12,Chhimek Laghubitta Bikas Bank Limited,1,466.00,466.00,466.00,63.00,29358.00,466.00,0.00
13,Chilime Hydropower Company Limited,6,910.00,900.00,910.00,860.00,776100.00,911.00,-1.00
14,Citizen Bank International Limited,5,285.00,280.00,284.00,320.00,90250.00,288.00,-4.00
15,Clean Energy Development Bank Limited,3,222.00,220.00,220.00,90.00,19880.00,220.00,0.00
16,Deva Bikas Bank Limited,7,152.00,151.00,151.00,298.00,45214.00,152.00,-1.00
17,Everest Bank Limited,2,1095.00,1080.00,1095.00,120.00,129900.00,1083.00,12.00
18,Everest Bank Limited Con. Pref.,5,829.00,797.00,797.00,1030.00,821710.00,845.00,-48.00
19,Excel Development Bank Ltd.,1,300.00,300.00,300.00,62.00,18600.00,300.00,0.00
20,Global IME Bank Limited,18,226.00,216.00,222.00,800.00,176855.00,222.00,0.00
21,Gorkha Finance Ltd.,1,130.00,130.00,130.00,28.00,3640.00,130.00,0.00
22,Grand Bank Nepal Limited,5,224.00,222.00,224.00,424.00,94168.00,226.00,-2.00
23,Gurkha Development Bank Limited,20,270.00,246.00,250.00,1528.00,381974.00,268.00,-18.00
24,Himalayan Bank Limited,1,690.00,690.00,690.00,100.00,69000.00,700.00,-10.00
25,Himalayan General Insurance Co. Ltd,1,210.00,210.00,210.00,42.00,8820.00,210.00,0.00
26,ICFC Finance Limited,1,235.00,235.00,235.00,144.00,33840.00,231.00,4.00
27,IME Financial Institution,1,464.00,464.00,464.00,15.00,6960.00,473.00,-9.00
28,Imperial Financial Inst. Ltd.,53,163.00,160.00,163.00,2556.00,410978.00,160.00,3.00
29,Infrastructure Development Bank Ltd.,4,141.00,139.00,140.00,960.00,134340.00,140.00,0.00
30,Janaki Finance Ltd.,2,289.00,285.00,285.00,220.00,63100.00,294.00,-9.00
31,Kaski Finance Limited,1,216.00,216.00,216.00,30.00,6480.00,220.00,-4.00
32,Kasthamandap Development Bank Limited,25,175.00,169.00,175.00,920.00,157190.00,176.00,-1.00
33,Kumari Bank Limited,5,379.00,365.00,379.00,843.00,310599.00,370.00,9.00
34,Lalitpur Finance Ltd.,1,352.00,352.00,352.00,100.00,35200.00,355.00,-3.00
35,Laxmi Bank Limited,1,580.00,580.00,580.00,10.00,5800.00,591.00,-11.00
36,Life Insurance Co. Nepal,1,590.00,590.00,590.00,10.00,5900.00,590.00,0.00
37,Lord Buddha Finance Limited,2,181.00,181.00,181.00,119.00,21539.00,178.00,3.00
38,Lumbini Bank Limited,2,250.00,250.00,250.00,117.00,29250.00,250.00,0.00
39,Lumbini Bikas Bank Ltd.,17,226.00,220.00,220.00,680.00,152280.00,224.00,-4.00
40,Lumbini General Insurance Co. Ltd.,31,143.00,141.00,143.00,550.00,78010.00,140.00,3.00
41,Machhapuchhre Bank Limited,2,250.00,250.00,250.00,146.00,36500.00,251.00,-1.00
42,Mahakali Bikas Bank Limited,6,221.00,217.00,217.00,130.00,28310.00,225.00,-8.00
43,Miteri Development Bank Limited,5,172.00,171.00,172.00,70.00,12000.00,171.00,1.00
44,Nabil Bank Limited,65,2034.00,1890.00,2034.00,6085.00,11676774.00,1950.00,84.00
45,NABIL Bank Limited Promotor Share,1,1629.00,1629.00,1629.00,50.00,81450.00,1662.00,-33.00
46,National Hydro Power Company Limited,1,45.00,45.00,45.00,500.00,22500.00,45.00,0.00
47,Nava Durga Finance Co. Ltd.,3,226.00,218.00,218.00,150.00,33340.00,230.00,-12.00
48,Neco Insurance Co. Ltd.,1,121.00,121.00,121.00,22.00,2662.00,121.00,0.00
49,Nepal Bangladesh Bank Limited,5,200.00,195.00,195.00,4675.00,916905.00,194.00,1.00
50,Nepal Credit And Commercial Bank Limited,4,199.00,195.00,199.00,1613.00,317264.00,200.00,-1.00
51,Nepal Doorsanchar Comapany Limited,9,443.00,430.00,435.00,1740.00,756300.00,435.00,0.00
52,Nepal Investment Bank Limited,8,642.00,630.00,642.00,900.00,573544.00,630.00,12.00
53,Nepal SBI Bank Limited,19,660.00,651.00,655.00,3082.00,2015401.00,655.00,0.00
54,Nerude Laghubita Bikas Bank Limited,17,466.00,464.00,466.00,170.00,79140.00,464.00,2.00
55,NIC Asia Bank Ltd.,1,520.00,520.00,520.00,124.00,64480.00,520.00,0.00
56,Om Development Bank Ltd.,263,192.00,177.00,190.00,4650.00,861770.00,184.00,6.00
57,Pokhara Finance Ltd.,2,283.00,283.00,283.00,474.00,134142.00,283.00,0.00
58,Prabhu  Bank Limited,7,190.00,183.00,190.00,4455.00,836650.00,183.00,7.00
59,Prime Commercial Bank Ltd.,46,471.00,455.00,471.00,2495.00,1151582.00,458.00,13.00
60,Prime Life Insurance Company Limited,16,198.00,194.00,197.00,260.00,51000.00,198.00,-1.00
61,Public Development Bank Limited,11,125.00,123.00,123.00,270.00,33730.00,123.00,0.00
62,Rastriya Beema Company Limited,5,330.00,321.00,330.00,395.00,128455.00,321.00,9.00
63,Reliable Development Bank Limited,13,370.00,360.00,365.00,228.00,82920.00,365.00,0.00
64,Resunga Bikas Bank Limited,1,226.00,226.00,226.00,10.00,2260.00,230.00,-4.00
65,Sahayogi Bikas Bank Limited,1,300.00,300.00,300.00,1000.00,300000.00,302.00,-2.00
66,Salt Trading Corporation,1,313.00,313.00,313.00,33.00,10329.00,307.00,6.00
67,Shikhar Finance Limited,1,137.00,137.00,137.00,20.00,2740.00,135.00,2.00
68,Siddhartha Bank Limited,15,306.00,294.00,296.00,3639.00,1083172.00,312.00,-16.00
69,Siddhartha Insurance Ltd.,8,114.00,112.00,114.00,130.00,14580.00,110.00,4.00
70,Soaltee Hotel Limited,1,226.00,226.00,226.00,6102.00,1379052.00,222.00,4.00
71,Society Development Bank Ltd.,1,154.00,154.00,154.00,108.00,16632.00,153.00,1.00
72,Standard Chartered Bank Limited,12,2170.00,2141.00,2150.00,592.00,1272790.00,2110.00,40.00
73,Standard Finance Ltd.,3,168.00,165.00,165.00,252.00,41730.00,171.00,-6.00
74,Subhechha Bikas Bank Limited,3,226.00,222.00,222.00,123.00,27402.00,230.00,-8.00
75,Sunrise Bank Limited,14,225.00,216.00,225.00,1010.00,222810.00,212.00,13.00
76,Supreme Development Bank Ltd.,3,124.00,123.00,124.00,225.00,27800.00,123.00,1.00
77,Surya Life Insurance Company Limited,8,305.00,269.00,269.00,80.00,22930.00,0.00,269.00
78,Swabalamban Laghubitta Bittiya Sanstha Limited,1,345.00,345.00,345.00,58.00,20010.00,345.00,0.00
79,Taragaon Regency Hotel Limited,4,80.00,80.00,80.00,50.00,4000.00,80.00,0.00
