S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Api Finance Limited,8,237.00,233.00,234.00,100.00,23520.00,233.00,1.00
2,Arun Valley Hydropower Development Co. Ltd.,3,462.00,462.00,462.00,84.00,38808.00,465.00,-3.00
3,Asian Life Insurance Co. Limited,108,255.00,250.00,251.00,4180.00,1058860.00,255.00,-4.00
4,Bank of Asia Nepal Limited,11,269.00,265.00,269.00,685.00,182845.00,264.00,5.00
5,Bank of Kathmandu Ltd.,32,845.00,832.00,832.00,3356.00,2817720.00,841.00,-9.00
6,Biratlaxmi Bikas Bank Limited,22,365.00,360.00,360.00,290.00,105600.00,360.00,0.00
7,Birgunj Finance Ltd.,3,180.00,177.00,180.00,250.00,44600.00,180.00,0.00
8,Bishal Bazar Company Limited,1,3100.00,3100.00,3100.00,500.00,1550000.00,3040.00,60.00
9,Chhimek Laghubitta Bikas Bank Limited,1,438.00,438.00,438.00,100.00,43800.00,440.00,-2.00
10,Chilime Hydropower Company Limited,9,935.00,900.00,930.00,2170.00,1976240.00,953.00,-23.00
11,Citizen Bank International Limited,16,292.00,290.00,292.00,600.00,174440.00,292.00,0.00
12,Clean Energy Development Bank Limited,4,589.00,581.00,585.00,140.00,81700.00,585.00,0.00
13,Crystal Finance Ltd.,4,260.00,259.00,260.00,130.00,33760.00,265.00,-5.00
14,Deva Bikas Bank Limited,1,180.00,180.00,180.00,160.00,28800.00,177.00,3.00
15,Everest Bank Limited,3,1545.00,1519.00,1545.00,45.00,68780.00,1490.00,55.00
16,Everest Bank Limited Con. Pref.,3,795.00,770.00,795.00,640.00,499300.00,785.00,10.00
17,Global IME Bank Limited,23,255.00,250.00,250.00,1535.00,385650.00,250.00,0.00
18,Gorkha Finance Ltd.,5,137.00,131.00,133.00,411.00,55015.00,139.00,-6.00
19,Grand Bank Nepal Limited,6,255.00,250.00,254.00,1095.00,277015.00,250.00,4.00
20,Himalayan Bank Limited,5,845.00,831.00,835.00,174.00,145234.00,850.00,-15.00
21,Himalayan General Insurance Co. Ltd,6,230.00,226.00,230.00,807.00,183594.00,234.00,-4.00
22,ICFC Finance Limited,5,272.00,255.00,255.00,642.00,166812.00,277.00,-22.00
23,Imperial Financial Inst. Ltd.,60,270.00,265.00,270.00,1770.00,476700.00,270.00,0.00
24,Infrastructure Development Bank Ltd.,20,237.00,214.00,237.00,2648.00,584012.00,216.00,21.00
25,Kaski Finance Limited,6,278.00,266.00,278.00,660.00,182040.00,261.00,17.00
26,Kasthamandap Development Bank Limited,69,241.00,234.00,238.00,3590.00,863190.00,236.00,2.00
27,Kumari Bank Limited,6,448.00,432.00,438.00,655.00,285847.00,457.00,-19.00
28,Laxmi Bank Limited,10,489.00,449.00,462.00,404.00,188148.00,498.00,-36.00
29,Life Insurance Co. Nepal,1,580.00,580.00,580.00,20.00,11600.00,591.00,-11.00
30,Lord Buddha Finance Limited,2,190.00,190.00,190.00,91.00,17290.00,187.00,3.00
31,Lumbini Bank Limited,2,285.00,285.00,285.00,450.00,128250.00,289.00,-4.00
32,Lumbini Bikas Bank Ltd.,20,270.00,266.00,270.00,460.00,122560.00,269.00,1.00
33,Lumbini Finance Ltd.,2,252.00,252.00,252.00,323.00,81396.00,255.00,-3.00
34,Mahakali Bikas Bank Limited,2,240.00,240.00,240.00,30.00,7200.00,240.00,0.00
35,Mahalaxmi BikasBank Limited,4,177.00,173.00,177.00,422.00,74496.00,170.00,7.00
36,Nabil Bank Limited,10,2161.00,2150.00,2150.00,473.00,1019788.00,2174.00,-24.00
37,Narayani National Finance Company Limited Promoter Share,1,121.00,121.00,121.00,40252.00,4870492.00,0.00,121.00
38,Narayani National Finance Limited,6,237.00,230.00,231.00,1408.00,328837.00,241.00,-10.00
39,National Hydro Power Company Limited,3,50.00,50.00,50.00,3200.00,160000.00,50.00,0.00
40,Nepal Bangladesh Bank Limited,7,229.00,225.00,229.00,2145.00,485835.00,232.00,-3.00
41,Nepal Credit And Commercial Bank Limited,7,249.00,233.00,241.00,2280.00,546680.00,237.00,4.00
42,Nepal Doorsanchar Comapany Limited,5,465.00,461.00,465.00,1250.00,580350.00,465.00,0.00
43,Nepal Investment Bank Limited,9,742.00,721.00,721.00,844.00,616596.00,730.00,-9.00
44,Nepal Life Insurance Co. Ltd.,9,755.00,726.00,752.00,297.00,219160.00,770.00,-18.00
45,Nepal SBI Bank Limited,3,742.00,732.00,732.00,579.00,424288.00,742.00,-10.00
46,Nepal Shree Lanka Merchant Banking & Finance Ltd,1,61.00,61.00,61.00,90.00,5490.00,60.00,1.00
47,NIC Asia Bank Ltd.,6,650.00,640.00,641.00,459.00,297088.00,640.00,1.00
48,NIDC Capital Markets Ltd.,1,443.00,443.00,443.00,100.00,44300.00,443.00,0.00
49,NIDC Development Bank Ltd.,1,120.00,120.00,120.00,10.00,1200.00,120.00,0.00
50,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,1,310.00,310.00,310.00,220.00,68200.00,315.00,-5.00
51,NMB Bank Limited,1,283.00,283.00,283.00,143.00,40469.00,286.00,-3.00
52,Pathibhara Bikas Bank Limited,13,189.00,189.00,189.00,130.00,24570.00,188.00,1.00
53,Prabhu  Bank Limited,1,205.00,205.00,205.00,200.00,41000.00,201.00,4.00
54,Prime Commercial Bank Ltd.,26,492.00,485.00,492.00,1454.00,707548.00,494.00,-2.00
55,Prime Life Insurance Company Limited,1,303.00,303.00,303.00,10.00,3030.00,309.00,-6.00
56,Public Development Bank Limited,10,143.00,141.00,141.00,170.00,23990.00,140.00,1.00
57,Rastriya Beema Company Limited,22,345.00,333.00,345.00,975.00,325245.00,333.00,12.00
58,Resunga Bikas Bank Limited,36,240.00,236.00,236.00,360.00,85200.00,236.00,0.00
59,Sagarmatha  Finance Limited,3,202.00,200.00,202.00,80.00,16060.00,199.00,3.00
60,Samriddhi Finance Company Limited,1,176.00,176.00,176.00,1386.00,243936.00,173.00,3.00
61,Shikhar Insurance Co. Ltd.,6,303.00,279.00,279.00,100.00,29190.00,309.00,-30.00
62,Siddhartha Bank Limited,6,429.00,415.00,416.00,649.00,271457.00,437.00,-21.00
63,Siddhartha Development Bank Ltd.,2,184.00,181.00,181.00,80.00,14630.00,187.00,-6.00
64,Soaltee Hotel Limited,2,234.00,233.00,234.00,300.00,70000.00,229.00,5.00
65,Standard Chartered Bank Limited,21,3000.00,2949.00,2965.00,1152.00,3415842.00,2975.00,-10.00
66,Standard Finance Ltd.,1,183.00,183.00,183.00,100.00,18300.00,184.00,-1.00
67,Sunrise Bank Limited,9,255.00,248.00,255.00,960.00,240630.00,251.00,4.00
68,Supreme Development Bank Ltd.,12,130.00,126.00,128.00,2427.00,311546.00,130.00,-2.00
69,United Finance Ltd.,6,243.00,227.00,227.00,163.00,38169.00,247.00,-20.00
