S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,1,260.00,260.00,260.00,142.00,36920.00,265.00,-5.00
2,Apex Development Bank Ltd.,6,230.00,223.00,223.00,862.00,193944.00,234.00,-11.00
3,Api Finance Limited,5,275.00,275.00,275.00,50.00,13750.00,278.00,-3.00
4,Arun Valley Hydropower Development Co. Ltd.,41,465.00,460.00,464.00,1240.00,573368.00,470.00,-6.00
5,Asian Life Insurance Co. Limited,156,245.00,229.00,230.00,7940.00,1859260.00,243.00,-13.00
6,Bank of Asia Nepal Limited,3,275.00,270.00,270.00,50.00,13650.00,280.00,-10.00
7,Bank of Kathmandu Ltd.,29,850.00,830.00,835.00,2096.00,1753247.00,845.00,-10.00
8,Biratlaxmi Bikas Bank Limited,9,343.00,340.00,340.00,108.00,36828.00,343.00,-3.00
9,Birgunj Finance Ltd.,7,294.00,274.00,274.00,118.00,33562.00,299.00,-25.00
10,Bishal Bazar Company Limited,1,3100.00,3100.00,3100.00,307.00,951700.00,3100.00,0.00
11,Central Finance Co. Ltd.,2,340.00,340.00,340.00,296.00,100640.00,346.00,-6.00
12,Chhimek Laghubitta Bikas Bank Limited,1,530.00,530.00,530.00,90.00,47700.00,530.00,0.00
13,Chilime Hydropower Company Limited,2,931.00,925.00,925.00,130.00,120430.00,920.00,5.00
14,Citizen Bank International Limited,26,540.00,510.00,535.00,2020.00,1069750.00,507.00,28.00
15,Civil Merchant Bittiya Santha Ltd.,2,196.00,195.00,195.00,180.00,35180.00,195.00,0.00
16,Clean Energy Development Bank Limited,3,605.00,582.00,582.00,40.00,23850.00,608.00,-26.00
17,Crystal Finance Ltd.,52,255.00,242.00,249.00,970.00,242730.00,264.00,-15.00
18,Everest Bank Limited,3,1525.00,1500.00,1525.00,52.00,78275.00,1480.00,45.00
19,Global IME Bank Limited,11,255.00,248.00,255.00,790.00,197430.00,254.00,1.00
20,Grand Bank Nepal Limited,3,264.00,262.00,263.00,55.00,14448.00,259.00,4.00
21,Himalayan Bank Limited,3,880.00,870.00,870.00,123.00,107915.00,885.00,-15.00
22,Kaski Finance Limited,3,260.00,260.00,260.00,90.00,23400.00,261.00,-1.00
23,Kasthamandap Development Bank Limited,45,246.00,235.00,235.00,1510.00,365410.00,250.00,-15.00
24,Kumari Bank Limited,3,440.00,440.00,440.00,292.00,128480.00,440.00,0.00
25,Life Insurance Co. Nepal,1,595.00,595.00,595.00,10.00,5950.00,600.00,-5.00
26,Lumbini Bank Limited,3,297.00,294.00,295.00,1924.00,568890.00,303.00,-8.00
27,Lumbini Bikas Bank Ltd.,45,290.00,285.00,289.00,2240.00,643770.00,286.00,3.00
28,Lumbini General Insurance Co. Ltd.,1,156.00,156.00,156.00,40.00,6240.00,159.00,-3.00
29,Machhapuchhre Bank Limited,4,300.00,288.00,288.00,710.00,208958.00,300.00,-12.00
