S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agriculture Development Bank Limited,179,122.00,116.00,119.00,10433.00,1244008.00,121.00,-2.00
2,Apex Development Bank Ltd.,2,156.00,153.00,153.00,58.00,8985.00,153.00,0.00
3,Api Finance Limited,4,222.00,219.00,222.00,330.00,72570.00,219.00,3.00
4,Arun Valley Hydropower Development Co. Ltd.,52,443.00,417.00,443.00,926.00,400044.00,423.00,20.00
5,Asian Life Insurance Co. Limited,50,227.00,222.00,227.00,1390.00,312770.00,225.00,2.00
6,Bank of Asia Nepal Limited,27,270.00,264.00,269.00,1910.00,509730.00,268.00,1.00
7,Bank of Kathmandu Ltd.,22,571.00,550.00,560.00,2126.00,1176230.00,560.00,0.00
8,Bhajuratna Finance & Saving Co. Ltd.,7,168.00,162.00,168.00,352.00,58740.00,165.00,3.00
9,Bhrikuti Vikash Bank Limited,1,277.00,277.00,277.00,458.00,126866.00,277.00,0.00
10,Birgunj Finance Ltd.,4,164.00,158.00,162.00,115.00,18570.00,155.00,7.00
11,Bishal Bazar Company Limited,2,2978.00,2919.00,2919.00,45.00,132948.00,3038.00,-119.00
12,Business Universal Development Bank Ltd.,6,159.00,150.00,150.00,1220.00,185920.00,155.00,-5.00
13,Chhimek Laghubitta Bikas Bank Limited,1,475.00,475.00,475.00,231.00,109725.00,466.00,9.00
14,Chilime Hydropower Company Limited,3,916.00,915.00,916.00,300.00,274600.00,910.00,6.00
15,Citizen Bank International Limited,13,290.00,284.00,290.00,650.00,186490.00,284.00,6.00
16,Civil Merchant Bittiya Santha Ltd.,4,200.00,196.00,196.00,350.00,69000.00,204.00,-8.00
17,Clean Energy Development Bank Limited,6,223.00,222.00,223.00,210.00,46730.00,220.00,3.00
18,Deva Bikas Bank Limited,23,153.00,150.00,153.00,732.00,111360.00,151.00,2.00
19,Everest Bank Limited,1,1074.00,1074.00,1074.00,50.00,53700.00,1095.00,-21.00
20,Everest Bank Limited Con. Pref.,51,797.00,735.00,795.00,4530.00,3462580.00,797.00,-2.00
21,Everest Finance Ltd.,1,400.00,400.00,400.00,50.00,20000.00,406.00,-6.00
22,Global IME Bank Limited,21,225.00,222.00,224.00,1760.00,394220.00,222.00,2.00
