S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,1,244.00,244.00,244.00,200.00,48800.00,240.00,4.00
2,Agriculture Development Bank Limited,149,120.00,117.00,120.00,8417.00,989808.00,116.00,4.00
3,Apex Development Bank Ltd.,2,153.00,150.00,153.00,192.00,28842.00,153.00,0.00
4,Api Finance Limited,3,223.00,223.00,223.00,100.00,22300.00,223.00,0.00
5,Arun Valley Hydropower Development Co. Ltd.,99,435.00,420.00,425.00,1960.00,837060.00,440.00,-15.00
6,Asian Life Insurance Co. Limited,66,225.00,222.00,223.00,2540.00,570040.00,225.00,-2.00
7,Bank of Asia Nepal Limited,34,263.00,255.00,260.00,2765.00,718915.00,260.00,0.00
8,Bank of Kathmandu Ltd.,26,568.00,555.00,568.00,4398.00,2450292.00,550.00,18.00
9,Biratlaxmi Bikas Bank Limited,5,318.00,315.00,318.00,148.00,46737.00,315.00,3.00
10,Birgunj Finance Ltd.,3,164.00,164.00,164.00,700.00,114800.00,164.00,0.00
11,Business Universal Development Bank Ltd.,1,158.00,158.00,158.00,40.00,6320.00,158.00,0.00
12,Butwal Power Company Limited,5,842.00,810.00,842.00,318.00,261228.00,826.00,16.00
13,Chhimek Laghubitta Bikas Bank Limited,1,466.00,466.00,466.00,24.00,11184.00,475.00,-9.00
14,Chilime Hydropower Company Limited,3,915.00,910.00,911.00,350.00,319600.00,920.00,-9.00
15,Citizen Bank International Limited,5,288.00,281.00,288.00,270.00,76690.00,283.00,5.00
16,Civil Merchant Bittiya Santha Ltd.,21,204.00,204.00,204.00,740.00,150960.00,205.00,-1.00
17,Clean Energy Development Bank Limited,2,220.00,220.00,220.00,40.00,8800.00,223.00,-3.00
18,Crystal Finance Ltd.,11,246.00,242.00,246.00,200.00,49080.00,246.00,0.00
19,Deva Bikas Bank Limited,3,152.00,151.00,152.00,48.00,7264.00,151.00,1.00
20,Everest Bank Limited,10,1120.00,1072.00,1083.00,380.00,415246.00,1093.00,-10.00
21,Everest Bank Limited Con. Pref.,6,845.00,786.00,845.00,355.00,285045.00,802.00,43.00
22,Global IME Bank Limited,4,224.00,220.00,222.00,255.00,56385.00,222.00,0.00
23,Gorkha Finance Ltd.,6,131.00,127.00,130.00,1299.00,166566.00,133.00,-3.00
24,Grand Bank Nepal Limited,1,226.00,226.00,226.00,200.00,45200.00,223.00,3.00
