S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Arun Valley Hydropower Development Co. Ltd.,23,492.00,480.00,490.00,590.00,287070.00,475.00,15.00
2,Asian Life Insurance Co. Limited,4,331.00,313.00,313.00,100.00,32020.00,337.00,-24.00
3,Axis Development Bank Limited,6,216.00,216.00,216.00,60.00,12960.00,217.00,-1.00
4,Bank of Asia Nepal Limited,17,289.00,269.00,275.00,1050.00,291800.00,275.00,0.00
5,Bank of Kathmandu Ltd.,56,817.00,787.00,805.00,4998.00,4039119.00,798.00,7.00
6,Biratlaxmi Bikas Bank Limited,1,388.00,388.00,388.00,100.00,38800.00,395.00,-7.00
7,Birgunj Finance Ltd.,1,342.00,342.00,342.00,10.00,3420.00,1320.00,-978.00
8,Business Universal Development Bank Ltd.,5,173.00,170.00,173.00,700.00,119060.00,170.00,3.00
9,Butwal Power Company Limited,1,748.00,748.00,748.00,20.00,14960.00,734.00,14.00
10,Capital Merchant Bank & Finance Co. Ltd.,5,193.00,193.00,193.00,1112.00,214616.00,193.00,0.00
11,Chilime Hydropower Company Limited,1,910.00,910.00,910.00,100.00,91000.00,910.00,0.00
12,Citizen Bank International Limited,11,459.00,450.00,455.00,690.00,312530.00,450.00,5.00
13,City Express Finance Co. Limited,2,245.00,245.00,245.00,40.00,9800.00,250.00,-5.00
14,Deva Bikas Bank Limited,3,170.00,164.00,170.00,40.00,6710.00,161.00,9.00
15,Everest Bank Limited,7,1480.00,1423.00,1470.00,198.00,289028.00,1457.00,13.00
16,Fewa Finance Co. Ltd.,1,288.00,288.00,288.00,53.00,15264.00,283.00,5.00
17,Global IME Bank Limited,10,290.00,280.00,280.00,260.00,73700.00,280.00,0.00
18,Goodwill Finance Co. Ltd.,1,245.00,245.00,245.00,20.00,4900.00,241.00,4.00
19,Grand Bank Nepal Limited,15,242.00,234.00,239.00,1457.00,346655.00,230.00,9.00
20,Himalayan Bank Limited,7,890.00,878.00,880.00,478.00,422160.00,861.00,19.00
21,ICFC Finance Limited,17,279.00,270.00,271.00,914.00,249020.00,269.00,2.00
22,IME Financial Institution,2,550.00,540.00,550.00,150.00,81500.00,550.00,0.00
23,Janaki Finance Ltd.,4,330.00,324.00,324.00,130.00,42600.00,335.00,-11.00
24,Kumari Bank Limited,14,435.00,418.00,425.00,1033.00,444665.00,418.00,7.00
25,Lalitpur Finance Ltd.,2,397.00,397.00,397.00,89.00,35333.00,390.00,7.00
26,Laxmi Bank Limited,29,428.00,386.00,428.00,2600.00,1039146.00,393.00,35.00
27,Life Insurance Co. Nepal,3,540.00,530.00,535.00,110.00,59050.00,540.00,-5.00
28,Lumbini Bank Limited,10,283.00,263.00,273.00,783.00,214179.00,258.00,15.00
29,Lumbini Bikas Bank Ltd.,75,300.00,285.00,290.00,3180.00,933550.00,290.00,0.00
30,Lumbini Finance Ltd.,8,278.00,258.00,278.00,775.00,212950.00,253.00,25.00
31,Lumbini General Insurance Co. Ltd.,1,149.00,149.00,149.00,20.00,2980.00,147.00,2.00
32,Machhapuchhre Bank Limited,15,307.00,285.00,296.00,1132.00,337759.00,280.00,16.00
33,Madhyamanchal Gramin Development Bank Ltd.,4,143.00,137.00,137.00,40.00,5600.00,145.00,-8.00
34,Maha Laxmi Finance Ltd.,1,343.00,343.00,343.00,20.00,6860.00,1191.00,-848.00
35,Mahalaxmi BikasBank Limited,4,169.00,168.00,169.00,46.00,7764.00,165.00,4.00
36,Miteri Development Bank Limited,3,243.00,243.00,243.00,40.00,9720.00,243.00,0.00
37,Nabil Bank Limited,14,2200.00,2120.00,2150.00,964.00,2091434.00,2172.00,-22.00
38,National Hydro Power Company Limited,9,52.00,49.85,51.00,3070.00,156615.00,48.88,2.12
39,Nepal Bangladesh Bank Limited,24,240.00,230.00,235.00,5940.00,1390540.00,229.00,6.00
40,Nepal Credit And Commercial Bank Limited,5,252.00,241.00,252.00,290.00,71670.00,245.00,7.00
41,Nepal Doorsanchar Comapany Limited,4,479.00,468.00,479.00,500.00,236700.00,461.00,18.00
