S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Api Finance Limited,25,236.00,235.00,235.00,290.00,68420.00,236.00,-1.00
2,Arun Valley Hydropower Development Co. Ltd.,15,462.00,455.00,460.00,378.00,173964.00,462.00,-2.00
3,Asian Life Insurance Co. Limited,91,252.00,246.00,250.00,2990.00,745490.00,249.00,1.00
4,Bank of Asia Nepal Limited,9,275.00,270.00,270.00,610.00,165150.00,273.00,-3.00
5,Bank of Kathmandu Ltd.,25,846.00,838.00,844.00,2040.00,1720060.00,855.00,-11.00
6,Biratlaxmi Bikas Bank Limited,20,325.00,325.00,325.00,240.00,78000.00,319.00,6.00
7,Birgunj Finance Ltd.,1,183.00,183.00,183.00,2396.00,438468.00,186.00,-3.00
8,Central Finance Co. Ltd.,1,322.00,322.00,322.00,34.00,10948.00,322.00,0.00
9,Chhimek Laghubitta Bikas Bank Limited,1,472.00,472.00,472.00,20.00,9440.00,481.00,-9.00
10,Clean Energy Development Bank Limited,8,590.00,585.00,590.00,740.00,434680.00,582.00,8.00
11,Crystal Finance Ltd.,16,293.00,286.00,290.00,590.00,170380.00,292.00,-2.00
12,Deva Bikas Bank Limited,2,173.00,173.00,173.00,32.00,5536.00,170.00,3.00
13,Everest Bank Limited,7,1504.00,1480.00,1504.00,1481.00,2212394.00,1491.00,13.00
14,Global IME Bank Limited,9,257.00,250.00,250.00,245.00,62035.00,255.00,-5.00
15,Grand Bank Nepal Limited,2,255.00,251.00,255.00,139.00,35165.00,255.00,0.00
16,Himalayan Bank Limited,4,835.00,820.00,820.00,256.00,211936.00,821.00,-1.00
17,ICFC Finance Limited,2,270.00,270.00,270.00,42.00,11340.00,270.00,0.00
18,IME General Insurance Ltd.,6,223.00,219.00,219.00,300.00,65900.00,227.00,-8.00
19,Infrastructure Development Bank Limited Promoter Share,1,137.00,137.00,137.00,20000.00,2740000.00,135.00,2.00
20,Infrastructure Development Bank Ltd.,11,261.00,246.00,246.00,730.00,185130.00,266.00,-20.00
21,Kaski Finance Limited,2,261.00,257.00,261.00,130.00,33530.00,262.00,-1.00
22,Kasthamandap Development Bank Limited,32,231.00,223.00,230.00,990.00,223910.00,231.00,-1.00
23,Kumari Bank Limited,5,436.00,429.00,432.00,289.00,124740.00,444.00,-12.00
24,Lord Buddha Finance Limited,1,190.00,190.00,190.00,135.00,25650.00,187.00,3.00
25,Lumbini Bank Limited,10,292.00,286.00,286.00,3579.00,1034574.00,287.00,-1.00
26,Lumbini Bikas Bank Ltd.,24,280.00,269.00,275.00,3850.00,1048700.00,285.00,-10.00
27,Lumbini Finance Ltd.,1,251.00,251.00,251.00,68.00,17068.00,250.00,1.00
28,Lumbini General Insurance Co. Ltd.,2,164.00,164.00,164.00,30.00,4920.00,165.00,-1.00
29,Machhapuchhre Bank Limited,1,290.00,290.00,290.00,1067.00,309430.00,287.00,3.00
30,Mahalaxmi BikasBank Limited,1,170.00,170.00,170.00,12.00,2040.00,170.00,0.00
31,Miteri Development Bank Limited,16,218.00,210.00,218.00,230.00,49120.00,215.00,3.00
32,Nabil Bank Limited,7,2337.00,2205.00,2205.00,295.00,655935.00,2384.00,-179.00
33,Narayani National Finance Limited,9,250.00,238.00,238.00,3122.00,759698.00,245.00,-7.00
34,National Hydro Power Company Limited,3,51.00,50.00,51.00,3000.00,151000.00,50.00,1.00
35,Nepal Bangladesh Bank Limited,1,255.00,255.00,255.00,100.00,25500.00,260.00,-5.00
36,Nepal Credit And Commercial Bank Limited,11,255.00,234.00,240.00,1380.00,331900.00,260.00,-20.00
37,Nepal Investment Bank Limited,3,716.00,700.00,716.00,487.00,347690.00,700.00,16.00
38,Nepal SBI Bank Limited,5,735.00,725.00,725.00,598.00,436370.00,735.00,-10.00
39,NIC Asia Bank Ltd.,12,635.00,610.00,634.00,2240.00,1401375.00,625.00,9.00
40,NIDC Capital Markets Ltd.,1,435.00,435.00,435.00,202.00,87870.00,435.00,0.00
41,NMB Bank Limited,2,298.00,295.00,298.00,140.00,41660.00,290.00,8.00
42,Pathibhara Bikas Bank Limited,21,196.00,185.00,185.00,300.00,57200.00,200.00,-15.00
43,Prabhu  Bank Limited,4,200.00,197.00,197.00,2600.00,512500.00,197.00,0.00
44,Prabhu Insurance Ltd.,7,141.00,135.00,135.00,276.00,38076.00,143.00,-8.00
45,Prime Commercial Bank Ltd.,43,484.00,475.00,480.00,1532.00,730415.00,480.00,0.00
46,ProgressiveFinance Limited,2,156.00,156.00,156.00,80.00,12480.00,336.00,-180.00
47,Public Development Bank Limited,23,148.00,142.00,142.00,540.00,78240.00,147.00,-5.00
48,Rastriya Beema Company Limited,1,353.00,353.00,353.00,50.00,17650.00,347.00,6.00
49,Reliable Development Bank Limited,2,330.00,330.00,330.00,84.00,27720.00,330.00,0.00
50,Sagarmatha  Finance Limited,2,205.00,205.00,205.00,50.00,10250.00,205.00,0.00
51,Siddhartha Bank Limited,4,428.00,415.00,415.00,1453.00,609173.00,436.00,-21.00
52,Siddhartha Insurance Ltd.,51,133.00,133.00,133.00,720.00,95760.00,133.00,0.00
53,Soaltee Hotel Limited,1,232.00,232.00,232.00,134.00,31088.00,229.00,3.00
54,Standard Chartered Bank Limited,10,2992.00,2950.00,2990.00,1050.00,3105700.00,2953.00,37.00
55,Standard Finance Ltd.,3,185.00,180.00,185.00,350.00,63800.00,178.00,7.00
56,Sunrise Bank Limited,8,258.00,255.00,257.00,340.00,87430.00,255.00,2.00
57,Supreme Development Bank Ltd.,1,132.00,132.00,132.00,100.00,13200.00,130.00,2.00
58,Swabalamban Laghubitta Bittiya Sanstha Limited,2,395.00,388.00,395.00,144.00,56740.00,395.00,0.00
59,Universal Finance Ltd.,3,192.00,192.00,192.00,84.00,16128.00,189.00,3.00
